reactor,run,echem,rep,minutes,E_from_maxs,electrode,current_from_maxs,exp,max_current,E_from_mins,current_from_mins,min_current,signal,t_from_maxs,t_from_mins,min_time,time
soak,1,SWV,0,941.1833333333333,-0.267,i1,3.5177354e-6,1,3.5177354e-6,-0.082,1.0069284e-7,1.0069284e-7,3.41704256e-6,NA,NA,941.1833333333333,0.5
transfer,1,SWV,0,951.75,-0.268,i1,3.7691048e-6,1,3.7691048e-6,-0.095,1.0013216e-7,1.0013216e-7,3.6689726400000002e-6,NA,NA,951.75,0.5
transfer,1,SWV,9,977.2833333333333,-0.268,i1,2.6129675e-7,1,2.6129675e-7,-0.057,9.3469865e-8,9.3469865e-8,1.6782688500000002e-7,NA,NA,951.75,26.033333333333303
transfer,1,SWV,10,980.0666666666667,-0.272,i1,2.5672881e-7,1,2.5672881e-7,-0.127,8.9347168e-8,8.9347168e-8,1.6738164200000003e-7,NA,NA,951.75,28.81666666666672
transfer,1,SWV,11,983.5166666666667,-0.271,i1,2.3202558e-7,1,2.3202558e-7,-0.088,8.9742947e-8,8.9742947e-8,1.42282633e-7,NA,NA,951.75,32.26666666666665
transfer,1,SWV,12,986.2166666666667,-0.264,i1,2.3763246e-7,1,2.3763246e-7,-0.115,8.8572101e-8,8.8572101e-8,1.49060359e-7,NA,NA,951.75,34.9666666666667
transfer,1,SWV,13,988.9666666666667,-0.274,i1,2.2275776e-7,1,2.2275776e-7,-0.072,8.9825399e-8,8.9825399e-8,1.32932361e-7,NA,NA,951.75,37.7166666666667
transfer,1,SWV,14,991.7833333333333,-0.26,i1,2.1185734e-7,1,2.1185734e-7,-0.072,9.1260098e-8,9.1260098e-8,1.20597242e-7,NA,NA,951.75,40.5333333333333
transfer,1,SWV,15,994.5666666666667,-0.275,i1,2.1319309e-7,1,2.1319309e-7,-0.123,9.2562871e-8,9.2562871e-8,1.20630219e-7,NA,NA,951.75,43.31666666666672
transfer,1,SWV,1,954.6666666666666,-0.266,i1,1.263789e-6,1,1.263789e-6,-0.04,9.774098e-8,9.774098e-8,1.16604802e-6,NA,NA,951.75,3.4166666666666288
transfer,1,SWV,2,957.35,-0.265,i1,8.4358703e-7,1,8.4358703e-7,-0.034,9.783993e-8,9.783993e-8,7.457471e-7,NA,NA,951.75,6.100000000000023
transfer,1,SWV,3,960.0833333333334,-0.266,i1,6.2495195e-7,1,6.2495195e-7,-0.073,9.21506e-8,9.21506e-8,5.3280135e-7,NA,NA,951.75,8.833333333333371
transfer,1,SWV,4,963.0166666666667,-0.268,i1,4.7336849e-7,1,4.7336849e-7,-0.085,9.4459317e-8,9.4459317e-8,3.78909173e-7,NA,NA,951.75,11.766666666666652
transfer,1,SWV,5,965.75,-0.266,i1,4.0453588e-7,1,4.0453588e-7,-0.078,9.2513403e-8,9.2513403e-8,3.12022477e-7,NA,NA,951.75,14.5
transfer,1,SWV,6,968.45,-0.268,i1,3.5851005e-7,1,3.5851005e-7,-0.111,9.1853778e-8,9.1853778e-8,2.66656272e-7,NA,NA,951.75,17.200000000000045
transfer,1,SWV,7,971.6666666666666,-0.264,i1,3.0000069e-7,1,3.0000069e-7,-0.088,9.0534499e-8,9.0534499e-8,2.0946619099999998e-7,NA,NA,951.75,20.41666666666663
transfer,1,SWV,8,974.4,-0.265,i1,2.8309759e-7,1,2.8309759e-7,-0.072,9.040258e-8,9.040258e-8,1.9269500999999998e-7,NA,NA,951.75,23.149999999999977
soak,2,SWV,0,1009.4,-0.27,i1,3.5580556e-6,1,3.5580556e-6,-0.058,6.8849104e-8,6.8849104e-8,3.4892064960000003e-6,NA,NA,1009.4,0.5
transfer,2,SWV,0,1017.4666666666667,-0.27,i1,2.495718e-6,1,2.495718e-6,-0.087,9.1853764e-8,9.1853764e-8,2.4038642360000003e-6,NA,NA,1017.4666666666667,0.5
