PHZadded,PYO,reactor,echem,rep,minutes,E_from_maxs,electrode,current_from_maxs,PHZaddedInt,max_current,E_from_mins,current_from_mins,min_current,signal,min_time,time
50uM,PYO,transfer,SWV,40,1114.2166666666667,-0.284,i1,1.1317637e-6,50,1.1317637e-6,-0.015,3.4597704e-7,3.4597704e-7,7.8578666e-7,1108.45,5.866666666666651
50uM,PYO,transfer,SWV,41,1114.3666666666666,-0.284,i1,1.1409492e-6,50,1.1409492e-6,-0.01,3.5394208e-7,3.5394208e-7,7.870071199999999e-7,1108.45,6.016666666666515
50uM,PYO,transfer,SWV,42,1114.5,-0.28,i1,1.1284986e-6,50,1.1284986e-6,-0.03,3.6142893e-7,3.6142893e-7,7.670696700000001e-7,1108.45,6.149999999999954
50uM,PYO,transfer,SWV,43,1114.65,-0.285,i1,1.1436866e-6,50,1.1436866e-6,-0.006,3.4629036e-7,3.4629036e-7,7.973962400000001e-7,1108.45,6.300000000000045
50uM,PYO,transfer,SWV,44,1114.8,-0.285,i1,1.1315988e-6,50,1.1315988e-6,-0.008,3.6235241e-7,3.6235241e-7,7.692463899999999e-7,1108.45,6.449999999999909
50uM,PYO,transfer,SWV,45,1114.9333333333334,-0.292,i1,1.1373377e-6,50,1.1373377e-6,-0.008,3.5537681e-7,3.5537681e-7,7.819608900000001e-7,1108.45,6.583333333333348
50uM,PYO,transfer,SWV,46,1115.0833333333333,-0.283,i1,1.1288944e-6,50,1.1288944e-6,-0.021,3.512211e-7,3.512211e-7,7.776732999999999e-7,1108.45,6.733333333333212
50uM,PYO,transfer,SWV,47,1115.2333333333333,-0.291,i1,1.1336602e-6,50,1.1336602e-6,-0.041,3.6419937e-7,3.6419937e-7,7.694608300000001e-7,1108.45,6.883333333333303
50uM,PYO,transfer,SWV,48,1115.3666666666666,-0.289,i1,1.1346661e-6,50,1.1346661e-6,-0.029,3.6184119e-7,3.6184119e-7,7.7282491e-7,1108.45,7.016666666666515
50uM,PYO,transfer,SWV,4,1109.0333333333333,-0.272,i1,1.5334138e-6,50,1.5334138e-6,-0.01,3.4299222e-7,3.4299222e-7,1.19042158e-6,1108.45,0.6833333333332575
50uM,PYO,transfer,SWV,49,1115.5166666666667,-0.291,i1,1.1211107e-6,50,1.1211107e-6,-0.012,3.5755357e-7,3.5755357e-7,7.6355713e-7,1108.45,7.166666666666606
50uM,PYO,transfer,SWV,5,1109.1833333333334,-0.276,i1,1.4454023e-6,50,1.4454023e-6,0.001,3.4856609e-7,3.4856609e-7,1.09683621e-6,1108.45,0.8333333333333485
50uM,PYO,transfer,SWV,6,1109.3166666666666,-0.271,i1,1.3774272e-6,50,1.3774272e-6,-0.006,3.5024817e-7,3.5024817e-7,1.02717903e-6,1108.45,0.9666666666665605
50uM,PYO,transfer,SWV,7,1109.4666666666667,-0.286,i1,1.3498711e-6,50,1.3498711e-6,-0.031,3.510562e-7,3.510562e-7,9.988149e-7,1108.45,1.1166666666666516
50uM,PYO,transfer,SWV,8,1109.6166666666666,-0.287,i1,1.3348975e-6,50,1.3348975e-6,-0.013,3.4698297e-7,3.4698297e-7,9.879145299999999e-7,1108.45,1.2666666666665152
75uM,PYO,transfer,SWV,0,1136.0666666666666,-0.275,i1,3.1111713e-6,75,3.1111713e-6,-0.003,3.5140249e-7,3.5140249e-7,2.75976881e-6,1136.0666666666666,0.1
75uM,PYO,transfer,SWV,9,1137.35,-0.286,i1,1.3748382e-6,75,1.3748382e-6,0.007,3.4467425e-7,3.4467425e-7,1.03016395e-6,1136.0666666666666,1.383333333333303
75uM,PYO,transfer,SWV,10,1137.5,-0.282,i1,1.3631297e-6,75,1.3631297e-6,-0.018,3.3850671e-7,3.3850671e-7,1.02462299e-6,1136.0666666666666,1.533333333333394
75uM,PYO,transfer,SWV,11,1137.65,-0.283,i1,1.3478593e-6,75,1.3478593e-6,-0.004,3.4398164e-7,3.4398164e-7,1.00387766e-6,1136.0666666666666,1.683333333333485
75uM,PYO,transfer,SWV,12,1137.7833333333333,-0.279,i1,1.3387398e-6,75,1.3387398e-6,0.007,3.461914e-7,3.461914e-7,9.925484e-7,1136.0666666666666,1.816666666666697
75uM,PYO,transfer,SWV,13,1137.9333333333334,-0.276,i1,1.3182417e-6,75,1.3182417e-6,-0.012,3.4812084e-7,3.4812084e-7,9.701208600000001e-7,1136.0666666666666,1.966666666666788
75uM,PYO,transfer,SWV,14,1138.0833333333333,-0.282,i1,1.3014212e-6,75,1.3014212e-6,-0.003,3.4315713e-7,3.4315713e-7,9.5826407e-7,1136.0666666666666,2.1166666666666516
75uM,PYO,transfer,SWV,15,1138.2166666666667,-0.294,i1,1.307935e-6,75,1.307935e-6,-0.022,3.4248097e-7,3.4248097e-7,9.654540299999998e-7,1136.0666666666666,2.250000000000091
75uM,PYO,transfer,SWV,16,1138.3666666666666,-0.288,i1,1.2894983e-6,75,1.2894983e-6,0.015,3.4744471e-7,3.4744471e-7,9.4205359e-7,1136.0666666666666,2.3999999999999546
75uM,PYO,transfer,SWV,17,1138.5166666666667,-0.277,i1,1.2906855e-6,75,1.2906855e-6,-0.01,3.4305816e-7,3.4305816e-7,9.476273399999999e-7,1136.0666666666666,2.5500000000000456
75uM,PYO,transfer,SWV,18,1138.65,-0.273,i1,1.2673182e-6,75,1.2673182e-6,-0.011,3.4437744e-7,3.4437744e-7,9.229407600000001e-7,1136.0666666666666,2.683333333333485
75uM,PYO,transfer,SWV,1,1136.2,-0.28,i1,2.4357741e-6,75,2.4357741e-6,-0.015,3.5166636e-7,3.5166636e-7,2.0841077400000002e-06,1136.0666666666666,0.23333333333343945
75uM,PYO,transfer,SWV,19,1138.8,-0.284,i1,1.2680603e-6,75,1.2680603e-6,-0.019,3.4187082e-7,3.4187082e-7,9.2618948e-7,1136.0666666666666,2.8333333333333486
75uM,PYO,transfer,SWV,20,1138.95,-0.288,i1,1.2607878e-6,75,1.2607878e-6,-0.014,3.4889592e-7,3.4889592e-7,9.118918800000001e-7,1136.0666666666666,2.9833333333334395
75uM,PYO,transfer,SWV,21,1139.0833333333333,-0.275,i1,1.254142e-6,75,1.254142e-6,-0.008,3.4281078e-7,3.4281078e-7,9.1133122e-7,1136.0666666666666,3.1166666666666516
75uM,PYO,transfer,SWV,22,1139.2333333333333,-0.288,i1,1.2516354e-6,75,1.2516354e-6,-0.011,3.4544934e-7,3.4544934e-7,9.061860600000002e-7,1136.0666666666666,3.2666666666667425
75uM,PYO,transfer,SWV,23,1139.3666666666666,-0.286,i1,1.252328e-6,75,1.252328e-6,-0.005,3.4450935e-7,3.4450935e-7,9.0781865e-7,1136.0666666666666,3.3999999999999546
75uM,PYO,transfer,SWV,24,1139.5166666666667,-0.288,i1,1.2288946e-6,75,1.2288946e-6,-0.004,3.4046911e-7,3.4046911e-7,8.884254900000002e-7,1136.0666666666666,3.5500000000000456
75uM,PYO,transfer,SWV,25,1139.6666666666667,-0.283,i1,1.2209131e-6,75,1.2209131e-6,-0.016,3.4505354e-7,3.4505354e-7,8.758595599999999e-7,1136.0666666666666,3.7000000000001365
75uM,PYO,transfer,SWV,26,1139.8,-0.286,i1,1.2297027e-6,75,1.2297027e-6,0.012,3.4406409e-7,3.4406409e-7,8.856386099999999e-7,1136.0666666666666,3.8333333333333486
75uM,PYO,transfer,SWV,27,1139.95,-0.281,i1,1.20495e-6,75,1.20495e-6,-0.024,3.4408058e-7,3.4408058e-7,8.6086942e-7,1136.0666666666666,3.9833333333334395
75uM,PYO,transfer,SWV,28,1140.1,-0.287,i1,1.2197256e-6,75,1.2197256e-6,-0.008,3.4556479e-7,3.4556479e-7,8.741608100000001e-7,1136.0666666666666,4.133333333333303
75uM,PYO,transfer,SWV,2,1136.35,-0.278,i1,2.1177159e-6,75,2.1177159e-6,-0.016,3.422831e-7,3.422831e-7,1.7754328000000002e-6,1136.0666666666666,0.383333333333303
75uM,PYO,transfer,SWV,29,1140.2333333333333,-0.278,i1,1.2122224e-6,75,1.2122224e-6,0.003,3.4157398e-7,3.4157398e-7,8.7064842e-7,1136.0666666666666,4.266666666666742
75uM,PYO,transfer,SWV,30,1140.3833333333334,-0.297,i1,1.2137396e-6,75,1.2137396e-6,0.008,3.4604301e-7,3.4604301e-7,8.6769659e-7,1136.0666666666666,4.416666666666833
75uM,PYO,transfer,SWV,31,1140.5333333333333,-0.293,i1,1.2257779e-6,75,1.2257779e-6,-0.007,3.4068347e-7,3.4068347e-7,8.850944300000001e-7,1136.0666666666666,4.566666666666697
75uM,PYO,transfer,SWV,32,1140.6666666666667,-0.291,i1,1.2045541e-6,75,1.2045541e-6,-0.017,3.467521e-7,3.467521e-7,8.57802e-7,1136.0666666666666,4.700000000000136
75uM,PYO,transfer,SWV,33,1140.8166666666666,-0.294,i1,1.1971333e-6,75,1.1971333e-6,-0.003,3.5257335e-7,3.5257335e-7,8.4455995e-7,1136.0666666666666,4.85
75uM,PYO,transfer,SWV,34,1140.95,-0.278,i1,1.1906855e-6,75,1.1906855e-6,-0.011,3.4055157e-7,3.4055157e-7,8.5013393e-7,1136.0666666666666,4.983333333333439
75uM,PYO,transfer,SWV,35,1141.1,-0.291,i1,1.181665e-6,75,1.181665e-6,0.014,3.483517e-7,3.483517e-7,8.333132999999999e-7,1136.0666666666666,5.133333333333303
75uM,PYO,transfer,SWV,36,1141.25,-0.28,i1,1.1885745e-6,75,1.1885745e-6,-0.018,3.4718087e-7,3.4718087e-7,8.4139363e-7,1136.0666666666666,5.283333333333394
75uM,PYO,transfer,SWV,37,1141.3833333333334,-0.276,i1,1.184485e-6,75,1.184485e-6,-0.014,3.4741174e-7,3.4741174e-7,8.3707326e-7,1136.0666666666666,5.416666666666833
75uM,PYO,transfer,SWV,38,1141.5333333333333,-0.293,i1,1.1842375e-6,75,1.1842375e-6,-0.002,3.453174e-7,3.453174e-7,8.389200999999999e-7,1136.0666666666666,5.566666666666697
75uM,PYO,transfer,SWV,3,1136.5,-0.272,i1,1.8992293e-6,75,1.8992293e-6,0.012,3.4986886e-7,3.4986886e-7,1.54936044e-6,1136.0666666666666,0.5333333333333939
75uM,PYO,transfer,SWV,39,1141.6833333333334,-0.289,i1,1.1885252e-6,75,1.1885252e-6,-0.012,3.4234907e-7,3.4234907e-7,8.461761300000001e-7,1136.0666666666666,5.716666666666788
75uM,PYO,transfer,SWV,40,1141.8166666666666,-0.282,i1,1.1684888e-6,75,1.1684888e-6,-0.018,3.4737874e-7,3.4737874e-7,8.211100599999999e-7,1136.0666666666666,5.85
75uM,PYO,transfer,SWV,41,1141.9666666666667,-0.288,i1,1.1789768e-6,75,1.1789768e-6,0.005,3.4126066e-7,3.4126066e-7,8.377161399999999e-7,1136.0666666666666,6.000000000000091
75uM,PYO,transfer,SWV,42,1142.1166666666666,-0.283,i1,1.1665594e-6,75,1.1665594e-6,0.006,3.4218414e-7,3.4218414e-7,8.243752600000001e-7,1136.0666666666666,6.149999999999954
75uM,PYO,transfer,SWV,43,1142.25,-0.274,i1,1.1575389e-6,75,1.1575389e-6,-0,3.485826e-7,3.485826e-7,8.089563e-7,1136.0666666666666,6.283333333333394
75uM,PYO,transfer,SWV,44,1142.4,-0.28,i1,1.1717375e-6,75,1.1717375e-6,-0.02,3.4008983e-7,3.4008983e-7,8.3164767e-7,1136.0666666666666,6.433333333333485
75uM,PYO,transfer,SWV,45,1142.55,-0.28,i1,1.1713912e-6,75,1.1713912e-6,-0.008,3.4221713e-7,3.4221713e-7,8.2917407e-7,1136.0666666666666,6.583333333333348
75uM,PYO,transfer,SWV,46,1142.6833333333334,-0.293,i1,1.1591715e-6,75,1.1591715e-6,-0.007,3.4558127e-7,3.4558127e-7,8.135902300000001e-7,1136.0666666666666,6.716666666666788
75uM,PYO,transfer,SWV,47,1142.8333333333333,-0.289,i1,1.1581656e-6,75,1.1581656e-6,-0.022,3.47791e-7,3.47791e-7,8.103745999999999e-7,1136.0666666666666,6.866666666666651
75uM,PYO,transfer,SWV,48,1142.9666666666667,-0.291,i1,1.1563186e-6,75,1.1563186e-6,-0.031,3.5204567e-7,3.5204567e-7,8.042729299999999e-7,1136.0666666666666,7.000000000000091
75uM,PYO,transfer,SWV,4,1136.6333333333334,-0.275,i1,1.6795552e-6,75,1.6795552e-6,-0.001,3.4370132e-7,3.4370132e-7,1.3358538800000002e-6,1136.0666666666666,0.6666666666668334
75uM,PYO,transfer,SWV,49,1143.1166666666666,-0.286,i1,1.1540758e-6,75,1.1540758e-6,-0.007,3.4160698e-7,3.4160698e-7,8.1246882e-7,1136.0666666666666,7.149999999999954
75uM,PYO,transfer,SWV,5,1136.7833333333333,-0.27,i1,1.5633281e-6,75,1.5633281e-6,0.002,3.4863206e-7,3.4863206e-7,1.21469604e-6,1136.0666666666666,0.816666666666697
75uM,PYO,transfer,SWV,6,1136.9333333333334,-0.28,i1,1.5077046e-6,75,1.5077046e-6,-0.02,3.4993482e-7,3.4993482e-7,1.1577697799999998e-6,1136.0666666666666,0.9666666666667879
75uM,PYO,transfer,SWV,7,1137.0666666666666,-0.285,i1,1.4518666e-6,75,1.4518666e-6,-0.001,3.3931474e-7,3.3931474e-7,1.11255186e-6,1136.0666666666666,1.1
75uM,PYO,transfer,SWV,8,1137.2166666666667,-0.286,i1,1.3974802e-6,75,1.3974802e-6,0.012,3.4325606e-7,3.4325606e-7,1.05422414e-6,1136.0666666666666,1.250000000000091
