reactor,run,echem,rep,minutes,E,t,electrode,current,exp
transfer,1,GC,1,954.3666666666667,-0.072,24.333342,i1,-2.4559096e-8,1
transfer,1,GC,1,954.3666666666667,-0.073,24.666676,i1,-2.4344455e-8,1
transfer,1,GC,1,954.3666666666667,-0.074,25.00001,i1,-2.423398e-8,1
transfer,1,GC,1,954.3666666666667,-0.075,25.333344,i1,-2.3927715e-8,1
transfer,1,GC,1,954.3666666666667,-0.076,25.666677,i1,-2.3801423e-8,1
transfer,1,GC,1,954.3666666666667,-0.077,26.000011,i1,-2.3497714e-8,1
transfer,1,GC,1,954.3666666666667,-0.078,26.333345,i1,-2.3342984e-8,1
transfer,1,GC,1,954.3666666666667,-0.079,26.666679,i1,-2.3160295000000002e-08,1
transfer,1,GC,1,954.3666666666667,-0.08,27.000013,i1,-2.2946853e-8,1
transfer,1,GC,1,954.3666666666667,-0.081,27.333347,i1,-2.2805065e-8,1
transfer,1,GC,1,954.3666666666667,-0.082,27.666681,i1,-2.2493367e-8,1
transfer,1,GC,1,954.3666666666667,-0.083,28.000015,i1,-2.2373067e-8,1
transfer,1,GC,1,954.3666666666667,-0.084,28.333349,i1,-2.2367793e-8,1
transfer,1,GC,1,954.3666666666667,-0.085,28.666683,i1,-2.195425e-8,1
transfer,1,GC,1,954.3666666666667,-0.086,29.000017,i1,-2.1856236e-8,1
transfer,1,GC,1,954.3666666666667,-0.087,29.333351,i1,-2.1728265e-8,1
transfer,1,GC,1,954.3666666666667,-0.088,29.666685,i1,-2.1487184e-8,1
transfer,1,GC,1,954.3666666666667,-0.089,30.000019,i1,-2.1376628e-8,1
transfer,1,GC,1,954.3666666666667,-0.09,30.333353,i1,-2.1241149e-8,1
transfer,1,GC,1,954.3666666666667,-0.091,30.666687,i1,-2.1011092e-8,1
transfer,1,GC,1,954.3666666666667,-0.092,31.000021,i1,-2.0926658e-8,1
transfer,1,GC,1,954.3666666666667,-0.093,31.333355,i1,-2.0761542e-8,1
transfer,1,GC,1,954.3666666666667,-0.094,31.666689,i1,-2.0540909e-8,1
transfer,1,GC,1,954.3666666666667,-0.095,32.000023,i1,-2.0412621e-8,1
transfer,1,GC,1,954.3666666666667,-0.096,32.333355,i1,-2.0351751e-8,1
transfer,1,GC,1,954.3666666666667,-0.097,32.666687,i1,-2.0139108e-8,1
transfer,1,GC,1,954.3666666666667,-0.098,33.000019,i1,-1.9964167e-8,1
transfer,1,GC,1,954.3666666666667,-0.099,33.333351,i1,-1.9867512e-8,1
transfer,1,GC,1,954.3666666666667,-0.1,33.666683,i1,-1.9705274e-8,1
transfer,1,GC,1,954.3666666666667,-0.101,34.000015,i1,-1.9492948e-8,1
transfer,1,GC,1,954.3666666666667,-0.102,34.333347,i1,-1.9408994e-8,1
transfer,1,GC,1,954.3666666666667,-0.103,34.666679,i1,-1.9264647e-8,1
transfer,1,GC,1,954.3666666666667,-0.104,35.000011,i1,-1.906055e-8,1
transfer,1,GC,1,954.3666666666667,-0.105,35.333344,i1,-1.8980272e-8,1
transfer,1,GC,1,954.3666666666667,-0.106,35.666676,i1,-1.8887448e-8,1
transfer,1,GC,1,954.3666666666667,-0.107,36.000008,i1,-1.8696053e-8,1
transfer,1,GC,1,954.3666666666667,-0.108,36.33334,i1,-1.8546995e-8,1
transfer,1,GC,1,954.3666666666667,-0.109,36.666672,i1,-1.8444426e-8,1
