reactor,run,echem,rep,minutes,E_from_maxs,electrode,current_from_maxs,exp,max_current,E_from_mins,current_from_mins,min_current,signal
transfer,2,SWV,6,1034.4,-0.355,i2,2.2272477e-6,1,2.2272477e-6,-0.002,7.8760074e-8,7.8760074e-8,2.1484876259999996e-6
transfer,2,SWV,7,1037.1,-0.349,i2,2.1624885e-6,1,2.1624885e-6,-0.008,8.2437523e-8,8.2437523e-8,2.0800509769999997e-6
transfer,2,SWV,8,1039.8333333333333,-0.35,i2,2.1140054e-6,1,2.1140054e-6,-0.011,6.8354375e-8,6.8354375e-8,2.0456510250000003e-6
soak,3,SWV,0,1102.15,-0.273,i2,3.6312913e-6,1,3.6312913e-6,-0.059,8.3344517e-8,8.3344517e-8,3.547946783e-6
transfer,3,SWV,0,1108.9833333333333,-0.273,i2,2.3449593e-6,1,2.3449593e-6,-0.032,8.2124195e-8,8.2124195e-8,2.2628351050000004e-6
transfer,3,SWV,9,1134.0833333333333,-0.361,i2,2.4196461e-6,1,2.4196461e-6,-0.028,8.4779217e-8,8.4779217e-8,2.334866883e-6
transfer,3,SWV,10,1136.8166666666666,-0.355,i2,2.4341907e-6,1,2.4341907e-6,-0.008,6.9871533e-8,6.9871533e-8,2.364319167e-6
transfer,3,SWV,11,1139.6333333333334,-0.361,i2,2.3941348e-6,1,2.3941348e-6,-0.053,7.1207282e-8,7.1207282e-8,2.3229275180000003e-6
transfer,3,SWV,12,1142.4,-0.355,i2,2.3792104e-6,1,2.3792104e-6,-0.015,6.800807e-8,6.800807e-8,2.31120233e-6
transfer,3,SWV,13,1145.1666666666667,-0.362,i2,2.319184e-6,1,2.319184e-6,-0.016,8.0491603e-8,8.0491603e-8,2.238692397e-6
transfer,3,SWV,14,1148,-0.349,i2,2.3053647e-6,1,2.3053647e-6,-0.001,7.5890668e-8,7.5890668e-8,2.229474032e-6
transfer,3,SWV,15,1150.7666666666667,-0.35,i2,2.257063e-6,1,2.257063e-6,-0.013,7.3779852e-8,7.3779852e-8,2.183283148e-6
transfer,3,SWV,1,1111.8833333333334,-0.378,i2,2.1249552e-6,1,2.1249552e-6,-0.018,9.6504181e-8,9.6504181e-8,2.028451019e-6
transfer,3,SWV,2,1114.5666666666666,-0.37,i2,2.7684264e-6,1,2.7684264e-6,-0.029,1.0516185e-7,1.0516185e-7,2.66326455e-6
transfer,3,SWV,3,1117.2833333333333,-0.352,i2,2.6155731e-6,1,2.6155731e-6,-0.059,9.0435563e-8,9.0435563e-8,2.525137537e-6
transfer,3,SWV,4,1120.05,-0.359,i2,2.51709e-6,1,2.51709e-6,-0.021,7.8182893e-8,7.8182893e-8,2.438907107e-6
transfer,3,SWV,5,1122.8666666666666,-0.359,i2,2.408317e-6,1,2.408317e-6,-0.01,8.9182258e-8,8.9182258e-8,2.319134742e-6
transfer,3,SWV,6,1125.8333333333333,-0.362,i2,2.3479606e-6,1,2.3479606e-6,-0.002,7.457141e-8,7.457141e-8,2.27338919e-6
transfer,3,SWV,7,1128.6333333333334,-0.356,i2,2.4414303e-6,1,2.4414303e-6,-0.035,9.2694805e-8,9.2694805e-8,2.3487354949999998e-6
transfer,3,SWV,8,1131.3833333333334,-0.35,i2,2.4390226e-6,1,2.4390226e-6,-0.044,8.9578037e-8,8.9578037e-8,2.3494445630000003e-6
control,transfer,0,NA,920.3333333333334,-0.396,i2,1.7152084e-7,1,1.7152084e-7,-0.18,3.9231619e-8,3.9231619e-8,1.32289221e-7
soak,1,SWV,0,919.7833333333333,-0.222,i1,7.7033528e-6,2,7.7033528e-6,-0.009,1.0749568e-6,1.0749568e-6,6.628396e-6
transfer,1,SWV,0,922.9166666666666,-0.219,i1,4.0279101e-6,2,4.0279101e-6,-0.011,1.0984237e-6,1.0984237e-6,2.9294864e-6
transfer,1,SWV,9,948.4833333333333,-0.219,i1,1.4279112e-6,2,1.4279112e-6,-0.036,1.0819557e-6,1.0819557e-6,3.459555000000001e-7
transfer,1,SWV,10,951.2,-0.216,i1,1.3988088e-6,2,1.3988088e-6,-0.058,1.0856256e-6,1.0856256e-6,3.1318320000000007e-7
transfer,1,SWV,11,953.8833333333333,-0.212,i1,1.3802554e-6,2,1.3802554e-6,-0.044,1.0865624e-6,1.0865624e-6,2.9369299999999985e-7
transfer,1,SWV,12,956.6,-0.218,i1,1.3743942e-6,2,1.3743942e-6,-0.062,1.0851584e-6,1.0851584e-6,2.8923579999999997e-7
transfer,1,SWV,13,959.3333333333334,-0.222,i1,1.3461366e-6,2,1.3461366e-6,-0.059,1.0871071e-6,1.0871071e-6,2.5902949999999984e-7
transfer,1,SWV,14,962.0833333333334,-0.214,i1,1.3448036e-6,2,1.3448036e-6,-0.056,1.0879367e-6,1.0879367e-6,2.5686690000000003e-7
transfer,1,SWV,15,964.8333333333334,-0.214,i1,1.3270397e-6,2,1.3270397e-6,-0.047,1.0835371e-6,1.0835371e-6,2.435026e-7
transfer,1,SWV,1,925.8,-0.219,i1,2.1303392e-6,2,2.1303392e-6,-0.035,1.0947907e-6,1.0947907e-6,1.0355485e-6
transfer,1,SWV,2,928.6166666666667,-0.219,i1,1.8180668e-6,2,1.8180668e-6,-0.051,1.0878339e-6,1.0878339e-6,7.302329000000001e-7
transfer,1,SWV,3,931.45,-0.218,i1,1.7092011e-6,2,1.7092011e-6,-0.047,1.0850326e-6,1.0850326e-6,6.241685e-7
transfer,1,SWV,4,934.5166666666667,-0.216,i1,1.6060494e-6,2,1.6060494e-6,-0.028,1.0864759e-6,1.0864759e-6,5.195735000000001e-7
transfer,1,SWV,5,937.6333333333333,-0.214,i1,1.585792e-6,2,1.585792e-6,-0.031,1.0865785e-6,1.0865785e-6,4.992134999999999e-7
transfer,1,SWV,6,940.3333333333334,-0.217,i1,1.4679638e-6,2,1.4679638e-6,-0.038,1.0837745e-6,1.0837745e-6,3.841893e-7
transfer,1,SWV,7,943.0666666666667,-0.218,i1,1.4932233e-6,2,1.4932233e-6,-0.05,1.0853062e-6,1.0853062e-6,4.079170999999999e-7
transfer,1,SWV,8,945.7833333333333,-0.221,i1,1.4510649e-6,2,1.4510649e-6,-0.043,1.0850194e-6,1.0850194e-6,3.6604549999999985e-7
soak,2,SWV,0,987.4833333333333,-0.223,i1,7.7170016e-6,2,7.7170016e-6,-0.015,1.07368e-6,1.07368e-6,6.6433216e-6
transfer,2,SWV,0,991.1666666666666,-0.222,i1,6.7434321e-6,2,6.7434321e-6,-0.036,1.1358271e-6,1.1358271e-6,5.607605e-6
transfer,2,SWV,9,1016.6166666666667,-0.218,i1,1.433834e-6,2,1.433834e-6,-0.044,1.1391126e-6,1.1391126e-6,2.9472140000000003e-7
transfer,2,SWV,10,1019.7166666666667,-0.218,i1,1.4017461e-6,2,1.4017461e-6,-0.067,1.1250229e-6,1.1250229e-6,2.767231999999999e-7
transfer,2,SWV,11,1022.4666666666667,-0.22,i1,1.3688434e-6,2,1.3688434e-6,-0.064,1.1262895e-6,1.1262895e-6,2.425539000000001e-7
transfer,2,SWV,12,1025.2166666666667,-0.216,i1,1.3633008e-6,2,1.3633008e-6,-0.059,1.124084e-6,1.124084e-6,2.3921680000000014e-7
transfer,2,SWV,13,1027.9666666666667,-0.214,i1,1.3571353e-6,2,1.3571353e-6,-0.051,1.1279712e-6,1.1279712e-6,2.2916410000000007e-7
transfer,2,SWV,14,1030.5833333333333,-0.218,i1,1.352715e-6,2,1.352715e-6,-0.057,1.1222165e-6,1.1222165e-6,2.3049850000000002e-7
transfer,2,SWV,15,1033.3666666666666,-0.22,i1,1.3291955e-6,2,1.3291955e-6,-0.057,1.1257948e-6,1.1257948e-6,2.0340070000000003e-7
transfer,2,SWV,1,994.1166666666667,-0.22,i1,2.7772321e-6,2,2.7772321e-6,-0.047,1.2342065e-6,1.2342065e-6,1.5430255999999998e-6
