BEGIN HEADER 
     File Name: 82919_26.ns1
     Experiment Type: Luminescence        
     Digitizer: Fast
     Timebase:    2.000e-10 seconds per point 
     Time Range:    1.900e-06 seconds 
     Voltage Range: ±       0.100 Volts 
     Total Laser Shots: 400 
     Excitation Offset Average:      0.00100 Volts 
     Blank Offset Average:      0.00100 Volts 
     Number of Data Points: 10000 
     Excitation Wavelength:    532.0 
     Observation Wavelength:    620.0 
     Comment:  
END HEADER 
    TIME        INTENSITY 
 -7.90000e-10,      9.95021e-02 
 -5.90000e-10,      9.88537e-02 
 -3.90000e-10,      9.71623e-02 
 -1.90000e-10,      9.46994e-02 
  1.00000e-11,      9.14670e-02 
  2.10000e-10,      8.77619e-02 
  4.10000e-10,      8.38849e-02 
  6.10000e-10,      7.97033e-02 
  8.10000e-10,      7.57541e-02 
  1.01000e-09,      7.17697e-02 
  1.21000e-09,      6.79142e-02 
  1.41000e-09,      6.39963e-02 
  1.61000e-09,      6.04728e-02 
  1.81000e-09,      5.69767e-02 
  2.01000e-09,      5.38634e-02 
  2.21000e-09,      5.09084e-02 
  2.41000e-09,      4.81271e-02 
  2.61000e-09,      4.56818e-02 
  2.81000e-09,      4.33361e-02 
  3.01000e-09,      4.11603e-02 
  3.21000e-09,      3.90412e-02 
  3.41000e-09,      3.71447e-02 
  3.61000e-09,      3.54201e-02 
  3.81000e-09,      3.37619e-02 
  4.01000e-09,      3.23068e-02 
  4.21000e-09,      3.10568e-02 
  4.41000e-09,      2.96935e-02 
  4.61000e-09,      2.83322e-02 
  4.81000e-09,      2.72658e-02 
  5.01000e-09,      2.59377e-02 
  5.21000e-09,      2.45431e-02 
  5.41000e-09,      2.33088e-02 
  5.61000e-09,      2.20978e-02 
  5.81000e-09,      2.07267e-02 
  6.01000e-09,      1.94963e-02 
  6.21000e-09,      1.83888e-02 
  6.41000e-09,      1.74670e-02 
  6.61000e-09,      1.64494e-02 
  6.81000e-09,      1.56759e-02 
  7.01000e-09,      1.48146e-02 
  7.21000e-09,      1.41037e-02 
  7.41000e-09,      1.35470e-02 
  7.61000e-09,      1.28615e-02 
  7.81000e-09,      1.24240e-02 
  8.01000e-09,      1.21427e-02 
  8.21000e-09,      1.18537e-02 
  8.41000e-09,      1.16701e-02 
  8.71000e-09,      1.16437e-02 
  9.01000e-09,      1.16349e-02 
  9.21000e-09,      1.16408e-02 
  9.41000e-09,      1.16603e-02 
  9.61000e-09,      1.15490e-02 
  9.81000e-09,      1.13869e-02 
  1.00100e-08,      1.10900e-02 
  1.02100e-08,      1.09298e-02 
  1.04100e-08,      1.04455e-02 
  1.07100e-08,      1.02052e-02 
  1.10100e-08,      1.01701e-02 
  1.12100e-08,      1.02502e-02 
  1.15100e-08,      1.05949e-02 
  1.18100e-08,      1.07755e-02 
  1.20100e-08,      1.08966e-02 
  1.23100e-08,      1.08732e-02 
  1.26100e-08,      1.06095e-02 
  1.29100e-08,      1.05978e-02 
  1.32100e-08,      1.04552e-02 
  1.35100e-08,      1.04250e-02 
  1.38100e-08,      1.06076e-02 
  1.41100e-08,      1.04562e-02 
  1.45100e-08,      9.73453e-03 
  1.48100e-08,      8.98648e-03 
  1.51100e-08,      7.98551e-03 
  1.55100e-08,      6.93180e-03 
  1.59100e-08,      6.39859e-03 
  1.62100e-08,      6.01188e-03 
  1.65100e-08,      5.76383e-03 
  1.69100e-08,      5.35660e-03 
  1.73100e-08,      5.21402e-03 
  1.77100e-08,      5.60074e-03 
  1.81100e-08,      6.84684e-03 
  1.86100e-08,      7.97932e-03 
  1.91100e-08,      7.65250e-03 
  1.95100e-08,      6.55582e-03 
  1.99100e-08,      5.09293e-03 
  2.04100e-08,      3.74820e-03 
  2.09100e-08,      3.15348e-03 
  2.14100e-08,      2.55419e-03 
  2.19100e-08,      2.14273e-03 
  2.24100e-08,      2.42529e-03 
  2.29100e-08,      3.04703e-03 
  2.34100e-08,      3.77490e-03 
  2.40100e-08,      4.13883e-03 
  2.46100e-08,      4.25211e-03 
  2.51100e-08,      4.47965e-03 
  2.56100e-08,      3.95003e-03 
  2.62100e-08,      2.42268e-03 
  2.69100e-08,      9.67930e-04 
  2.76100e-08,      1.25862e-03 
  2.82100e-08,      1.79508e-03 
  2.88100e-08,      1.97542e-03 
  2.95100e-08,      1.94791e-03 
  3.02100e-08,      2.35758e-03 
  3.09100e-08,      2.48063e-03 
  3.16100e-08,      2.57372e-03 
  3.23100e-08,      2.44010e-03 
  3.31100e-08,      1.20230e-03 
  3.39100e-08,      6.60801e-04 
  3.47100e-08,      1.83707e-03 
  3.55100e-08,      2.19010e-03 
  3.63100e-08,      2.10660e-03 
  3.71100e-08,      1.99869e-03 
  3.80100e-08,      8.55625e-04 
  3.89100e-08,      1.06852e-03 
  3.98100e-08,      1.37945e-03 
  4.07100e-08,      8.75645e-04 
  4.16100e-08,      1.38922e-03 
  4.26100e-08,      1.31344e-03 
  4.36100e-08,      1.58414e-03 
  4.46100e-08,      1.96813e-03 
  4.57100e-08,      1.48486e-03 
  4.68100e-08,      8.72031e-04 
  4.79100e-08,      6.62370e-05 
  4.90100e-08,      7.50156e-04 
  5.01100e-08,      7.27695e-04 
  5.13100e-08,      1.04736e-03 
  5.25100e-08,      1.16813e-03 
  5.37100e-08,      2.04931e-03 
  5.49100e-08,      1.09553e-03 
  5.62100e-08,      1.05680e-03 
  5.76100e-08,      1.32270e-03 
  5.89100e-08,      8.28281e-04 
  6.02100e-08,      1.11483e-03 
  6.16100e-08,      7.28951e-04 
  6.31100e-08,      5.75352e-04 
  6.46100e-08,      1.47979e-03 
  6.61100e-08,      1.31388e-03 
  6.76100e-08,      1.06935e-03 
  6.91100e-08,      6.13438e-04 
  7.08100e-08,      1.10975e-03 
  7.25100e-08,      3.47324e-04 
  7.41100e-08,      6.39561e-04 
  7.58100e-08,      8.07448e-04 
  7.76100e-08,      1.43006e-03 
  7.94100e-08,     -2.38125e-04 
  8.13100e-08,      8.23828e-05 
  8.32100e-08,      1.20545e-03 
  8.51100e-08,      4.19883e-04 
  8.71100e-08,      1.07848e-03 
  8.91100e-08,      3.10156e-05 
  9.12100e-08,      2.70753e-04 
  9.33100e-08,      7.97031e-04 
  9.54100e-08,      1.04774e-03 
  9.77100e-08,      3.73691e-04 
  1.00010e-07,      9.41740e-04 
  1.02310e-07,      2.25254e-04 
  1.04710e-07,      6.51523e-04 
  1.07110e-07,     -1.78717e-04 
  1.09610e-07,      5.83389e-04 
  1.12210e-07,     -6.05409e-05 
  1.14810e-07,      8.11304e-04 
  1.17510e-07,      6.69939e-04 
  1.20310e-07,      2.40670e-04 
  1.23110e-07,     -9.35938e-05 
  1.25910e-07,      4.57885e-04 
  1.28810e-07,      7.68516e-04 
  1.31810e-07,      6.29323e-04 
  1.34910e-07,      5.08701e-04 
  1.38110e-07,      4.43760e-04 
  1.41310e-07,      9.71470e-04 
  1.44610e-07,      7.39430e-06 
  1.48010e-07,      1.11240e-03 
  1.51410e-07,      3.53125e-05 
  1.54910e-07,      7.35942e-04 
  1.58510e-07,      2.77934e-04 
  1.62210e-07,      3.41336e-04 
  1.66010e-07,      6.10662e-04 
  1.69810e-07,      2.34223e-04 
  1.73710e-07,      6.77598e-04 
  1.77810e-07,      4.14509e-05 
  1.82010e-07,      6.14472e-05 
  1.86210e-07,      1.83192e-04 
  1.90510e-07,      6.17685e-05 
  1.95010e-07,      5.34633e-04 
  1.99610e-07,      2.69056e-05 
  2.04210e-07,      2.05319e-04 
  2.08910e-07,      2.83278e-04 
  2.13810e-07,      4.45156e-04 
  2.18810e-07,      6.17656e-04 
  2.23910e-07,      1.79168e-04 
  2.29110e-07,      2.08540e-04 
  2.34410e-07,      3.27269e-04 
  2.39910e-07,      1.63521e-04 
  2.45510e-07,      1.93237e-04 
  2.51210e-07,      1.01239e-05 
  2.57110e-07,      3.78542e-04 
  2.63110e-07,      2.97617e-04 
  2.69210e-07,     -3.70791e-05 
  2.75510e-07,      1.75449e-04 
  2.81910e-07,      3.85959e-04 
  2.88410e-07,      2.45185e-04 
  2.95110e-07,      2.45331e-04 
  3.02010e-07,      1.02779e-04 
  3.09010e-07,      5.67969e-05 
  3.16210e-07,      3.30076e-04 
  3.23610e-07,     -1.10874e-05 
  3.31110e-07,      1.26133e-04 
  3.38810e-07,      2.44948e-04 
  3.46710e-07,      2.28867e-04 
  3.54810e-07,      2.83836e-04 
  3.63110e-07,      2.53365e-04 
  3.71610e-07,      4.73492e-05 
  3.80210e-07,      4.35792e-05 
  3.89010e-07,     -2.44965e-05 
  3.98110e-07,      1.24095e-04 
  4.07410e-07,      4.43717e-05 
  4.16910e-07,      2.44378e-04 
  4.26610e-07,      3.61285e-04 
  4.36510e-07,      1.36133e-04 
  4.46710e-07,      2.15150e-04 
  4.57110e-07,      1.88220e-04 
  4.67710e-07,      2.25091e-04 
  4.78610e-07,      6.90128e-05 
  4.89810e-07,      1.45133e-04 
  5.01210e-07,      1.63396e-04 
  5.12810e-07,      2.15828e-04 
  5.24810e-07,      1.15871e-04 
  5.37110e-07,      2.16607e-04 
  5.49610e-07,      7.65761e-05 
  5.62410e-07,      2.14002e-05 
  5.75510e-07,      6.39583e-05 
  5.88910e-07,      5.64235e-05 
  6.02610e-07,      1.98781e-04 
  6.16610e-07,      1.58194e-04 
  6.31010e-07,      1.24220e-04 
  6.45710e-07,      8.51964e-05 
  6.60710e-07,      7.19593e-05 
