BEGIN HEADER 
     File Name: 82919_21.ns1
     Experiment Type: Luminescence        
     Digitizer: Fast
     Timebase:    2.000e-10 seconds per point 
     Time Range:    1.900e-06 seconds 
     Voltage Range: ±       0.100 Volts 
     Total Laser Shots: 400 
     Excitation Offset Average:      0.00098 Volts 
     Blank Offset Average:      0.00099 Volts 
     Number of Data Points: 10000 
     Excitation Wavelength:    532.0 
     Observation Wavelength:    620.0 
     Comment:  
END HEADER 
    TIME        INTENSITY 
 -9.93900e-08,      1.96543e-04 
 -9.77900e-08,     -1.41170e-04 
 -9.55900e-08,     -5.87837e-05 
 -9.33900e-08,     -4.06440e-04 
 -9.11900e-08,      8.11310e-05 
 -8.90900e-08,      3.20957e-04 
 -8.70900e-08,      5.31309e-04 
 -8.50900e-08,     -2.02676e-04 
 -8.31900e-08,     -1.25723e-04 
 -8.12900e-08,     -6.32227e-05 
 -7.93900e-08,      3.71673e-04 
 -7.75900e-08,      4.82350e-04 
 -7.57900e-08,      4.80614e-04 
 -7.40900e-08,      7.34961e-05 
 -7.24900e-08,     -3.36904e-04 
 -7.07900e-08,      1.88947e-04 
 -6.91900e-08,      6.20564e-05 
 -6.76900e-08,      7.74023e-05 
 -6.60900e-08,      6.95898e-05 
 -6.45900e-08,      5.27458e-04 
 -6.30900e-08,     -6.49316e-05 
 -6.15900e-08,     -3.91906e-04 
 -6.01900e-08,     -3.97486e-04 
 -5.88900e-08,      2.18353e-04 
 -5.75900e-08,      5.60103e-04 
 -5.62900e-08,     -3.58789e-05 
 -5.49900e-08,     -6.23770e-04 
 -5.36900e-08,     -6.88874e-04 
 -5.24900e-08,     -2.37376e-04 
 -5.12900e-08,      2.81504e-04 
 -5.00900e-08,     -7.65690e-05 
 -4.89900e-08,      1.32480e-04 
 -4.78900e-08,      3.84043e-04 
 -4.67900e-08,      3.74277e-04 
 -4.56900e-08,      9.23763e-05 
 -4.45900e-08,     -8.08008e-05 
 -4.35900e-08,     -1.53848e-04 
 -4.25900e-08,     -8.55020e-04 
 -4.16900e-08,     -8.47891e-04 
 -4.07900e-08,     -5.96426e-04 
 -3.97900e-08,     -2.51504e-04 
 -3.88900e-08,      2.90781e-04 
 -3.79900e-08,      9.33262e-04 
 -3.70900e-08,      3.52793e-04 
 -3.62900e-08,     -6.07813e-05 
 -3.54900e-08,     -6.55996e-04 
 -3.46900e-08,     -1.78979e-03 
 -3.38900e-08,     -1.15355e-03 
 -3.30900e-08,      1.83082e-03 
 -3.22900e-08,      3.51539e-03 
 -3.15900e-08,      1.47063e-03 
 -3.08900e-08,     -2.36791e-03 
 -3.01900e-08,     -4.36791e-03 
 -2.94900e-08,     -3.33129e-03 
 -2.87900e-08,     -3.73770e-04 
 -2.81900e-08,      2.46477e-03 
 -2.75900e-08,      3.50449e-03 
 -2.69900e-08,      1.98430e-03 
 -2.63900e-08,     -7.05801e-04 
 -2.57900e-08,     -1.69148e-03 
 -2.51900e-08,     -1.05671e-03 
 -2.45900e-08,     -2.65046e-04 
 -2.39900e-08,      4.12038e-04 
 -2.33900e-08,      1.24993e-03 
 -2.28900e-08,      1.38893e-03 
 -2.23900e-08,      9.10736e-04 
 -2.18900e-08,      1.56504e-04 
 -2.13900e-08,      5.13607e-05 
 -2.08900e-08,      5.80332e-04 
 -2.03900e-08,      1.43873e-03 
 -1.98900e-08,      2.17701e-03 
 -1.94900e-08,      2.50025e-03 
 -1.90900e-08,      2.62721e-03 
 -1.86900e-08,      2.87232e-03 
 -1.81900e-08,      3.40748e-03 
 -1.76900e-08,      4.40748e-03 
 -1.72900e-08,      5.92604e-03 
 -1.68900e-08,      8.31275e-03 
 -1.65900e-08,      1.05618e-02 
 -1.62900e-08,      1.37542e-02 
 -1.58900e-08,      1.85872e-02 
 -1.54900e-08,      2.36194e-02 
 -1.50900e-08,      2.93274e-02 
 -1.47900e-08,      3.42727e-02 
 -1.44900e-08,      3.97219e-02 
 -1.40900e-08,      4.82161e-02 
 -1.37900e-08,      5.52688e-02 
 -1.34900e-08,      6.32854e-02 
 -1.31900e-08,      7.16614e-02 
 -1.28900e-08,      8.06380e-02 
 -1.25900e-08,      8.92219e-02 
 -1.22900e-08,      9.53997e-02 
 -1.19900e-08,      9.88684e-02 
 -1.17900e-08,      9.98274e-02 
 -1.14900e-08,      9.99788e-02 
 -1.11900e-08,      9.95383e-02 
 -1.09900e-08,      9.91985e-02 
 -1.07900e-08,      9.87512e-02 
 -1.04900e-08,      9.81614e-02 
 -1.01900e-08,      9.78899e-02 
 -9.99000e-09,      9.78743e-02 
 -9.79000e-09,      9.80540e-02 
 -9.59000e-09,      9.83391e-02 
 -9.39000e-09,      9.85696e-02 
 -9.19000e-09,      9.85774e-02 
