BEGIN HEADER 
     File Name: 82919_14.ns1
     Experiment Type: Luminescence        
     Digitizer: Fast
     Timebase:    2.000e-10 seconds per point 
     Time Range:    1.900e-06 seconds 
     Voltage Range: ±       0.100 Volts 
     Total Laser Shots: 400 
     Excitation Offset Average:      0.00098 Volts 
     Blank Offset Average:      0.00099 Volts 
     Number of Data Points: 10000 
     Excitation Wavelength:    532.0 
     Observation Wavelength:    620.0 
     Comment:  
END HEADER 
    TIME        INTENSITY 
 -9.93900e-08,      1.79883e-05 
 -9.77900e-08,      2.15751e-04 
 -9.55900e-08,     -1.23560e-04 
 -9.33900e-08,     -3.38581e-04 
 -9.11900e-08,     -3.37163e-05 
 -8.90900e-08,      3.83027e-04 
 -8.70900e-08,     -2.71289e-05 
 -8.50900e-08,     -1.40215e-04 
 -8.31900e-08,     -1.18904e-04 
 -8.12900e-08,      2.10371e-04 
 -7.93900e-08,      2.64125e-04 
 -7.75900e-08,      3.08830e-04 
 -7.57900e-08,     -2.87524e-04 
 -7.40900e-08,     -3.88408e-04 
 -7.24900e-08,     -5.54912e-04 
 -7.07900e-08,     -1.76413e-04 
 -6.91900e-08,     -1.39314e-05 
 -6.76900e-08,      7.74121e-05 
 -6.60900e-08,      7.41230e-04 
 -6.45900e-08,      2.56892e-05 
 -6.30900e-08,     -2.55352e-04 
 -6.15900e-08,      3.13078e-04 
 -6.01900e-08,      5.76191e-04 
 -5.88900e-08,      4.53145e-04 
 -5.75900e-08,      2.83223e-04 
 -5.62900e-08,     -5.74850e-04 
 -5.49900e-08,     -6.91108e-04 
 -5.36900e-08,     -3.29408e-04 
 -5.24900e-08,     -4.03451e-05 
 -5.12900e-08,     -2.24264e-04 
 -5.00900e-08,     -4.19251e-04 
 -4.89900e-08,      2.71895e-04 
 -4.78900e-08,      5.01647e-04 
 -4.67900e-08,      4.44551e-04 
 -4.56900e-08,      1.23066e-04 
 -4.45900e-08,      3.01973e-04 
 -4.35900e-08,      1.13477e-05 
 -4.25900e-08,     -3.01543e-04 
 -4.16900e-08,     -5.97148e-04 
 -4.07900e-08,     -3.72637e-04 
 -3.97900e-08,     -3.28105e-04 
 -3.88900e-08,     -2.51445e-04 
 -3.79900e-08,      8.04883e-05 
 -3.70900e-08,     -1.03008e-04 
 -3.62900e-08,      9.08398e-05 
 -3.54900e-08,      2.06563e-04 
 -3.46900e-08,     -3.71074e-04 
 -3.38900e-08,     -3.97930e-04 
 -3.30900e-08,      1.41359e-03 
 -3.22900e-08,      1.98928e-03 
 -3.15900e-08,      1.19811e-04 
 -3.08900e-08,     -2.15867e-03 
 -3.01900e-08,     -2.25779e-03 
 -2.94900e-08,     -4.83379e-04 
 -2.87900e-08,      1.28908e-03 
 -2.81900e-08,      2.23700e-03 
 -2.75900e-08,      2.41929e-03 
 -2.69900e-08,      1.02476e-03 
 -2.63900e-08,     -7.40215e-04 
 -2.57900e-08,     -8.60007e-04 
 -2.51900e-08,     -1.65345e-04 
 -2.45900e-08,     -2.92949e-04 
 -2.39900e-08,     -6.78366e-04 
 -2.33900e-08,     -3.05970e-04 
 -2.28900e-08,      1.59199e-04 
 -2.23900e-08,      1.50410e-04 
 -2.18900e-08,      1.10371e-04 
 -2.13900e-08,      6.45202e-04 
 -2.08900e-08,      1.48732e-03 
 -2.03900e-08,      2.04950e-03 
 -1.98900e-08,      2.33010e-03 
 -1.94900e-08,      1.89943e-03 
 -1.90900e-08,      1.96584e-03 
 -1.86900e-08,      2.53322e-03 
 -1.81900e-08,      3.83400e-03 
 -1.76900e-08,      5.79787e-03 
 -1.72900e-08,      8.36135e-03 
 -1.68900e-08,      1.19268e-02 
 -1.65900e-08,      1.52793e-02 
 -1.62900e-08,      1.92910e-02 
 -1.58900e-08,      2.50205e-02 
 -1.54900e-08,      3.10381e-02 
 -1.50900e-08,      3.77715e-02 
 -1.47900e-08,      4.34258e-02 
 -1.44900e-08,      5.01084e-02 
 -1.40900e-08,      6.04795e-02 
 -1.37900e-08,      6.96797e-02 
 -1.34900e-08,      7.93301e-02 
 -1.31900e-08,      8.85371e-02 
 -1.28900e-08,      9.48233e-02 
 -1.25900e-08,      9.76817e-02 
 -1.22900e-08,      9.88203e-02 
 -1.19900e-08,      9.96524e-02 
 -1.17900e-08,      9.99336e-02 
 -1.14900e-08,      1.00037e-01 
 -1.11900e-08,      9.96758e-02 
 -1.09900e-08,      9.91485e-02 
 -1.07900e-08,      9.86113e-02 
 -1.04900e-08,      9.77549e-02 
 -1.01900e-08,      9.70957e-02 
 -9.99000e-09,      9.69746e-02 
 -9.79000e-09,      9.71680e-02 
 -9.59000e-09,      9.74473e-02 
 -9.39000e-09,      9.77735e-02 
 -9.19000e-09,      9.80781e-02 
