BEGIN HEADER 
     File Name: 82919_13.ns1
     Experiment Type: Luminescence        
     Digitizer: Fast
     Timebase:    2.000e-10 seconds per point 
     Time Range:    1.900e-06 seconds 
     Voltage Range: ±       0.100 Volts 
     Total Laser Shots: 400 
     Excitation Offset Average:      0.00099 Volts 
     Blank Offset Average:      0.00098 Volts 
     Number of Data Points: 10000 
     Excitation Wavelength:    532.0 
     Observation Wavelength:    620.0 
     Comment:  
END HEADER 
    TIME        INTENSITY 
 -9.93900e-08,      3.14141e-04 
 -9.77900e-08,     -2.84226e-04 
 -9.55900e-08,     -1.53899e-04 
 -9.33900e-08,     -3.76200e-04 
 -9.11900e-08,      1.92188e-05 
 -8.90900e-08,      3.21563e-04 
 -8.70900e-08,      3.05742e-04 
 -8.50900e-08,     -2.04609e-04 
 -8.31900e-08,     -1.33342e-04 
 -8.12900e-08,      3.68242e-04 
 -7.93900e-08,      4.07031e-05 
 -7.75900e-08,     -4.50174e-05 
 -7.57900e-08,      8.21528e-05 
 -7.40900e-08,      1.53008e-04 
 -7.24900e-08,      3.34404e-04 
 -7.07900e-08,      1.39010e-04 
 -6.91900e-08,      6.94420e-05 
 -6.76900e-08,     -5.53779e-04 
 -6.60900e-08,     -2.63984e-04 
 -6.45900e-08,     -1.36752e-04 
 -6.30900e-08,     -4.17305e-04 
 -6.15900e-08,     -1.15826e-04 
 -6.01900e-08,      2.63917e-04 
 -5.88900e-08,      1.65052e-04 
 -5.75900e-08,     -1.34799e-04 
 -5.62900e-08,      5.17708e-05 
 -5.49900e-08,      3.49297e-04 
 -5.36900e-08,     -1.63398e-04 
 -5.24900e-08,     -5.75833e-04 
 -5.12900e-08,     -6.24987e-04 
 -5.00900e-08,     -2.77005e-04 
 -4.89900e-08,     -5.57344e-04 
 -4.78900e-08,     -3.76289e-04 
 -4.67900e-08,     -5.57813e-05 
 -4.56900e-08,     -1.54935e-04 
 -4.45900e-08,     -5.10469e-04 
 -4.35900e-08,     -5.56563e-04 
 -4.25900e-08,     -1.78047e-04 
 -4.16900e-08,     -1.75605e-04 
 -4.07900e-08,     -2.95625e-04 
 -3.97900e-08,     -3.22969e-04 
 -3.88900e-08,      1.21758e-04 
 -3.79900e-08,      2.80156e-04 
 -3.70900e-08,      1.24688e-04 
 -3.62900e-08,      1.04668e-04 
 -3.54900e-08,     -2.47871e-04 
 -3.46900e-08,     -7.20039e-04 
 -3.38900e-08,     -2.21992e-04 
 -3.30900e-08,      1.14666e-03 
 -3.22900e-08,      1.41717e-03 
 -3.15900e-08,     -4.39115e-04 
 -3.08900e-08,     -2.34211e-03 
 -3.01900e-08,     -2.19953e-03 
 -2.94900e-08,     -7.03438e-04 
 -2.87900e-08,      3.07630e-04 
 -2.81900e-08,      1.08237e-03 
 -2.75900e-08,      1.20997e-03 
 -2.69900e-08,      2.13880e-04 
 -2.63900e-08,     -7.90677e-04 
 -2.57900e-08,     -5.21146e-04 
 -2.51900e-08,      1.84583e-04 
 -2.45900e-08,     -5.23958e-05 
 -2.39900e-08,     -5.91458e-04 
 -2.33900e-08,     -9.27604e-05 
 -2.28900e-08,      2.62383e-04 
 -2.23900e-08,      2.56198e-04 
 -2.18900e-08,      6.51172e-05 
 -2.13900e-08,      3.67526e-04 
 -2.08900e-08,      1.25164e-03 
 -2.03900e-08,      1.99188e-03 
 -1.98900e-08,      2.15789e-03 
 -1.94900e-08,      2.01824e-03 
 -1.90900e-08,      2.16961e-03 
 -1.86900e-08,      2.73113e-03 
 -1.81900e-08,      4.09018e-03 
 -1.76900e-08,      6.14422e-03 
 -1.72900e-08,      8.59539e-03 
 -1.68900e-08,      1.21032e-02 
 -1.65900e-08,      1.56403e-02 
 -1.62900e-08,      1.97780e-02 
 -1.58900e-08,      2.58337e-02 
 -1.54900e-08,      3.23210e-02 
 -1.50900e-08,      3.97878e-02 
 -1.47900e-08,      4.62067e-02 
 -1.44900e-08,      5.37809e-02 
 -1.40900e-08,      6.54196e-02 
 -1.37900e-08,      7.53239e-02 
 -1.34900e-08,      8.50602e-02 
 -1.31900e-08,      9.27282e-02 
 -1.28900e-08,      9.63054e-02 
 -1.25900e-08,      9.80290e-02 
 -1.22900e-08,      9.88200e-02 
 -1.19900e-08,      9.95466e-02 
 -1.17900e-08,      9.99040e-02 
 -1.14900e-08,      9.98171e-02 
 -1.11900e-08,      9.93532e-02 
 -1.09900e-08,      9.89040e-02 
 -1.07900e-08,      9.84098e-02 
 -1.04900e-08,      9.77194e-02 
 -1.01900e-08,      9.74079e-02 
 -9.99000e-09,      9.74138e-02 
 -9.79000e-09,      9.76013e-02 
 -9.59000e-09,      9.79313e-02 
 -9.39000e-09,      9.83024e-02 
