BEGIN HEADER 
     File Name: 82919_22.ns1
     Experiment Type: Luminescence        
     Digitizer: Fast
     Timebase:    2.000e-10 seconds per point 
     Time Range:    1.900e-06 seconds 
     Voltage Range: ±       0.100 Volts 
     Total Laser Shots: 400 
     Excitation Offset Average:      0.00100 Volts 
     Blank Offset Average:      0.00100 Volts 
     Number of Data Points: 10000 
     Excitation Wavelength:    532.0 
     Observation Wavelength:    620.0 
     Comment:  
END HEADER 
    TIME        INTENSITY 
 -9.93900e-08,     -2.05332e-04 
 -9.77900e-08,      3.07830e-05 
 -9.55900e-08,     -1.23336e-04 
 -9.33900e-08,     -1.78379e-04 
 -9.11900e-08,     -2.94146e-04 
 -8.90900e-08,      2.72598e-04 
 -8.70900e-08,      9.21289e-05 
 -8.50900e-08,      4.10879e-04 
 -8.31900e-08,     -6.37956e-05 
 -8.12900e-08,      3.15820e-05 
 -7.93900e-08,     -3.49169e-04 
 -7.75900e-08,     -1.08442e-05 
 -7.57900e-08,      4.77220e-04 
 -7.40900e-08,      7.87012e-05 
 -7.24900e-08,      2.13711e-04 
 -7.07900e-08,     -5.03407e-05 
 -6.91900e-08,     -2.26370e-04 
 -6.76900e-08,      2.86523e-05 
 -6.60900e-08,     -3.18027e-04 
 -6.45900e-08,     -3.63089e-04 
 -6.30900e-08,     -1.97178e-04 
 -6.15900e-08,     -7.08792e-04 
 -6.01900e-08,     -9.10522e-04 
 -5.88900e-08,     -3.29421e-04 
 -5.75900e-08,     -1.81727e-04 
 -5.62900e-08,     -5.80072e-04 
 -5.49900e-08,     -5.14258e-05 
 -5.36900e-08,     -3.15690e-05 
 -5.24900e-08,      3.25586e-05 
 -5.12900e-08,     -4.25449e-04 
 -5.00900e-08,     -6.18158e-04 
 -4.89900e-08,     -1.71738e-04 
 -4.78900e-08,     -1.63730e-04 
 -4.67900e-08,      4.74355e-04 
 -4.56900e-08,      4.45645e-04 
 -4.45900e-08,      1.02090e-04 
 -4.35900e-08,     -2.95508e-05 
 -4.25900e-08,     -1.75254e-04 
 -4.16900e-08,     -7.01328e-04 
 -4.07900e-08,     -7.73301e-04 
 -3.97900e-08,     -4.26035e-04 
 -3.88900e-08,      2.32813e-05 
 -3.79900e-08,      2.34512e-04 
 -3.70900e-08,      9.26172e-05 
 -3.62900e-08,      1.39492e-04 
 -3.54900e-08,     -5.22129e-04 
 -3.46900e-08,     -1.21012e-03 
 -3.38900e-08,     -4.74766e-04 
 -3.30900e-08,      1.13656e-03 
 -3.22900e-08,      1.33236e-03 
 -3.15900e-08,      3.71159e-05 
 -3.08900e-08,     -1.31852e-03 
 -3.01900e-08,     -1.98762e-03 
 -2.94900e-08,     -1.31412e-03 
 -2.87900e-08,      4.48574e-04 
 -2.81900e-08,      1.46160e-03 
 -2.75900e-08,      1.47592e-03 
 -2.69900e-08,      7.27220e-04 
 -2.63900e-08,     -2.73431e-04 
 -2.57900e-08,     -4.60280e-04 
 -2.51900e-08,     -1.67962e-04 
 -2.45900e-08,      8.85482e-05 
 -2.39900e-08,      1.28262e-04 
 -2.33900e-08,      5.90501e-04 
 -2.28900e-08,      9.63223e-04 
 -2.23900e-08,      8.48314e-04 
 -2.18900e-08,      8.66543e-04 
 -2.13900e-08,      9.14720e-04 
 -2.08900e-08,      1.18588e-03 
 -2.03900e-08,      1.62045e-03 
 -1.98900e-08,      1.79037e-03 
 -1.94900e-08,      1.87631e-03 
 -1.90900e-08,      1.93197e-03 
 -1.86900e-08,      2.01889e-03 
 -1.81900e-08,      2.76563e-03 
 -1.76900e-08,      4.17025e-03 
 -1.72900e-08,      5.89779e-03 
 -1.68900e-08,      8.57357e-03 
 -1.65900e-08,      1.08509e-02 
 -1.62900e-08,      1.34388e-02 
 -1.58900e-08,      1.73314e-02 
 -1.54900e-08,      2.15306e-02 
 -1.50900e-08,      2.62581e-02 
 -1.47900e-08,      3.02415e-02 
 -1.44900e-08,      3.51849e-02 
 -1.40900e-08,      4.26771e-02 
 -1.37900e-08,      4.88568e-02 
 -1.34900e-08,      5.59505e-02 
 -1.31900e-08,      6.36849e-02 
 -1.28900e-08,      7.19330e-02 
 -1.25900e-08,      8.06087e-02 
 -1.22900e-08,      8.88988e-02 
 -1.19900e-08,      9.54251e-02 
 -1.17900e-08,      9.78861e-02 
 -1.14900e-08,      9.92279e-02 
 -1.11900e-08,      9.90736e-02 
 -1.09900e-08,      9.85951e-02 
 -1.07900e-08,      9.81751e-02 
 -1.04900e-08,      9.77054e-02 
 -1.01900e-08,      9.77044e-02 
 -9.99000e-09,      9.78001e-02 
 -9.79000e-09,      9.79662e-02 
 -9.59000e-09,      9.81439e-02 
 -9.39000e-09,      9.81790e-02 
