BEGIN HEADER 
     File Name: 82919_15.ns1
     Experiment Type: Luminescence        
     Digitizer: Fast
     Timebase:    2.000e-10 seconds per point 
     Time Range:    1.900e-06 seconds 
     Voltage Range: ±       0.100 Volts 
     Total Laser Shots: 400 
     Excitation Offset Average:      0.00099 Volts 
     Blank Offset Average:      0.00099 Volts 
     Number of Data Points: 10000 
     Excitation Wavelength:    532.0 
     Observation Wavelength:    620.0 
     Comment:  
END HEADER 
    TIME        INTENSITY 
 -9.93900e-08,      4.31055e-04 
 -9.77900e-08,     -5.92862e-05 
 -9.55900e-08,     -6.23739e-04 
 -9.33900e-08,     -4.25053e-04 
 -9.11900e-08,      6.00515e-04 
 -8.90900e-08,      5.16211e-04 
 -8.70900e-08,      2.09766e-04 
 -8.50900e-08,      2.36328e-04 
 -8.31900e-08,     -7.63694e-04 
 -8.12900e-08,     -5.07813e-05 
 -7.93900e-08,      1.15428e-03 
 -7.75900e-08,      2.65386e-04 
 -7.57900e-08,      1.22591e-04 
 -7.40900e-08,      7.24609e-05 
 -7.24900e-08,     -2.18311e-04 
 -7.07900e-08,     -2.72808e-04 
 -6.91900e-08,      2.56892e-04 
 -6.76900e-08,      8.69580e-04 
 -6.60900e-08,     -3.98438e-05 
 -6.45900e-08,     -6.04715e-04 
 -6.30900e-08,     -2.42236e-04 
 -6.15900e-08,     -2.42829e-04 
 -6.01900e-08,      1.98577e-04 
 -5.88900e-08,      4.80990e-04 
 -5.75900e-08,      7.38756e-04 
 -5.62900e-08,      1.90951e-04 
 -5.49900e-08,     -3.72294e-04 
 -5.36900e-08,     -8.19141e-04 
 -5.24900e-08,     -1.21224e-04 
 -5.12900e-08,     -1.56380e-04 
 -5.00900e-08,      1.63607e-04 
 -4.89900e-08,      4.63867e-04 
 -4.78900e-08,      5.66927e-04 
 -4.67900e-08,      2.37305e-04 
 -4.56900e-08,      2.36328e-05 
 -4.45900e-08,      1.02930e-04 
 -4.35900e-08,     -2.54883e-04 
 -4.25900e-08,     -6.26758e-04 
 -4.16900e-08,     -4.58301e-04 
 -4.07900e-08,     -5.06836e-04 
 -3.97900e-08,     -1.48242e-04 
 -3.88900e-08,      5.39746e-04 
 -3.79900e-08,      5.20117e-04 
 -3.70900e-08,      6.23730e-04 
 -3.62900e-08,      4.13281e-04 
 -3.54900e-08,     -2.87402e-04 
 -3.46900e-08,     -1.08135e-03 
 -3.38900e-08,     -4.80762e-04 
 -3.30900e-08,      9.28906e-04 
 -3.22900e-08,      8.44922e-04 
 -3.15900e-08,     -7.56315e-04 
 -3.08900e-08,     -2.02275e-03 
 -3.01900e-08,     -1.16647e-03 
 -2.94900e-08,      2.55566e-04 
 -2.87900e-08,      1.30228e-03 
 -2.81900e-08,      1.89538e-03 
 -2.75900e-08,      1.94095e-03 
 -2.69900e-08,      5.62695e-04 
 -2.63900e-08,     -5.92253e-04 
 -2.57900e-08,     -5.04362e-04 
 -2.51900e-08,      4.43555e-04 
 -2.45900e-08,      2.72331e-04 
 -2.39900e-08,     -2.66081e-04 
 -2.33900e-08,     -4.50977e-04 
 -2.28900e-08,     -5.30078e-04 
 -2.23900e-08,     -5.77930e-04 
 -2.18900e-08,     -5.47656e-04 
 -2.13900e-08,      2.42839e-05 
 -2.08900e-08,      1.13789e-03 
 -2.03900e-08,      2.03991e-03 
 -1.98900e-08,      2.31270e-03 
 -1.94900e-08,      2.27949e-03 
 -1.90900e-08,      2.38008e-03 
 -1.86900e-08,      2.79414e-03 
 -1.81900e-08,      4.03600e-03 
 -1.76900e-08,      6.07051e-03 
 -1.72900e-08,      8.49336e-03 
 -1.68900e-08,      1.16789e-02 
 -1.65900e-08,      1.44006e-02 
 -1.62900e-08,      1.78215e-02 
 -1.58900e-08,      2.27609e-02 
 -1.54900e-08,      2.81379e-02 
 -1.50900e-08,      3.40324e-02 
 -1.47900e-08,      3.92795e-02 
 -1.44900e-08,      4.56281e-02 
 -1.40900e-08,      5.54055e-02 
 -1.37900e-08,      6.39807e-02 
 -1.34900e-08,      7.32404e-02 
 -1.31900e-08,      8.26369e-02 
 -1.28900e-08,      9.03049e-02 
 -1.25900e-08,      9.56232e-02 
 -1.22900e-08,      9.81574e-02 
 -1.19900e-08,      9.93947e-02 
 -1.17900e-08,      9.98186e-02 
 -1.14900e-08,      9.98264e-02 
 -1.11900e-08,      9.93947e-02 
 -1.09900e-08,      9.89084e-02 
 -1.07900e-08,      9.82854e-02 
 -1.04900e-08,      9.75666e-02 
 -1.01900e-08,      9.71740e-02 
 -9.99000e-09,      9.71408e-02 
 -9.79000e-09,      9.74260e-02 
 -9.59000e-09,      9.78205e-02 
 -9.39000e-09,      9.81877e-02 
 -9.19000e-09,      9.83322e-02 
