BEGIN HEADER 
     File Name: 82919_27.ns1
     Experiment Type: Luminescence        
     Digitizer: Fast
     Timebase:    2.000e-10 seconds per point 
     Time Range:    1.900e-06 seconds 
     Voltage Range: ±       0.100 Volts 
     Total Laser Shots: 400 
     Excitation Offset Average:      0.00098 Volts 
     Blank Offset Average:      0.00098 Volts 
     Number of Data Points: 10000 
     Excitation Wavelength:    532.0 
     Observation Wavelength:    620.0 
     Comment:  
END HEADER 
    TIME        INTENSITY 
 -9.93900e-08,      1.88711e-04 
 -9.77900e-08,     -8.19957e-06 
 -9.55900e-08,      1.92617e-04 
 -9.33900e-08,     -4.39308e-04 
 -9.11900e-08,     -3.60760e-05 
 -8.90900e-08,      6.60781e-04 
 -8.70900e-08,      2.72305e-04 
 -8.50900e-08,      2.18789e-04 
 -8.31900e-08,     -5.64978e-04 
 -8.12900e-08,     -4.39805e-04 
 -7.93900e-08,      1.87843e-04 
 -7.75900e-08,      1.25343e-04 
 -7.57900e-08,      4.24913e-06 
 -7.40900e-08,     -1.56016e-04 
 -7.24900e-08,     -1.33799e-04 
 -7.07900e-08,     -4.51046e-04 
 -6.91900e-08,     -3.12963e-04 
 -6.76900e-08,      5.26846e-04 
 -6.60900e-08,     -1.33555e-04 
 -6.45900e-08,     -3.57327e-04 
 -6.30900e-08,     -3.52793e-04 
 -6.15900e-08,      2.06289e-04 
 -6.01900e-08,      2.65999e-04 
 -5.88900e-08,      4.55964e-04 
 -5.75900e-08,     -9.70033e-05 
 -5.62900e-08,     -6.06380e-05 
 -5.49900e-08,     -5.11903e-04 
 -5.36900e-08,     -1.79128e-04 
 -5.24900e-08,     -4.24089e-05 
 -5.12900e-08,      1.05378e-04 
 -5.00900e-08,      1.75039e-04 
 -4.89900e-08,      1.29297e-05 
 -4.78900e-08,     -2.54818e-05 
 -4.67900e-08,     -7.26172e-05 
 -4.56900e-08,      2.15078e-04 
 -4.45900e-08,      8.73477e-04 
 -4.35900e-08,      3.32852e-04 
 -4.25900e-08,     -2.40195e-04 
 -4.16900e-08,      1.11074e-04 
 -4.07900e-08,     -2.73008e-04 
 -3.97900e-08,     -4.18320e-04 
 -3.88900e-08,     -2.67344e-04 
 -3.79900e-08,     -9.37109e-05 
 -3.70900e-08,      2.18750e-06 
 -3.62900e-08,     -1.23301e-04 
 -3.54900e-08,     -3.09824e-04 
 -3.46900e-08,     -6.31602e-04 
 -3.38900e-08,     -6.87266e-04 
 -3.30900e-08,      6.86758e-04 
 -3.22900e-08,      1.31225e-03 
 -3.15900e-08,     -2.63112e-04 
 -3.08900e-08,     -1.71900e-03 
 -3.01900e-08,     -1.89397e-03 
 -2.94900e-08,     -6.75547e-04 
 -2.87900e-08,      6.22305e-04 
 -2.81900e-08,      1.76033e-03 
 -2.75900e-08,      1.59105e-03 
 -2.69900e-08,      2.52513e-04 
 -2.63900e-08,     -6.47227e-04 
 -2.57900e-08,     -2.76133e-04 
 -2.51900e-08,     -1.46576e-04 
 -2.45900e-08,     -7.18841e-04 
 -2.39900e-08,     -8.67930e-04 
 -2.33900e-08,      1.69180e-04 
 -2.28900e-08,      7.31680e-04 
 -2.23900e-08,      5.61758e-04 
 -2.18900e-08,      1.23281e-04 
 -2.13900e-08,      3.24128e-04 
 -2.08900e-08,      8.97695e-04 
 -2.03900e-08,      1.15616e-03 
 -1.98900e-08,      1.03637e-03 
 -1.94900e-08,      1.07348e-03 
 -1.90900e-08,      1.45824e-03 
 -1.86900e-08,      2.37719e-03 
 -1.81900e-08,      3.78832e-03 
 -1.76900e-08,      5.42504e-03 
 -1.72900e-08,      7.45922e-03 
 -1.68900e-08,      1.01799e-02 
 -1.65900e-08,      1.28332e-02 
 -1.62900e-08,      1.61897e-02 
 -1.58900e-08,      2.07541e-02 
 -1.54900e-08,      2.56741e-02 
 -1.50900e-08,      3.09006e-02 
 -1.47900e-08,      3.53606e-02 
 -1.44900e-08,      4.07444e-02 
 -1.40900e-08,      4.90364e-02 
 -1.37900e-08,      5.61711e-02 
 -1.34900e-08,      6.39075e-02 
 -1.31900e-08,      7.19739e-02 
 -1.28900e-08,      8.03293e-02 
 -1.25900e-08,      8.83625e-02 
 -1.22900e-08,      9.45002e-02 
 -1.19900e-08,      9.85637e-02 
 -1.17900e-08,      9.95989e-02 
 -1.14900e-08,      1.00028e-01 
 -1.11900e-08,      9.96477e-02 
 -1.09900e-08,      9.90598e-02 
 -1.07900e-08,      9.84661e-02 
 -1.04900e-08,      9.76575e-02 
 -1.01900e-08,      9.72649e-02 
 -9.99000e-09,      9.73957e-02 
 -9.79000e-09,      9.73996e-02 
 -9.59000e-09,      9.76789e-02 
 -9.39000e-09,      9.78821e-02 
