BEGIN HEADER 
     File Name: 82919_19.ns1
     Experiment Type: Luminescence        
     Digitizer: Fast
     Timebase:    2.000e-10 seconds per point 
     Time Range:    1.900e-06 seconds 
     Voltage Range: ±       0.100 Volts 
     Total Laser Shots: 400 
     Excitation Offset Average:      0.00099 Volts 
     Blank Offset Average:      0.00100 Volts 
     Number of Data Points: 10000 
     Excitation Wavelength:    532.0 
     Observation Wavelength:    620.0 
     Comment:  
END HEADER 
    TIME        INTENSITY 
 -9.93900e-08,      3.84375e-04 
 -9.77900e-08,      4.06570e-04 
 -9.55900e-08,     -1.87536e-04 
 -9.33900e-08,     -8.46626e-04 
 -9.11900e-08,      1.19638e-04 
 -8.90900e-08,      6.25586e-04 
 -8.70900e-08,      5.58594e-05 
 -8.50900e-08,     -4.62891e-05 
 -8.31900e-08,     -4.99740e-04 
 -8.12900e-08,      1.25391e-04 
 -7.93900e-08,      7.34418e-04 
 -7.75900e-08,      6.86458e-04 
 -7.57900e-08,      3.38976e-05 
 -7.40900e-08,     -2.86768e-04 
 -7.24900e-08,     -3.17041e-04 
 -7.07900e-08,      1.28516e-04 
 -6.91900e-08,      4.00558e-04 
 -6.76900e-08,      5.34033e-04 
 -6.60900e-08,      4.33936e-04 
 -6.45900e-08,     -1.84821e-04 
 -6.30900e-08,     -5.91699e-04 
 -6.15900e-08,      1.08705e-04 
 -6.01900e-08,      3.46429e-04 
 -5.88900e-08,      3.62565e-04 
 -5.75900e-08,      1.39397e-04 
 -5.62900e-08,      3.10156e-04 
 -5.49900e-08,     -4.31194e-04 
 -5.36900e-08,     -3.14518e-04 
 -5.24900e-08,     -1.03581e-04 
 -5.12900e-08,     -2.49740e-04 
 -5.00900e-08,     -1.82943e-05 
 -4.89900e-08,     -4.53125e-05 
 -4.78900e-08,      2.17057e-04 
 -4.67900e-08,      2.70313e-04 
 -4.56900e-08,      2.58073e-04 
 -4.45900e-08,     -4.09375e-04 
 -4.35900e-08,     -6.02734e-04 
 -4.25900e-08,     -1.54688e-04 
 -4.16900e-08,      2.34473e-04 
 -4.07900e-08,     -2.96875e-05 
 -3.97900e-08,     -4.19531e-04 
 -3.88900e-08,      9.76563e-08 
 -3.79900e-08,      6.19141e-04 
 -3.70900e-08,      6.45117e-04 
 -3.62900e-08,      4.62500e-04 
 -3.54900e-08,      2.38379e-04 
 -3.46900e-08,     -6.30273e-04 
 -3.38900e-08,     -1.22793e-03 
 -3.30900e-08,      3.50684e-04 
 -3.22900e-08,      1.70078e-03 
 -3.15900e-08,      6.83854e-04 
 -3.08900e-08,     -1.57119e-03 
 -3.01900e-08,     -2.57721e-03 
 -2.94900e-08,     -1.17617e-03 
 -2.87900e-08,      3.34245e-04 
 -2.81900e-08,      1.57839e-03 
 -2.75900e-08,      1.88307e-03 
 -2.69900e-08,      1.15065e-03 
 -2.63900e-08,     -4.51563e-04 
 -2.57900e-08,     -1.29010e-03 
 -2.51900e-08,     -8.16797e-04 
 -2.45900e-08,      5.16927e-05 
 -2.39900e-08,      2.97135e-04 
 -2.33900e-08,      1.02474e-04 
 -2.28900e-08,      3.03320e-04 
 -2.23900e-08,      5.23438e-05 
 -2.18900e-08,     -1.60547e-04 
 -2.13900e-08,      6.08073e-05 
 -2.08900e-08,      7.53516e-04 
 -2.03900e-08,      1.74570e-03 
 -1.98900e-08,      2.27012e-03 
 -1.94900e-08,      2.13340e-03 
 -1.90900e-08,      2.28086e-03 
 -1.86900e-08,      2.72129e-03 
 -1.81900e-08,      3.70664e-03 
 -1.76900e-08,      5.50840e-03 
 -1.72900e-08,      7.45176e-03 
 -1.68900e-08,      1.03023e-02 
 -1.65900e-08,      1.31949e-02 
 -1.62900e-08,      1.67096e-02 
 -1.58900e-08,      2.20230e-02 
 -1.54900e-08,      2.81285e-02 
 -1.50900e-08,      3.46568e-02 
 -1.47900e-08,      3.99879e-02 
 -1.44900e-08,      4.59850e-02 
 -1.40900e-08,      5.51051e-02 
 -1.37900e-08,      6.27516e-02 
 -1.34900e-08,      7.13248e-02 
 -1.31900e-08,      8.04605e-02 
 -1.28900e-08,      8.87535e-02 
 -1.25900e-08,      9.52730e-02 
 -1.22900e-08,      9.81568e-02 
 -1.19900e-08,      9.95172e-02 
 -1.17900e-08,      9.98688e-02 
 -1.14900e-08,      1.00149e-01 
 -1.11900e-08,      1.00048e-01 
 -1.09900e-08,      9.95973e-02 
 -1.07900e-08,      9.90953e-02 
 -1.04900e-08,      9.84332e-02 
 -1.01900e-08,      9.80543e-02 
 -9.99000e-09,      9.79488e-02 
 -9.79000e-09,      9.79996e-02 
 -9.59000e-09,      9.82770e-02 
 -9.39000e-09,      9.85289e-02 
 -9.19000e-09,      9.86988e-02 
