"# Absorbance spectra - 1, from initial read before kinetic loop",,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6
570,0.034,0.034,0.034,0.034,0.033,0.063,0.033,0.034,0.04,0.034,0.034,0.033,0.043,0.042,0.042,0.035,0.034,0.034,0.044,0.048,0.047,0.047,0.045,0.044,0.043,0.041,0.042
580,0.034,0.034,0.033,0.034,0.033,0.069,0.033,0.034,0.041,0.034,0.034,0.033,0.044,0.043,0.043,0.035,0.034,0.034,0.046,0.049,0.049,0.048,0.047,0.045,0.044,0.042,0.043
590,0.034,0.034,0.033,0.034,0.033,0.075,0.033,0.034,0.042,0.034,0.034,0.033,0.045,0.045,0.045,0.035,0.035,0.034,0.048,0.051,0.05,0.05,0.049,0.048,0.046,0.044,0.045
600,0.034,0.034,0.033,0.034,0.033,0.081,0.033,0.033,0.043,0.034,0.034,0.034,0.047,0.046,0.047,0.034,0.034,0.034,0.049,0.052,0.052,0.052,0.051,0.05,0.047,0.045,0.046
610,0.034,0.034,0.033,0.033,0.033,0.088,0.033,0.033,0.044,0.034,0.034,0.033,0.049,0.048,0.048,0.034,0.034,0.033,0.051,0.054,0.053,0.054,0.052,0.052,0.048,0.046,0.048
620,0.034,0.033,0.033,0.033,0.033,0.094,0.033,0.033,0.045,0.034,0.034,0.034,0.05,0.049,0.049,0.034,0.034,0.034,0.052,0.056,0.055,0.056,0.054,0.054,0.05,0.047,0.049
630,0.034,0.033,0.032,0.033,0.033,0.1,0.033,0.033,0.046,0.034,0.033,0.033,0.052,0.05,0.05,0.034,0.034,0.033,0.054,0.057,0.056,0.058,0.056,0.056,0.051,0.048,0.05
640,0.034,0.033,0.032,0.033,0.033,0.105,0.033,0.033,0.047,0.034,0.034,0.033,0.053,0.051,0.051,0.033,0.034,0.033,0.056,0.059,0.057,0.059,0.057,0.057,0.052,0.049,0.052
650,0.034,0.033,0.032,0.033,0.033,0.109,0.032,0.033,0.048,0.033,0.033,0.033,0.054,0.052,0.052,0.034,0.034,0.033,0.058,0.06,0.059,0.061,0.059,0.059,0.054,0.05,0.053
660,0.033,0.033,0.032,0.033,0.033,0.113,0.032,0.033,0.049,0.033,0.033,0.033,0.055,0.053,0.053,0.033,0.034,0.033,0.058,0.061,0.06,0.062,0.059,0.06,0.055,0.051,0.054
670,0.034,0.033,0.032,0.033,0.033,0.116,0.032,0.033,0.05,0.033,0.033,0.033,0.056,0.054,0.053,0.033,0.033,0.033,0.059,0.061,0.06,0.062,0.06,0.06,0.055,0.052,0.054
680,0.033,0.033,0.032,0.032,0.032,0.117,0.032,0.032,0.049,0.033,0.033,0.033,0.056,0.054,0.053,0.033,0.033,0.033,0.06,0.062,0.061,0.063,0.06,0.061,0.056,0.052,0.055
690,0.034,0.033,0.032,0.032,0.032,0.118,0.032,0.033,0.05,0.033,0.033,0.033,0.057,0.054,0.053,0.033,0.034,0.033,0.06,0.063,0.061,0.063,0.06,0.061,0.056,0.052,0.055
700,0.033,0.033,0.032,0.033,0.033,0.117,0.032,0.033,0.05,0.033,0.033,0.033,0.057,0.054,0.054,0.033,0.033,0.033,0.06,0.062,0.06,0.063,0.06,0.061,0.056,0.052,0.055
