row,1,2,3,4,5,6,7,8,9,10,11,12
A,228,167,759,215,218,231,160,154,163,150,162,171
B,209,206,184,163,178,171,162,165,160,163,173,167
C,205,213,187,170,176,175,166,140,169,164,154,166
D,209,206,180,160,161,166,195,197,201,230,246,252
E,262,236,226,218,191,204,207,212,197,212,246,250
F,1090,1002,935,937,952,908,194,230,235,348,264,273
G,1070,940,1018,996,1000,928,213,243,230,250,282,263
H,998,855,844,973,983,938,213,214,230,237,277,277
