quencher_eq,run,term,estimate,std.error,statistic,p.value
0,2,A1,0.009211009877575243,3.425831867198727e-4,26.886929174101606,3.18792682221809e-64
0,2,lrc1,15.934877678657282,0.05841069997222637,272.8075110593459,3.8300429352243867e-233
0,2,A2,0.004876480986196889,4.044460102115607e-4,12.057186529411087,8.627473392598154e-25
0,2,lrc2,14.24971959020891,0.07370687064440422,193.32959689682255,6.556030001767025e-207
1,3,A1,0.007351739079827354,4.7828428291285795e-4,15.371065582698272,2.3270648403670424e-34
1,3,lrc1,15.561997575497566,0.0845174679783561,184.12758862443448,3.357268213016522e-203
1,3,A2,0.002271789878457323,5.357797296932945e-4,4.240156453395134,3.601623277729717e-5
1,3,lrc2,13.891523947293951,0.22078582577948128,62.91854967704616,1.3981080232491526e-122
2,4,A1,0.005841683735396076,4.2612918041035004e-4,13.708715581905713,1.4304836526287794e-29
2,4,lrc1,15.899934651560562,0.09879929889572951,160.9316546703533,5.720045472883091e-193
2,4,A2,0.0029463881811187887,4.917950517470249e-4,5.991089521238992,1.1473685648238792e-8
2,4,lrc2,14.354174372139207,0.13324177137157103,107.7302877647112,1.3189844848677e-162
3,5,A1,0.004232768606767925,9.684058542711266e-4,4.370862266166007,2.136158538051863e-5
3,5,lrc1,15.514271474832231,0.19816333995644483,78.29032089508675,1.9656059747067376e-136
3,5,A2,0.0013618897554896203,0.001031624099294182,1.3201414705428072,0.1885419386390793
3,5,lrc2,14.252206401865417,0.49729085985872673,28.65969908619327,2.1276107557980668e-67
4,6,A1,0.0033174695486079212,9.200449322764829e-4,3.6057690578213935,4.075075443413925e-4
4,6,lrc1,15.377207733579677,0.2375157718525035,64.74183846253743,1.0513922433485893e-122
4,6,A2,6.893642217157148e-4,9.738398189415307e-4,0.7078825575904123,0.47997632472445384
4,6,lrc2,14.07860013086288,0.9841458295346354,14.30540038717647,4.35777928206409e-31
