-0.000, 8.250e-9, -1.035e-8, 3.367e+1
-0.001, 8.299e-9, -1.027e-8, 3.400e+1
-0.002, 8.309e-9, -1.020e-8, 3.433e+1
-0.003, 8.370e-9, -1.014e-8, 3.467e+1
-0.004, 8.417e-9, -1.006e-8, 3.500e+1
-0.005, 8.446e-9, -9.993e-9, 3.533e+1
-0.006, 8.508e-9, -9.972e-9, 3.567e+1
-0.007, 8.546e-9, -9.924e-9, 3.600e+1
-0.008, 8.573e-9, -9.856e-9, 3.633e+1
-0.009, 8.629e-9, -9.802e-9, 3.667e+1
-0.010, 8.657e-9, -9.739e-9, 3.700e+1
-0.011, 8.700e-9, -9.680e-9, 3.733e+1
-0.012, 8.739e-9, -9.634e-9, 3.767e+1
-0.013, 8.770e-9, -9.578e-9, 3.800e+1
-0.014, 8.824e-9, -9.517e-9, 3.833e+1
-0.015, 8.864e-9, -9.464e-9, 3.867e+1
-0.016, 8.903e-9, -9.412e-9, 3.900e+1
-0.017, 8.961e-9, -9.370e-9, 3.933e+1
-0.018, 8.996e-9, -9.337e-9, 3.967e+1
-0.019, 9.044e-9, -9.296e-9, 4.000e+1
-0.020, 9.095e-9, -9.242e-9, 4.033e+1
-0.021, 9.119e-9, -9.191e-9, 4.067e+1
-0.022, 9.156e-9, -9.144e-9, 4.100e+1
-0.023, 9.194e-9, -9.093e-9, 4.133e+1
-0.024, 9.231e-9, -9.051e-9, 4.167e+1
-0.025, 9.281e-9, -9.010e-9, 4.200e+1
-0.026, 9.311e-9, -8.957e-9, 4.233e+1
-0.027, 9.361e-9, -8.914e-9, 4.267e+1
-0.028, 9.389e-9, -8.876e-9, 4.300e+1
-0.029, 9.370e-9, -8.848e-9, 4.333e+1
-0.030, 9.434e-9, -8.808e-9, 4.367e+1
-0.031, 9.393e-9, -8.822e-9, 4.400e+1
-0.032, 9.442e-9, -8.762e-9, 4.433e+1
-0.033, 9.615e-9, -8.651e-9, 4.467e+1
-0.034, 9.672e-9, -8.589e-9, 4.500e+1
-0.035, 9.704e-9, -8.560e-9, 4.533e+1
-0.036, 9.753e-9, -8.531e-9, 4.567e+1
-0.037, 9.783e-9, -8.497e-9, 4.600e+1
-0.038, 9.817e-9, -8.458e-9, 4.633e+1
-0.039, 9.875e-9, -8.426e-9, 4.667e+1
-0.040, 9.926e-9, -8.387e-9, 4.700e+1
-0.041, 9.961e-9, -8.356e-9, 4.733e+1
-0.042, 9.998e-9, -8.320e-9, 4.767e+1
-0.043, 1.004e-8, -8.294e-9, 4.800e+1
-0.044, 1.011e-8, -8.257e-9, 4.833e+1
-0.045, 1.015e-8, -8.222e-9, 4.867e+1
-0.046, 1.020e-8, -8.178e-9, 4.900e+1
-0.047, 1.025e-8, -8.148e-9, 4.933e+1
-0.048, 1.030e-8, -8.128e-9, 4.967e+1
-0.049, 1.035e-8, -8.087e-9, 5.000e+1
-0.050, 1.040e-8, -8.061e-9, 5.033e+1
-0.051, 1.046e-8, -8.037e-9, 5.067e+1
-0.052, 1.051e-8, -7.998e-9, 5.100e+1
-0.053, 1.056e-8, -7.966e-9, 5.133e+1
-0.054, 1.061e-8, -7.935e-9, 5.167e+1
-0.055, 1.066e-8, -7.907e-9, 5.200e+1
-0.056, 1.072e-8, -7.860e-9, 5.233e+1
-0.057, 1.078e-8, -7.833e-9, 5.267e+1
-0.058, 1.082e-8, -7.793e-9, 5.300e+1
-0.059, 1.087e-8, -7.774e-9, 5.333e+1
-0.060, 1.094e-8, -7.741e-9, 5.367e+1
-0.061, 1.096e-8, -7.719e-9, 5.400e+1
-0.062, 1.102e-8, -7.701e-9, 5.433e+1
-0.063, 1.109e-8, -7.678e-9, 5.467e+1
-0.064, 1.115e-8, -7.643e-9, 5.500e+1
-0.065, 1.120e-8, -7.617e-9, 5.533e+1
-0.066, 1.124e-8, -7.592e-9, 5.567e+1
-0.067, 1.131e-8, -7.559e-9, 5.600e+1
-0.068, 1.138e-8, -7.528e-9, 5.633e+1
-0.069, 1.143e-8, -7.498e-9, 5.667e+1
-0.070, 1.150e-8, -7.468e-9, 5.700e+1
-0.071, 1.155e-8, -7.458e-9, 5.733e+1
-0.072, 1.159e-8, -7.436e-9, 5.767e+1
-0.073, 1.166e-8, -7.423e-9, 5.800e+1
