Feb. 3, 2006   03:11:07
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\3\75um_control_transfer_3_swv_7.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.8362673e-6, 1.1707316e-6
0.098, 2.2052654e-6, 1.2987332e-6
0.097, 2.2413803e-6, 1.3341059e-6
0.096, 2.2329866e-6, 1.3306758e-6
0.095, 2.2360043e-6, 1.2478260e-6
0.094, 2.2392037e-6, 1.2563187e-6
0.093, 2.2225481e-6, 1.3238816e-6
0.092, 2.2557438e-6, 1.3407519e-6
0.091, 2.2037648e-6, 1.4102769e-6
0.090, 2.2002523e-6, 1.3375195e-6
0.089, 2.1855426e-6, 1.2997721e-6
0.088, 2.2321126e-6, 1.3373876e-6
0.087, 2.1904568e-6, 1.2560055e-6
0.086, 2.1589262e-6, 1.2251347e-6
0.085, 2.2027755e-6, 1.2962265e-6
0.084, 2.1599653e-6, 1.2936705e-6
0.083, 2.1645828e-6, 1.3176646e-6
0.082, 2.1487517e-6, 1.3340564e-6
0.081, 2.1477292e-6, 1.2510748e-6
0.080, 2.1386427e-6, 1.3060220e-6
0.079, 2.1466903e-6, 1.2130304e-6
0.078, 2.1535834e-6, 1.1433733e-6
0.077, 2.1453545e-6, 1.2170707e-6
0.076, 2.1666772e-6, 1.2476942e-6
0.075, 2.1093715e-6, 1.2375688e-6
0.074, 2.0945133e-6, 1.2473809e-6
0.073, 2.1289791e-6, 1.3443962e-6
0.072, 2.1026929e-6, 1.2365958e-6
0.071, 2.1001697e-6, 1.2528558e-6
0.070, 2.0866969e-6, 1.1748213e-6
0.069, 2.1026269e-6, 1.1336272e-6
0.068, 2.1347344e-6, 1.1998213e-6
0.067, 2.1047047e-6, 1.1617440e-6
0.066, 2.0656380e-6, 1.1827369e-6
0.065, 2.0512744e-6, 1.3056592e-6
0.064, 2.1049025e-6, 1.2353095e-6
0.063, 2.0642528e-6, 1.1917409e-6
0.062, 2.0604928e-6, 1.1941816e-6
0.061, 2.0832831e-6, 1.1994584e-6
0.060, 2.0486523e-6, 1.1444946e-6
0.059, 2.0839593e-6, 1.1740792e-6
0.058, 2.0382467e-6, 1.1533502e-6
0.057, 2.0652258e-6, 1.2571269e-6
0.056, 2.0706677e-6, 1.2891519e-6
0.055, 2.0146483e-6, 1.1436537e-6
0.054, 2.0286327e-6, 1.1971663e-6
0.053, 2.0440680e-6, 1.1308898e-6
0.052, 2.0690845e-6, 1.1019154e-6
0.051, 2.0641207e-6, 1.1023442e-6
0.050, 2.0530224e-6, 1.1199893e-6
0.049, 2.0581181e-6, 1.1610680e-6
0.048, 2.0271980e-6, 1.2019486e-6
0.047, 2.0155060e-6, 1.2074895e-6
0.046, 2.0071616e-6, 1.1361338e-6
0.045, 2.0359544e-6, 1.1564670e-6
0.044, 2.0380983e-6, 1.1538943e-6
0.043, 2.0043251e-6, 1.0291251e-6
0.042, 2.0303146e-6, 1.0884260e-6
0.041, 2.0051825e-6, 1.1428126e-6
0.040, 2.0163304e-6, 1.1294551e-6
0.039, 2.0163800e-6, 1.1801149e-6
0.038, 2.0046054e-6, 1.1680601e-6
0.037, 2.0198925e-6, 1.1453358e-6
0.036, 2.0141042e-6, 1.1145803e-6
0.035, 2.0246748e-6, 1.0458137e-6
0.034, 2.0147309e-6, 1.0517668e-6
0.033, 2.0173693e-6, 1.1407018e-6
0.032, 2.0191010e-6, 1.0831488e-6
0.031, 1.9781874e-6, 1.0804279e-6
0.030, 1.9972670e-6, 1.1895311e-6
0.029, 1.9848660e-6, 1.1033997e-6
0.028, 1.9982731e-6, 1.1026740e-6
0.027, 1.9739491e-6, 1.0322913e-6
0.026, 1.9751033e-6, 1.0014205e-6
0.025, 2.0130321e-6, 1.0665592e-6
0.024, 1.9899946e-6, 1.0591218e-6
0.023, 1.9898957e-6, 1.0435050e-6
0.022, 1.9248725e-6, 1.1332480e-6
0.021, 1.9934412e-6, 1.1994586e-6
0.020, 1.9789293e-6, 1.0652893e-6
0.019, 1.9500540e-6, 1.0419712e-6
0.018, 1.9660336e-6, 1.0528223e-6
0.017, 1.9651759e-6, 1.0105068e-6
0.016, 1.9859212e-6, 1.0257609e-6
0.015, 1.9776594e-6, 1.0304113e-6
0.014, 1.9670561e-6, 1.0586106e-6
0.013, 1.9604431e-6, 1.1313020e-6
0.012, 1.9560894e-6, 1.1318298e-6
0.011, 1.9363831e-6, 1.0580993e-6
0.010, 1.9469371e-6, 1.0696924e-6
0.009, 1.9830850e-6, 1.0273441e-6
0.008, 1.9739327e-6, 9.6040776e-7
0.007, 1.9530717e-6, 9.8989335e-7
0.006, 1.9829199e-6, 1.0439173e-6
0.005, 1.9407034e-6, 1.0314832e-6
0.004, 1.9642855e-6, 1.1099464e-6
0.003, 1.9702222e-6, 1.0055597e-6
0.002, 1.9622735e-6, 1.0614800e-6
0.001, 1.9678639e-6, 1.0820440e-6
-0.000, 1.9350803e-6, 9.7378188e-7
-0.001, 1.9462775e-6, 9.6296390e-7
-0.002, 1.9530057e-6, 1.0239139e-6
-0.003, 1.9766701e-6, 1.0453849e-6
-0.004, 1.9362180e-6, 1.0001672e-6
-0.005, 1.9303309e-6, 1.1044715e-6
-0.006, 1.9483389e-6, 1.1189010e-6
-0.007, 1.9354595e-6, 1.0255960e-6
-0.008, 1.9601462e-6, 1.0153387e-6
-0.009, 1.9153738e-6, 9.7160512e-7
-0.010, 1.9489985e-6, 9.5786834e-7
-0.011, 1.9514555e-6, 1.0312358e-6
-0.012, 1.9346185e-6, 9.8671069e-7
-0.013, 1.9202880e-6, 1.0169053e-6
-0.014, 1.9336951e-6, 1.0961436e-6
-0.015, 1.9433587e-6, 1.0444450e-6
-0.016, 1.9155716e-6, 1.0028057e-6
-0.017, 1.9146810e-6, 1.0174331e-6
