Feb. 3, 2006   03:07:46
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\3\75um_control_transfer_3_gc_5.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.000, -8.7445045e-8, -1.1322694e-7, 3.3333334e-1
-0.001, -6.9694472e-8, -9.7892688e-8, 6.6666669e-1
-0.002, -5.8730215e-8, -8.6204068e-8, 1.0000000e+0
-0.003, -5.1190224e-8, -7.7276937e-8, 1.3333334e+0
-0.004, -4.5434298e-8, -7.0167033e-8, 1.6666667e+0
-0.005, -4.0619060e-8, -6.4298078e-8, 2.0000000e+0
-0.006, -3.7022406e-8, -5.9594029e-8, 2.3333333e+0
-0.007, -3.3583280e-8, -5.5508906e-8, 2.6666665e+0
-0.008, -3.0947199e-8, -5.2093025e-8, 2.9999998e+0
-0.009, -2.8549485e-8, -4.9069438e-8, 3.3333330e+0
-0.010, -2.6473531e-8, -4.6470184e-8, 3.6666663e+0
-0.011, -2.4594645e-8, -4.4128623e-8, 3.9999995e+0
-0.012, -2.2916899e-8, -4.2073680e-8, 4.3333330e+0
-0.013, -2.1439336e-8, -4.0200785e-8, 4.6666665e+0
-0.014, -2.0142224e-8, -3.8546922e-8, 5.0000000e+0
-0.015, -1.8820108e-8, -3.6999303e-8, 5.3333335e+0
-0.016, -1.7812328e-8, -3.5606178e-8, 5.6666670e+0
-0.017, -1.6866853e-8, -3.4346446e-8, 6.0000005e+0
-0.018, -1.5682053e-8, -3.3181220e-8, 6.3333340e+0
-0.019, -1.4860555e-8, -3.2086845e-8, 6.6666675e+0
-0.020, -1.4100246e-8, -3.1103749e-8, 7.0000010e+0
-0.021, -1.3267563e-8, -3.0177368e-8, 7.3333344e+0
-0.022, -1.2642015e-8, -2.9305703e-8, 7.6666679e+0
-0.023, -1.1975405e-8, -2.8417025e-8, 8.0000010e+0
-0.024, -1.1314148e-8, -2.7545118e-8, 8.3333340e+0
-0.025, -1.0732293e-8, -2.6838970e-8, 8.6666670e+0
-0.026, -1.0083338e-8, -2.6128186e-8, 9.0000000e+0
-0.027, -9.5901509e-9, -2.5511904e-8, 9.3333330e+0
-0.028, -9.1154169e-9, -2.4905043e-8, 9.6666660e+0
-0.029, -8.6743919e-9, -2.4304018e-8, 9.9999990e+0
-0.030, -8.1900726e-9, -2.3735184e-8, 1.0333332e+1
-0.031, -7.6620577e-9, -2.3209006e-8, 1.0666665e+1
-0.032, -7.2816633e-9, -2.2716378e-8, 1.0999998e+1
-0.033, -6.9243544e-9, -2.2249472e-8, 1.1333331e+1
-0.034, -6.4099193e-9, -2.1795028e-8, 1.1666664e+1
-0.035, -6.1666010e-9, -2.1377568e-8, 1.1999997e+1
-0.036, -5.8575402e-9, -2.1003485e-8, 1.2333330e+1
-0.037, -5.3419869e-9, -2.0599765e-8, 1.2666663e+1
-0.038, -5.2461293e-9, -2.0200916e-8, 1.2999996e+1
-0.039, -4.8370574e-9, -1.9815252e-8, 1.3333329e+1
-0.040, -4.4729589e-9, -1.9509066e-8, 1.3666662e+1
-0.041, -4.3740660e-9, -1.9170610e-8, 1.3999995e+1
-0.042, -4.1773185e-9, -1.8856117e-8, 1.4333328e+1
-0.043, -3.9101158e-9, -1.8612958e-8, 1.4666661e+1
-0.044, -3.5159018e-9, -1.8265634e-8, 1.4999994e+1
-0.045, -3.3301779e-9, -1.8018323e-8, 1.5333327e+1
-0.046, -3.2023679e-9, -1.7706148e-8, 1.5666660e+1
-0.047, -2.8006450e-9, -1.7447890e-8, 1.5999993e+1
-0.048, -2.7202847e-9, -1.7194347e-8, 1.6333326e+1
-0.049, -2.3881384e-9, -1.6955902e-8, 1.6666660e+1
-0.050, -2.1537669e-9, -1.6711466e-8, 1.6999994e+1
-0.051, -1.9374484e-9, -1.6442266e-8, 1.7333328e+1
-0.052, -1.7670617e-9, -1.6226029e-8, 1.7666662e+1
-0.053, -1.4972230e-9, -1.6015541e-8, 1.7999996e+1
-0.054, -1.3411350e-9, -1.5768707e-8, 1.8333330e+1
-0.055, -1.2205942e-9, -1.5595127e-8, 1.8666664e+1
-0.056, -9.8334696e-10, -1.5325687e-8, 1.8999998e+1
-0.057, -8.7255164e-10, -1.5192764e-8, 1.9333332e+1
-0.058, -7.9898099e-10, -1.4940738e-8, 1.9666666e+1
-0.059, -5.4919241e-10, -1.4759249e-8, 2.0000000e+1
-0.060, -3.4485617e-10, -1.4555072e-8, 2.0333334e+1
-0.061, -2.9700731e-10, -1.4342349e-8, 2.0666668e+1
