Feb. 3, 2006   03:05:20
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\3\75um_control_transfer_3_swv_5.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.8052976e-6, 1.1688351e-6
0.098, 2.1876699e-6, 1.3052470e-6
0.097, 2.1903413e-6, 1.3225954e-6
0.096, 2.2092727e-6, 1.2940333e-6
0.095, 2.2134780e-6, 1.2789772e-6
0.094, 2.2254007e-6, 1.2597159e-6
0.093, 2.1780722e-6, 1.2921698e-6
0.092, 2.1767696e-6, 1.4052803e-6
0.091, 2.2073104e-6, 1.3195281e-6
0.090, 2.1707174e-6, 1.2818465e-6
0.089, 2.1557603e-6, 1.2317805e-6
0.088, 2.1286658e-6, 1.2369751e-6
0.087, 2.1800015e-6, 1.2868433e-6
0.086, 2.1673695e-6, 1.2432251e-6
0.085, 2.1250048e-6, 1.3321931e-6
0.084, 2.1396322e-6, 1.3381956e-6
0.083, 2.1470200e-6, 1.2855900e-6
0.082, 2.1246422e-6, 1.2146136e-6
0.081, 2.1312876e-6, 1.1566649e-6
0.080, 2.1138899e-6, 1.2093035e-6
0.079, 2.1535998e-6, 1.2691980e-6
0.078, 2.0932930e-6, 1.1989969e-6
0.077, 2.0922046e-6, 1.3202866e-6
0.076, 2.1136593e-6, 1.2757614e-6
0.075, 2.0863340e-6, 1.2263879e-6
0.074, 2.1135272e-6, 1.1764869e-6
0.073, 2.0608061e-6, 1.1601444e-6
0.072, 2.1001365e-6, 1.2332647e-6
0.071, 2.1034184e-6, 1.2097653e-6
0.070, 2.0736029e-6, 1.2713749e-6
0.069, 2.0543912e-6, 1.2230404e-6
0.068, 2.0380489e-6, 1.2236835e-6
0.067, 2.0848825e-6, 1.2217706e-6
0.066, 2.0426826e-6, 1.1131951e-6
0.065, 2.0815023e-6, 1.1705337e-6
0.064, 2.0863999e-6, 1.1931426e-6
0.063, 2.0656048e-6, 1.2372225e-6
0.062, 2.0758787e-6, 1.2031195e-6
0.061, 2.0260929e-6, 1.1705501e-6
0.060, 2.0537809e-6, 1.2194619e-6
0.059, 2.0380817e-6, 1.1135744e-6
0.058, 2.0298858e-6, 1.1069451e-6
0.057, 2.0603609e-6, 1.1561866e-6
0.056, 2.0031048e-6, 1.1744914e-6
0.055, 2.0544901e-6, 1.2508933e-6
0.054, 1.9972506e-6, 1.1280204e-6
0.053, 2.0264722e-6, 1.1477105e-6
0.052, 2.0600473e-6, 1.1231886e-6
0.051, 2.0162975e-6, 1.0842539e-6
0.050, 2.0490977e-6, 1.1169386e-6
0.049, 2.0094374e-6, 1.1231886e-6
0.048, 2.0361031e-6, 1.2504315e-6
0.047, 2.0184743e-6, 1.1616451e-6
0.046, 1.9821614e-6, 1.1059722e-6
0.045, 2.0108225e-6, 1.1008601e-6
0.044, 1.9974814e-6, 1.0551475e-6
0.043, 2.0130815e-6, 1.0895639e-6
0.042, 1.9974154e-6, 1.0951212e-6
0.041, 1.9983720e-6, 1.1535976e-6
0.040, 2.0193481e-6, 1.2112495e-6
0.039, 2.0694968e-6, 1.0799661e-6
0.038, 2.0079037e-6, 1.0982874e-6
0.037, 1.9748065e-6, 1.0658830e-6
0.036, 2.0191833e-6, 1.0833303e-6
