Feb. 3, 2006   03:13:51
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\3\75um_control_transfer_3_swv_8.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.8619105e-6, 1.0395471e-6
0.098, 2.2414465e-6, 1.3764378e-6
0.097, 2.2399456e-6, 1.3259430e-6
0.096, 2.2886429e-6, 1.3651746e-6
0.095, 2.2557770e-6, 1.3631297e-6
0.094, 2.2187055e-6, 1.2859032e-6
0.093, 2.2709482e-6, 1.3799338e-6
0.092, 2.2211461e-6, 1.3733870e-6
0.091, 2.2258296e-6, 1.2653227e-6
0.090, 2.2056120e-6, 1.3113322e-6
0.089, 2.2031877e-6, 1.3930111e-6
0.088, 2.2042925e-6, 1.3065332e-6
0.087, 2.1836954e-6, 1.2766684e-6
0.086, 2.1733063e-6, 1.3788456e-6
0.085, 2.1693486e-6, 1.2828855e-6
0.084, 2.2005493e-6, 1.2986507e-6
0.083, 2.1387252e-6, 1.3254318e-6
0.082, 2.1565188e-6, 1.2379151e-6
0.081, 2.2106747e-6, 1.2808407e-6
0.080, 2.1612682e-6, 1.3572095e-6
0.079, 2.1424191e-6, 1.1957151e-6
0.078, 2.0735206e-6, 1.2240794e-6
0.077, 2.1440353e-6, 1.3892018e-6
0.076, 2.1289295e-6, 1.2276083e-6
0.075, 2.1378678e-6, 1.1914769e-6
0.074, 2.1366805e-6, 1.3230901e-6
0.073, 2.0920893e-6, 1.2269322e-6
0.072, 2.1473993e-6, 1.1935053e-6
0.071, 2.1007304e-6, 1.2789938e-6
0.070, 2.0979269e-6, 1.1927139e-6
0.069, 2.1364494e-6, 1.2163780e-6
0.068, 2.1050346e-6, 1.2424335e-6
0.067, 2.1058918e-6, 1.1759921e-6
0.066, 2.1092892e-6, 1.1834954e-6
0.065, 2.0945463e-6, 1.3040597e-6
0.064, 2.0819969e-6, 1.1587592e-6
0.063, 2.1008459e-6, 1.1377665e-6
0.062, 2.0894836e-6, 1.2949238e-6
0.061, 2.0445132e-6, 1.1826214e-6
0.060, 2.1103774e-6, 1.1586274e-6
0.059, 2.0534017e-6, 1.2538947e-6
0.058, 2.0571451e-6, 1.1596992e-6
0.057, 2.0742957e-6, 1.1775917e-6
0.056, 2.0494604e-6, 1.1988978e-6
0.055, 2.0597672e-6, 1.1616780e-6
0.054, 2.0558259e-6, 1.1332479e-6
0.053, 2.0827717e-6, 1.2250357e-6
0.052, 2.0567657e-6, 1.1597158e-6
0.051, 2.0459643e-6, 1.0803290e-6
0.050, 2.0639559e-6, 1.2122224e-6
0.049, 2.0525113e-6, 1.1608865e-6
0.048, 2.0485534e-6, 1.1107709e-6
0.047, 2.0233060e-6, 1.1314174e-6
0.046, 2.0381476e-6, 1.1641517e-6
0.045, 2.0460304e-6, 1.1709624e-6
0.044, 2.0107732e-6, 1.1125685e-6
0.043, 2.0179627e-6, 1.1382281e-6
0.042, 2.0029729e-6, 1.1460119e-6
0.041, 2.0622574e-6, 1.1296529e-6
0.040, 2.0063369e-6, 1.1211766e-6
0.039, 2.0087116e-6, 1.1039602e-6
0.038, 2.0341570e-6, 1.1385745e-6
0.037, 1.9708323e-6, 1.1619090e-6
0.036, 2.0225309e-6, 1.0604905e-6
0.035, 1.9869108e-6, 1.0922683e-6
0.034, 1.9868285e-6, 1.1762725e-6
0.033, 2.0292591e-6, 1.0784985e-6
0.032, 1.9905387e-6, 1.0523111e-6
0.031, 1.9978938e-6, 1.1490956e-6
0.030, 1.9818810e-6, 1.0725288e-6
0.029, 2.0339758e-6, 1.0871397e-6
0.028, 1.9840579e-6, 1.1434722e-6
0.027, 1.9672373e-6, 1.0466217e-6
0.026, 2.0278244e-6, 1.0806258e-6
0.025, 1.9791933e-6, 1.1111832e-6
0.024, 2.0064854e-6, 1.0757775e-6
0.023, 1.9738832e-6, 1.0335281e-6
0.022, 1.9864326e-6, 1.1323079e-6
0.021, 2.0066504e-6, 1.0789107e-6
0.020, 1.9794570e-6, 9.7620614e-7
0.019, 1.9779893e-6, 1.0490294e-6
0.018, 1.9691502e-6, 1.1281522e-6
0.017, 1.9945132e-6, 1.0532840e-6
0.016, 1.9643185e-6, 1.0300651e-6
0.015, 1.9707500e-6, 1.1041582e-6
0.014, 1.9788797e-6, 1.0791746e-6
0.013, 1.9789459e-6, 1.0275584e-6
0.012, 1.9794570e-6, 1.0671858e-6
0.011, 1.9509116e-6, 1.0186038e-6
0.010, 1.9875044e-6, 1.0710612e-6
0.009, 1.9565841e-6, 1.1132281e-6
0.008, 1.9411982e-6, 1.0290920e-6
0.007, 1.9723495e-6, 1.0248209e-6
0.006, 1.9302483e-6, 1.1054939e-6
0.005, 1.9766042e-6, 1.0491284e-6
0.004, 1.9343383e-6, 9.7548048e-7
0.003, 1.9517854e-6, 1.0686369e-6
0.002, 1.9791437e-6, 1.0806258e-6
0.001, 1.9431607e-6, 9.9795739e-7
-0.000, 1.9688368e-6, 1.0315492e-6
-0.001, 1.8699910e-6, 1.0520307e-6
-0.002, 1.9658687e-6, 1.0754972e-6
-0.003, 1.9572603e-6, 1.0297516e-6
-0.004, 1.9201891e-6, 1.0393823e-6
-0.005, 1.9603608e-6, 1.0047846e-6
-0.006, 1.9471679e-6, 1.0211270e-6
-0.007, 1.9576232e-6, 1.0612656e-6
-0.008, 1.9197603e-6, 9.7153907e-7
-0.009, 1.9488500e-6, 1.0003815e-6
-0.010, 1.9502022e-6, 1.1214570e-6
-0.011, 1.9377849e-6, 1.0014205e-6
-0.012, 1.9341733e-6, 9.6151268e-7
-0.013, 1.9074746e-6, 1.0595176e-6
-0.014, 1.9446450e-6, 1.0506950e-6
-0.015, 1.9277088e-6, 9.8925022e-7
-0.016, 1.9301165e-6, 1.0053782e-6
-0.017, 1.9461127e-6, 1.0382445e-6
-0.018, 1.9260929e-6, 1.0165591e-6
-0.019, 1.9252188e-6, 9.9487363e-7
-0.020, 1.8943811e-6, 1.0102431e-6
-0.021, 1.9252352e-6, 1.0313183e-6
-0.022, 1.9384775e-6, 1.0159984e-6
-0.023, 1.8715248e-6, 1.0597485e-6
-0.024, 1.9127847e-6, 9.7914142e-7
-0.025, 1.9122074e-6, 9.9477472e-7
-0.026, 1.9296217e-6, 1.0652399e-6
-0.027, 1.9096515e-6, 9.4926003e-7
-0.028, 1.9257134e-6, 9.6372253e-7
-0.029, 1.9201725e-6, 1.1116945e-6
-0.030, 1.9201561e-6, 1.0225122e-6
-0.031, 1.9095689e-6, 9.5645009e-7
-0.032, 1.8946118e-6, 1.0167240e-6
-0.033, 1.9122735e-6, 1.0223473e-6
-0.034, 1.9217557e-6, 1.0123869e-6
-0.035, 1.8999548e-6, 9.5875873e-7
-0.036, 1.9013071e-6, 9.9991985e-7
-0.037, 1.8801987e-6, 9.7214934e-7
-0.038, 1.9322108e-6, 1.0066151e-6
-0.039, 1.9058750e-6, 1.0262227e-6
-0.040, 1.8808420e-6, 9.5267364e-7
-0.041, 1.9423196e-6, 9.8860710e-7
-0.042, 1.8909509e-6, 9.8981093e-7
-0.043, 1.9069801e-6, 9.9256499e-7
-0.044, 1.8804626e-6, 9.4744610e-7
-0.045, 1.8913466e-6, 1.0561699e-6
-0.046, 1.9123065e-6, 1.0277232e-6
-0.047, 1.8904232e-6, 9.4644008e-7
-0.048, 1.8958485e-6, 1.0320274e-6
-0.049, 1.8817325e-6, 1.0201541e-6
-0.050, 1.8867293e-6, 9.7261102e-7
-0.051, 1.8966401e-6, 9.6311237e-7
-0.052, 1.8885266e-6, 1.0382774e-6
-0.053, 1.9030551e-6, 9.9696797e-7
-0.054, 1.8905550e-6, 9.7755822e-7
-0.055, 1.8995920e-6, 1.0195769e-6
-0.056, 1.8617457e-6, 9.6895008e-7
-0.057, 1.8956343e-6, 1.0205663e-6
-0.058, 1.8779560e-6, 1.0317801e-6
-0.059, 1.8864654e-6, 1.0029212e-6
-0.060, 1.8926494e-6, 9.7524958e-7
-0.061, 1.8542423e-6, 1.0566977e-6
-0.062, 1.8812212e-6, 1.0316481e-6
-0.063, 1.8660498e-6, 9.7841587e-7
-0.064, 1.8693974e-6, 9.9642375e-7
-0.065, 1.8884277e-6, 1.0905698e-6
-0.066, 1.8863005e-6, 9.7736040e-7
-0.067, 1.8845524e-6, 9.8346209e-7
-0.068, 1.8593050e-6, 1.0756951e-6
-0.069, 1.8850965e-6, 1.0605070e-6
-0.070, 1.8749547e-6, 9.9642375e-7
-0.071, 1.8462608e-6, 1.0292734e-6
-0.072, 1.8696777e-6, 1.0398935e-6
-0.073, 1.8759938e-6, 1.0428784e-6
-0.074, 1.8821117e-6, 1.0191316e-6
-0.075, 1.8482726e-6, 1.0422682e-6
-0.076, 1.8498557e-6, 1.0133103e-6
-0.077, 1.8952549e-6, 1.0465558e-6
-0.078, 1.8713927e-6, 1.1052796e-6
-0.079, 1.8673690e-6, 1.0084620e-6
-0.080, 1.8391534e-6, 1.0167405e-6
-0.081, 1.8868611e-6, 1.0908831e-6
-0.082, 1.8728439e-6, 1.0482873e-6
-0.083, 1.8664291e-6, 1.0157180e-6
-0.084, 1.8669567e-6, 1.0609028e-6
-0.085, 1.8490312e-6, 1.1019979e-6
-0.086, 1.8708156e-6, 1.0196923e-6
-0.087, 1.8533518e-6, 1.0436205e-6
-0.088, 1.8600140e-6, 1.1467044e-6
-0.089, 1.8571777e-6, 1.0548672e-6
-0.090, 1.8574085e-6, 1.0103090e-6
