Feb. 3, 2006   03:19:26
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\3\75um_control_transfer_3_swv_10.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.8289950e-6, 1.1902896e-6
0.098, 2.2756813e-6, 1.4049998e-6
0.097, 2.2658528e-6, 1.3152735e-6
0.096, 2.2739662e-6, 1.3164442e-6
0.095, 2.2737847e-6, 1.3424667e-6
0.094, 2.2555789e-6, 1.4352440e-6
0.093, 2.2723996e-6, 1.4371899e-6
0.092, 2.2348170e-6, 1.3212925e-6
0.091, 2.2424688e-6, 1.3248051e-6
0.090, 2.2317993e-6, 1.3341719e-6
0.089, 2.2354106e-6, 1.3456824e-6
0.088, 2.1984713e-6, 1.3738818e-6
0.087, 2.1955689e-6, 1.3284330e-6
0.086, 2.2266377e-6, 1.3584628e-6
0.085, 2.1983560e-6, 1.2685880e-6
0.084, 2.2173533e-6, 1.2366123e-6
0.083, 2.1799356e-6, 1.2891355e-6
0.082, 2.2010274e-6, 1.4260256e-6
0.081, 2.1860703e-6, 1.3105075e-6
0.080, 2.1744443e-6, 1.2702370e-6
0.079, 2.1781711e-6, 1.2182416e-6
0.078, 2.1648302e-6, 1.2967378e-6
0.077, 2.1562878e-6, 1.2704843e-6
0.076, 2.1332503e-6, 1.3317148e-6
0.075, 2.1504334e-6, 1.2571104e-6
0.074, 2.1710471e-6, 1.2721500e-6
0.073, 2.1397805e-6, 1.1959626e-6
0.072, 2.1559251e-6, 1.2209625e-6
0.071, 2.0976468e-6, 1.2407185e-6
0.070, 2.1358555e-6, 1.3754649e-6
0.069, 2.1067824e-6, 1.2492937e-6
0.068, 2.1096353e-6, 1.2262890e-6
0.067, 2.1111855e-6, 1.2051314e-6
0.066, 2.1069145e-6, 1.2336440e-6
0.065, 2.1042099e-6, 1.2189012e-6
0.064, 2.0801333e-6, 1.2798347e-6
0.063, 2.1010601e-6, 1.2247554e-6
0.062, 2.1288142e-6, 1.2038780e-6
0.061, 2.0650441e-6, 1.1523937e-6
0.060, 2.0776104e-6, 1.1748872e-6
0.059, 2.0371253e-6, 1.2329677e-6
0.058, 2.0880818e-6, 1.2443135e-6
0.057, 2.0723000e-6, 1.2083635e-6
0.056, 2.0639889e-6, 1.1198244e-6
0.055, 2.0832665e-6, 1.1575884e-6
0.054, 2.0526927e-6, 1.1751181e-6
0.053, 2.0708162e-6, 1.2666750e-6
0.052, 2.0216075e-6, 1.2050983e-6
0.051, 2.0525936e-6, 1.1970673e-6
0.050, 2.0697275e-6, 1.1444781e-6
0.049, 2.0380817e-6, 1.1008765e-6
0.048, 2.0289294e-6, 1.1349134e-6
0.047, 2.0209150e-6, 1.2507614e-6
0.046, 2.0222506e-6, 1.1793562e-6
0.045, 2.0439525e-6, 1.1499201e-6
0.044, 2.0279235e-6, 1.0504147e-6
0.043, 2.0435239e-6, 1.1636901e-6
0.042, 2.0172045e-6, 1.1327367e-6
0.041, 2.0363998e-6, 1.2208141e-6
0.040, 1.9705190e-6, 1.1241120e-6
0.039, 2.0151761e-6, 1.1229743e-6
0.038, 2.0295397e-6, 1.1123871e-6
0.037, 2.0325078e-6, 1.0904873e-6
0.036, 2.0163470e-6, 1.0973970e-6
0.035, 1.9936392e-6, 1.2072752e-6
0.034, 2.0169241e-6, 1.1290922e-6
0.033, 2.0093878e-6, 1.0599629e-6
0.032, 1.9974320e-6, 1.0679938e-6
0.031, 2.0485368e-6, 1.1368925e-6
0.030, 1.9877025e-6, 1.0941648e-6
0.029, 1.9900606e-6, 1.1161965e-6
0.028, 1.9616468e-6, 1.0992275e-6
0.027, 1.9820295e-6, 1.0937194e-6
0.026, 2.0078705e-6, 1.0738811e-6
0.025, 1.9705519e-6, 1.0564503e-6
0.024, 1.9764061e-6, 1.1352763e-6
0.023, 1.9618119e-6, 1.1588252e-6
0.022, 1.9955191e-6, 1.1099299e-6
0.021, 1.9857564e-6, 1.0231718e-6
0.020, 1.9743284e-6, 1.0332147e-6
0.019, 2.0037810e-6, 1.0808402e-6
0.018, 1.9599647e-6, 1.1031357e-6
0.017, 1.9921879e-6, 1.0456653e-6
0.016, 1.9606905e-6, 1.0606059e-6
0.015, 1.9977454e-6, 1.0548507e-6
0.014, 1.9930289e-6, 1.0258268e-6
0.013, 1.9505983e-6, 1.0224958e-6
0.012, 1.9783686e-6, 1.1618926e-6
0.011, 1.9358222e-6, 1.1013548e-6
0.010, 1.9713766e-6, 1.0785315e-6
0.009, 1.9484378e-6, 9.7620602e-7
0.008, 1.9489325e-6, 1.0314997e-6
0.007, 1.9746251e-6, 1.0639866e-6
0.006, 1.9442161e-6, 1.1228917e-6
0.005, 1.9557267e-6, 1.0096659e-6
0.004, 1.9233389e-6, 9.9886438e-7
