July 13, 2006   00:03:57
Cyclic Voltammetry
File: f:\07_02_19_wt\ida_2\tran_1\gc_19.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A

0.000, -6.1207807e-8, -3.7228482e-8
-0.001, -5.3237333e-8, -3.2709920e-8
-0.002, -4.7134094e-8, -2.9132519e-8
-0.003, -4.2111079e-8, -2.5985196e-8
-0.004, -3.7963805e-8, -2.3498973e-8
-0.005, -3.4381529e-8, -2.1407683e-8
-0.006, -3.1313132e-8, -1.9638472e-8
-0.007, -2.8718748e-8, -1.8093651e-8
-0.008, -2.6490945e-8, -1.6790867e-8
-0.009, -2.4483366e-8, -1.5627716e-8
-0.010, -2.2727658e-8, -1.4641103e-8
-0.011, -2.1159110e-8, -1.3724946e-8
-0.012, -1.9757355e-8, -1.2930847e-8
-0.013, -1.8474461e-8, -1.2200891e-8
-0.014, -1.7345499e-8, -1.1537717e-8
-0.015, -1.6255679e-8, -1.0889960e-8
-0.016, -1.5259241e-8, -1.0409635e-8
-0.017, -1.4380150e-8, -9.9531130e-9
-0.018, -1.3529733e-8, -9.5108108e-9
-0.019, -1.2732998e-8, -9.1323331e-9
-0.020, -1.2043463e-8, -8.7875653e-9
-0.021, -1.1288905e-8, -8.3062810e-9
-0.022, -1.0677174e-8, -8.0745464e-9
-0.023, -1.0078145e-8, -7.7699589e-9
-0.024, -9.4875832e-9, -7.4335791e-9
-0.025, -8.9387990e-9, -7.2760531e-9
-0.026, -8.4619076e-9, -6.9687500e-9
-0.027, -7.9481914e-9, -6.8352684e-9
-0.028, -7.4840019e-9, -6.6274972e-9
-0.029, -7.0587136e-9, -6.3642092e-9
-0.030, -6.6776806e-9, -6.2398340e-9
-0.031, -6.2543104e-9, -5.9580127e-9
-0.032, -5.8244689e-9, -5.8475371e-9
-0.033, -5.4466311e-9, -5.6559020e-9
-0.034, -5.1281441e-9, -5.4291189e-9
-0.035, -4.7942410e-9, -5.3196820e-9
-0.036, -4.4722399e-9, -5.2461910e-9
-0.037, -4.1593449e-9, -5.0242011e-9
-0.038, -3.8375032e-9, -4.9456781e-9
-0.039, -3.5421825e-9, -4.8705098e-9
-0.040, -3.3120446e-9, -4.8260960e-9
-0.041, -2.9974723e-9, -4.6391739e-9
-0.042, -2.7823521e-9, -4.4919530e-9
-0.043, -2.5223388e-9, -4.5055324e-9
-0.044, -2.2735087e-9, -4.3509623e-9
-0.045, -1.9632500e-9, -4.3530388e-9
-0.046, -1.8082005e-9, -4.2885753e-9
-0.047, -1.5164743e-9, -3.9338226e-9
-0.048, -1.3288333e-9, -3.9570680e-9
