July 12, 2006   23:19:07
Square Wave Voltammetry
File: f:\07_02_19_wt\ida_2\tran_1\swv_2.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 5.9950662e-7, 4.7775495e-7
0.098, 7.9566468e-7, 5.4846754e-7
0.097, 7.1293033e-7, 5.6485936e-7
0.096, 7.5898919e-7, 6.0941761e-7
0.095, 7.1655836e-7, 5.5969787e-7
0.094, 6.5560835e-7, 5.6827298e-7
0.093, 7.5544358e-7, 5.0458556e-7
0.092, 6.4442753e-7, 6.0161744e-7
0.091, 7.3608345e-7, 5.3977692e-7
0.090, 6.9477392e-7, 5.1660732e-7
0.089, 7.2556224e-7, 5.1314430e-7
0.088, 7.4109658e-7, 5.5059485e-7
0.087, 6.2993212e-7, 5.3809481e-7
0.086, 7.6487629e-7, 5.0105649e-7
0.085, 6.3915053e-7, 5.7755733e-7
0.084, 6.8717168e-7, 5.3014628e-7
0.083, 6.7049945e-7, 5.3766610e-7
0.082, 6.6766307e-7, 5.3219111e-7
0.081, 7.0976415e-7, 5.2219775e-7
0.080, 6.6152853e-7, 4.9632365e-7
0.079, 6.9742896e-7, 5.7806858e-7
0.078, 6.8110307e-7, 5.2618850e-7
0.077, 6.8154833e-7, 4.7983286e-7
0.076, 6.4503769e-7, 5.4515294e-7
0.075, 6.6530492e-7, 5.1756376e-7
0.074, 6.5074352e-7, 5.3532438e-7
0.073, 6.7528185e-7, 5.3182839e-7
0.072, 6.7958592e-7, 5.2737585e-7
0.071, 6.6321059e-7, 4.8784739e-7
0.070, 6.8642959e-7, 4.8243840e-7
0.069, 6.4813793e-7, 5.2082896e-7
0.068, 6.8463214e-7, 4.5009989e-7
0.067, 6.4337212e-7, 5.3349390e-7
0.066, 6.2739252e-7, 5.0235928e-7
0.065, 6.4286093e-7, 5.0837843e-7
0.064, 6.3062475e-7, 5.0851037e-7
0.063, 6.4795654e-7, 4.3285056e-7
0.062, 6.8295003e-7, 4.5620152e-7
0.061, 6.4345460e-7, 4.3098709e-7
0.060, 6.6202318e-7, 5.2605657e-7
0.059, 6.6512348e-7, 4.5969759e-7
0.058, 6.4587874e-7, 4.7503403e-7
0.057, 6.3235632e-7, 5.4056846e-7
0.056, 6.0003435e-7, 4.2815066e-7
0.055, 6.6550274e-7, 5.3633033e-7
0.054, 6.1391961e-7, 4.8108615e-7
0.053, 6.4996846e-7, 4.4571334e-7
0.052, 6.5738931e-7, 4.5709206e-7
0.051, 6.4475734e-7, 4.5023188e-7
0.050, 6.8065776e-7, 5.2010341e-7
0.049, 6.1180873e-7, 4.2749107e-7
0.048, 6.6141308e-7, 5.5024856e-7
0.047, 6.2412732e-7, 4.4469095e-7
0.046, 6.4457595e-7, 4.7518245e-7
0.045, 6.7279171e-7, 5.3270236e-7
0.044, 6.2836546e-7, 4.4060124e-7
0.043, 6.9929240e-7, 4.8006370e-7
0.042, 6.2707920e-7, 4.7689753e-7
0.041, 6.7777194e-7, 4.5209532e-7
0.040, 6.3529160e-7, 4.4683475e-7
0.039, 6.0989578e-7, 5.1439758e-7
0.038, 6.7665059e-7, 4.5545946e-7
0.037, 5.8885354e-7, 4.9304197e-7
0.036, 6.5179893e-7, 4.6721738e-7
0.035, 6.3332925e-7, 4.5423911e-7
0.034, 6.6405164e-7, 4.3779781e-7
0.033, 6.9566443e-7, 4.8078925e-7
0.032, 5.8482976e-7, 4.9145888e-7
0.031, 7.3517646e-7, 3.9591117e-7
0.030, 6.1058842e-7, 5.0107303e-7
0.029, 6.5903839e-7, 4.9309142e-7
0.028, 6.4810501e-7, 4.5857621e-7
0.027, 6.3469793e-7, 4.9380060e-7
0.026, 7.1337558e-7, 4.9135991e-7
0.025, 6.1581596e-7, 4.2157086e-7
0.024, 6.9622513e-7, 4.8342781e-7
0.023, 6.6787743e-7, 4.7665014e-7
0.022, 6.7605686e-7, 4.0117175e-7
0.021, 6.6103377e-7, 4.9492195e-7
0.020, 6.5155155e-7, 5.2135670e-7
0.019, 6.5836230e-7, 5.0084213e-7
0.018, 6.6556879e-7, 4.5885656e-7
0.017, 6.8293355e-7, 5.3453283e-7
0.016, 6.7142298e-7, 4.6058807e-7
0.015, 6.9838541e-7, 4.6109929e-7
0.014, 6.5338202e-7, 4.9413035e-7
0.013, 6.9437817e-7, 4.3125095e-7
0.012, 6.5801595e-7, 4.9680187e-7
0.011, 6.4602716e-7, 4.8755055e-7
0.010, 6.6349088e-7, 4.7932167e-7
0.009, 6.5295330e-7, 5.1068713e-7
0.008, 6.7185175e-7, 4.6228661e-7
0.007, 6.8519284e-7, 4.5067713e-7
0.006, 6.6889993e-7, 4.3268568e-7
0.005, 6.8962879e-7, 4.9937444e-7
0.004, 6.8784783e-7, 4.6256696e-7
0.003, 6.6667360e-7, 4.5575626e-7
0.002, 6.7480357e-7, 5.4264626e-7
0.001, 6.1550264e-7, 4.5831237e-7
-0.000, 6.8858992e-7, 4.9767590e-7
-0.001, 6.5367885e-7, 4.7615538e-7
-0.002, 6.6438145e-7, 4.8116863e-7
-0.003, 6.7996518e-7, 4.5402476e-7
-0.004, 6.8260374e-7, 4.3670940e-7
-0.005, 6.9737951e-7, 5.3059154e-7
-0.006, 6.4365247e-7, 4.1629380e-7
-0.007, 6.9413085e-7, 5.1367192e-7
-0.008, 6.5844472e-7, 4.7011974e-7
-0.009, 6.5560829e-7, 4.9004063e-7
-0.010, 6.9010707e-7, 4.8400500e-7
-0.011, 6.4032133e-7, 4.1492504e-7
-0.012, 7.0654841e-7, 5.1172606e-7
-0.013, 6.4145917e-7, 4.3611573e-7
-0.014, 7.0326666e-7, 4.4625756e-7
-0.015, 6.5463530e-7, 4.3257023e-7
-0.016, 6.2051583e-7, 4.6215470e-7
-0.017, 6.7884389e-7, 5.0181507e-7
-0.018, 5.9140962e-7, 4.6683809e-7
-0.019, 6.7661756e-7, 4.4286048e-7
-0.020, 6.3106995e-7, 4.4436115e-7
-0.021, 6.6921325e-7, 4.2232944e-7
-0.022, 6.9853388e-7, 4.3919951e-7
-0.023, 5.9495517e-7, 4.9256374e-7
-0.024, 7.1589864e-7, 3.8207537e-7
-0.025, 6.0207913e-7, 4.5249112e-7
-0.026, 6.5000143e-7, 5.1507368e-7
-0.027, 6.2523225e-7, 4.4480637e-7
-0.028, 6.0851062e-7, 4.3731958e-7
-0.029, 6.9797318e-7, 4.6649180e-7
-0.030, 5.8431857e-7, 4.2610583e-7
-0.031, 6.6967493e-7, 4.2826613e-7
-0.032, 6.3456605e-7, 4.3461506e-7
-0.033, 6.4357005e-7, 4.4236575e-7
-0.034, 6.3130085e-7, 4.3436773e-7
-0.035, 6.0730673e-7, 4.6861911e-7
-0.036, 6.2547963e-7, 4.7274182e-7
-0.037, 6.0390971e-7, 4.1228654e-7
-0.038, 6.3830947e-7, 4.2392901e-7
-0.039, 6.1482655e-7, 4.3202601e-7
-0.040, 6.4584572e-7, 4.2290662e-7
-0.041, 6.0646573e-7, 3.9467437e-7
-0.042, 6.3885363e-7, 4.1929511e-7
-0.043, 6.0466823e-7, 4.3360910e-7
-0.044, 5.9856660e-7, 3.9703255e-7
-0.045, 6.0262335e-7, 4.1738221e-7
-0.046, 5.8049272e-7, 4.2315395e-7
-0.047, 6.2058189e-7, 3.7021849e-7
-0.048, 5.9187136e-7, 4.3242181e-7
-0.049, 5.9737926e-7, 3.4030418e-7
-0.050, 6.2373158e-7, 4.1256686e-7
-0.051, 6.0428897e-7, 3.8926535e-7
-0.052, 5.9996836e-7, 3.9393228e-7
-0.053, 5.9046965e-7, 4.6390272e-7
-0.054, 5.4472417e-7, 4.2933800e-7
-0.055, 5.9396564e-7, 4.3003064e-7
-0.056, 5.7135674e-7, 3.8543948e-7
-0.057, 5.7341816e-7, 4.6964155e-7
-0.058, 5.8657781e-7, 3.7387946e-7
-0.059, 6.0329944e-7, 3.0778432e-7
-0.060, 6.2760694e-7, 4.9338826e-7
-0.061, 5.6550260e-7, 3.6418288e-7
-0.062, 5.9955607e-7, 4.2170279e-7
-0.063, 5.6901513e-7, 4.0425550e-7
-0.064, 5.5313450e-7, 4.1383666e-7
-0.065, 5.8939770e-7, 4.0760312e-7
-0.066, 5.5930207e-7, 3.5536027e-7
-0.067, 6.1476067e-7, 4.3903458e-7
-0.068, 5.5077635e-7, 3.4050208e-7
-0.069, 6.0140303e-7, 3.5244142e-7
-0.070, 5.7298939e-7, 3.8867168e-7
-0.071, 5.3659420e-7, 3.3212473e-7
-0.072, 5.8918334e-7, 3.8553844e-7
-0.073, 5.1959216e-7, 4.0395869e-7
-0.074, 5.9205274e-7, 4.1729976e-7
-0.075, 5.4180526e-7, 3.5846057e-7
-0.076, 5.6589835e-7, 3.8037680e-7
-0.077, 6.1332588e-7, 3.6324286e-7
-0.078, 5.2419313e-7, 3.9259655e-7
-0.079, 6.2772233e-7, 3.6485898e-7
-0.080, 5.3816086e-7, 3.8807801e-7
-0.081, 5.7373143e-7, 4.2082877e-7
-0.082, 5.4274523e-7, 4.1576607e-7
-0.083, 5.2064757e-7, 3.7612219e-7
-0.084, 6.2970128e-7, 3.7119145e-7
-0.085, 4.9294300e-7, 4.6154454e-7
-0.086, 6.1452971e-7, 3.5874092e-7
-0.087, 5.5908765e-7, 3.3903439e-7
-0.088, 5.8623152e-7, 3.9521856e-7
-0.089, 5.8253761e-7, 4.0725683e-7
-0.090, 5.3377426e-7, 3.7638605e-7
-0.091, 5.6885017e-7, 4.2923909e-7
-0.092, 5.4201968e-7, 3.9358594e-7
-0.093, 5.4347089e-7, 4.0249097e-7
-0.094, 5.4767600e-7, 4.2155435e-7
-0.095, 5.8674271e-7, 3.5842757e-7
-0.096, 5.5193061e-7, 3.5376067e-7
-0.097, 5.7808506e-7, 3.5427189e-7
-0.098, 5.5851041e-7, 4.0356292e-7
-0.099, 5.4254735e-7, 3.3680811e-7
-0.100, 5.7162066e-7, 3.9223372e-7
-0.101, 5.2767268e-7, 4.3227334e-7
-0.102, 5.6815759e-7, 3.2226325e-7
-0.103, 5.2620499e-7, 3.9500415e-7
-0.104, 5.6619518e-7, 3.8412023e-7
-0.105, 5.7361603e-7, 3.7016900e-7
-0.106, 5.5555864e-7, 3.3131670e-7
-0.107, 5.7274201e-7, 3.8918290e-7
-0.108, 5.5542665e-7, 4.0509656e-7
-0.109, 5.1250117e-7, 3.8314727e-7
