July 12, 2006   23:59:07
Square Wave Voltammetry
File: f:\07_02_19_wt\ida_2\tran_1\swv_18.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 3.3260295e-7, 3.3039322e-7
0.098, 4.5715802e-7, 3.6535369e-7
0.097, 4.5969759e-7, 4.1876740e-7
0.096, 4.7383020e-7, 3.0740503e-7
0.095, 4.9162378e-7, 3.6090120e-7
0.094, 4.5946672e-7, 3.9637285e-7
0.093, 5.0117194e-7, 3.2849675e-7
0.092, 4.2396204e-7, 3.6255028e-7
0.091, 4.9925904e-7, 2.8959496e-7
0.090, 4.3641256e-7, 3.7592432e-7
0.089, 4.2379710e-7, 3.9294281e-7
0.088, 4.5047923e-7, 3.4897835e-7
0.087, 4.3149831e-7, 3.5977979e-7
0.086, 4.5194690e-7, 2.5768526e-7
0.085, 4.3972722e-7, 3.2824943e-7
0.084, 4.4762632e-7, 3.3459838e-7
0.083, 4.7224711e-7, 3.2986549e-7
0.082, 4.5905446e-7, 3.0249078e-7
0.081, 4.5280444e-7, 2.8868800e-7
0.080, 4.4497131e-7, 3.8669282e-7
0.079, 4.1210512e-7, 3.6042297e-7
0.078, 4.5613558e-7, 3.8207537e-7
0.077, 4.2889278e-7, 3.0385951e-7
0.076, 4.2989871e-7, 3.3697305e-7
0.075, 4.4716458e-7, 3.0230939e-7
0.074, 4.4563092e-7, 2.5536005e-7
0.073, 4.9215146e-7, 3.8227330e-7
0.072, 4.0880695e-7, 2.7326905e-7
0.071, 4.4782422e-7, 3.2538003e-7
0.070, 4.4112895e-7, 3.0763590e-7
0.069, 4.1319353e-7, 3.1957524e-7
0.068, 4.3670940e-7, 3.5770199e-7
0.067, 3.9282742e-7, 2.5694317e-7
0.066, 4.7915671e-7, 3.4543282e-7
0.065, 4.3933142e-7, 2.6001049e-7
0.064, 4.5046272e-7, 3.2259305e-7
