PHZadded,term,estimate,std.error,statistic,p.value,conf.low,conf.high
25uM,b,2.582257209839763e-7,6.421091307004808e-9,40.2152389115346,1.2570071330661154e-38,2.4531525168637246e-7,2.711361903361592e-7
50uM,b,6.881171898609439e-7,1.7224874219478866e-8,39.94904003901416,1.713358205953739e-38,6.534842591921952e-7,7.227501210947878e-7
75uM,b,7.106857412254894e-7,1.2942973014459174e-8,54.90900277946578,5.5541282549386526e-45,6.846621498285832e-7,7.367093322405176e-7
100uM,b,1.2003624595318449e-6,3.571617638956325e-8,33.60836967650902,5.1791071320522e-35,1.1285502726386318e-6,1.2721746454807423e-6
25uM,a,5.75089491979451e-7,5.450889022249591e-9,105.50379756990735,1.770212923614758e-58,5.641297450378905e-7,5.860492389099893e-7
50uM,a,4.660393581332628e-7,1.4515402891752352e-8,32.1065396261282,4.240875444671825e-34,4.368541844101011e-7,4.952245314298805e-7
75uM,a,5.118446333050839e-7,1.0989420564832125e-8,46.5761256733651,1.298535855713079e-41,4.897489225982658e-7,5.339403442268123e-7
100uM,a,3.072213001348207e-7,3.016775507605816e-8,10.183764067305054,1.3907020657452614e-13,2.465649637243316e-7,3.678776378306434e-7
