term,estimate,std.error,statistic,p.value,conf.low,conf.high,exp_id,run_id
(Intercept),-1.8848577672141449e-7,2.6159384653039836e-8,-7.205283274869067,0.005510529981004538,-2.717366137589765e-7,-1.0523493968385252e-7,Blank 1,Rep 1
signal_SWV,0.19877987936482777,0.003390493463006478,58.62859832461148,1.0931696091125529e-5,0.18798981597039424,0.2095699427592613,Blank 1,Rep 1
