Feb. 2, 2006   23:22:55
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\1\75um_control_transfer_1_swv_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.0845588e-6, 6.5884751e-7
0.098, 1.1638533e-6, 7.0047020e-7
0.097, 1.1664320e-6, 7.0143358e-7
0.096, 1.1721008e-6, 7.0203919e-7
0.095, 1.1761522e-6, 7.0223359e-7
0.094, 1.1583224e-6, 7.0312944e-7
0.093, 1.1566325e-6, 6.9531109e-7
0.092, 1.1568395e-6, 6.9657699e-7
0.091, 1.1662005e-6, 6.9683335e-7
0.090, 1.1674003e-6, 6.9316093e-7
0.089, 1.1523978e-6, 6.9638247e-7
0.088, 1.1524347e-6, 6.9029437e-7
0.087, 1.1515291e-6, 6.9403313e-7
0.086, 1.1606328e-6, 6.9395435e-7
0.085, 1.1649674e-6, 6.9214730e-7
0.084, 1.1493008e-6, 6.9823204e-7
0.083, 1.1476566e-6, 6.8887647e-7
0.082, 1.1456214e-6, 6.8877642e-7
0.081, 1.1543029e-6, 6.8872288e-7
0.080, 1.1594190e-6, 6.8942637e-7
0.079, 1.1430197e-6, 6.9241003e-7
0.078, 1.1425902e-6, 6.8518051e-7
0.077, 1.1382490e-6, 6.8350141e-7
0.076, 1.1492491e-6, 6.8612854e-7
0.075, 1.1537921e-6, 6.8464249e-7
0.074, 1.1393380e-6, 6.9167476e-7
0.073, 1.1363018e-6, 6.8300062e-7
0.072, 1.1380628e-6, 6.8391302e-7
0.071, 1.1480404e-6, 6.8769771e-7
0.070, 1.1503204e-6, 6.8182322e-7
0.069, 1.1328293e-6, 6.8540976e-7
0.068, 1.1345467e-6, 6.8078685e-7
0.067, 1.1325735e-6, 6.7914340e-7
0.066, 1.1433295e-6, 6.8728366e-7
0.065, 1.1445049e-6, 6.8099843e-7
0.064, 1.1292149e-6, 6.8447082e-7
0.063, 1.1298350e-6, 6.7957694e-7
0.062, 1.1296577e-6, 6.7732259e-7
0.061, 1.1384420e-6, 6.7994694e-7
0.060, 1.1433000e-6, 6.7818701e-7
0.059, 1.1285546e-6, 6.8287096e-7
0.058, 1.1275114e-6, 6.7960741e-7
0.057, 1.1260972e-6, 6.7647449e-7
0.056, 1.1343625e-6, 6.7951504e-7
0.055, 1.1405135e-6, 6.7926487e-7
0.054, 1.1271048e-6, 6.8258788e-7
0.053, 1.1237277e-6, 6.7620459e-7
0.052, 1.1235303e-6, 6.7426430e-7
0.051, 1.1342087e-6, 6.7838982e-7
0.050, 1.1368503e-6, 6.7636336e-7
0.049, 1.1228050e-6, 6.8033160e-7
0.048, 1.1207985e-6, 6.7487036e-7
0.047, 1.1217752e-6, 6.7631004e-7
0.046, 1.1312516e-6, 6.7577503e-7
0.045, 1.1341156e-6, 6.7530118e-7
0.044, 1.1193562e-6, 6.7730195e-7
0.043, 1.1196188e-6, 6.7254604e-7
0.042, 1.1182140e-6, 6.7463759e-7
0.041, 1.1272246e-6, 6.7472359e-7
0.040, 1.1311124e-6, 6.7317666e-7
0.039, 1.1177941e-6, 6.8055169e-7
0.038, 1.1178702e-6, 6.7107283e-7
0.037, 1.1161669e-6, 6.7276636e-7
0.036, 1.1251338e-6, 6.7373986e-7
0.035, 1.1326688e-6, 6.7355825e-7
0.034, 1.1139874e-6, 6.7635199e-7
0.033, 1.1144931e-6, 6.7026565e-7
0.032, 1.1131601e-6, 6.7115451e-7
0.031, 1.1234800e-6, 6.7407689e-7
0.030, 1.1282922e-6, 6.7183350e-7
0.029, 1.1106923e-6, 6.7500662e-7
0.028, 1.1107684e-6, 6.6709828e-7
0.027, 1.1133258e-6, 6.6963310e-7
0.026, 1.1209620e-6, 6.7448167e-7
0.025, 1.1255323e-6, 6.7035614e-7
0.024, 1.1090495e-6, 6.7455011e-7
0.023, 1.1094370e-6, 6.6995261e-7
0.022, 1.1097868e-6, 6.6917107e-7
0.021, 1.1184366e-6, 6.7295952e-7
0.020, 1.1236345e-6, 6.6950378e-7
0.019, 1.1089157e-6, 6.7313704e-7
0.018, 1.1061544e-6, 6.6693593e-7
0.017, 1.1069966e-6, 6.6772418e-7
0.016, 1.1176883e-6, 6.7335486e-7
0.015, 1.1239687e-6, 6.7275300e-7
0.014, 1.1089314e-6, 6.7328284e-7
0.013, 1.1063275e-6, 6.6861656e-7
0.012, 1.1055238e-6, 6.6572682e-7
0.011, 1.1164152e-6, 6.7127695e-7
0.010, 1.1229456e-6, 6.7398321e-7
0.009, 1.1024972e-6, 6.7180520e-7
0.008, 1.1035839e-6, 6.6651677e-7
0.007, 1.1048609e-6, 6.6863782e-7
0.006, 1.1164190e-6, 6.7087444e-7
0.005, 1.1197325e-6, 6.7041100e-7
0.004, 1.1037555e-6, 6.7200199e-7
0.003, 1.1038658e-6, 6.6623937e-7
0.002, 1.1037828e-6, 6.6925628e-7
0.001, 1.1118456e-6, 6.7143088e-7
-0.000, 1.1166378e-6, 6.6871587e-7
-0.001, 1.1039700e-6, 6.7570033e-7
-0.002, 1.1030672e-6, 6.6590894e-7
-0.003, 1.1010334e-6, 6.6469181e-7
-0.004, 1.1119048e-6, 6.6982204e-7
-0.005, 1.1159415e-6, 6.6764443e-7
-0.006, 1.1006408e-6, 6.7425958e-7
-0.007, 1.0985324e-6, 6.6598540e-7
-0.008, 1.1010609e-6, 6.6776715e-7
-0.009, 1.1108048e-6, 6.7138780e-7
-0.010, 1.1164404e-6, 6.6847736e-7
-0.011, 1.0984237e-6, 6.7124012e-7
-0.012, 1.1008204e-6, 6.6735589e-7
-0.013, 1.1004538e-6, 6.6687238e-7
-0.014, 1.1106081e-6, 6.7374549e-7
-0.015, 1.1148376e-6, 6.6779353e-7
-0.016, 1.1010734e-6, 6.7500730e-7
-0.017, 1.1013186e-6, 6.6940578e-7
-0.018, 1.1020721e-6, 6.6848077e-7
-0.019, 1.1074957e-6, 6.7083602e-7
-0.020, 1.1153604e-6, 6.6976736e-7
-0.021, 1.1004427e-6, 6.7459411e-7
-0.022, 1.1003235e-6, 6.6964316e-7
-0.023, 1.0995075e-6, 6.6699647e-7
-0.024, 1.1112343e-6, 6.7253490e-7
-0.025, 1.1172027e-6, 6.7280979e-7
-0.026, 1.1025822e-6, 6.7667781e-7
-0.027, 1.0993249e-6, 6.6923855e-7
-0.028, 1.1013476e-6, 6.7264517e-7
-0.029, 1.1129641e-6, 6.7404602e-7
-0.030, 1.1159901e-6, 6.7326914e-7
-0.031, 1.1018820e-6, 6.7707049e-7
-0.032, 1.1020174e-6, 6.7138791e-7
-0.033, 1.1028773e-6, 6.7315619e-7
-0.034, 1.1095561e-6, 6.7411497e-7
-0.035, 1.1170600e-6, 6.7501617e-7
-0.036, 1.1027842e-6, 6.8077713e-7
-0.037, 1.1023811e-6, 6.7204508e-7
-0.038, 1.1013107e-6, 6.7059005e-7
-0.039, 1.1128496e-6, 6.7710079e-7
-0.040, 1.1161684e-6, 6.7421394e-7
-0.041, 1.1017919e-6, 6.8048803e-7
-0.042, 1.1009720e-6, 6.7450094e-7
-0.043, 1.1062632e-6, 6.7714490e-7
-0.044, 1.1129657e-6, 6.7887265e-7
-0.045, 1.1204526e-6, 6.7774135e-7
-0.046, 1.1014038e-6, 6.7973269e-7
-0.047, 1.1043692e-6, 6.7853051e-7
-0.048, 1.1045923e-6, 6.7645885e-7
-0.049, 1.1148605e-6, 6.8297703e-7
-0.050, 1.1214344e-6, 6.7940175e-7
-0.051, 1.1061412e-6, 6.8332884e-7
-0.052, 1.1056296e-6, 6.7874913e-7
-0.053, 1.1066853e-6, 6.7925782e-7
-0.054, 1.1168921e-6, 6.8536821e-7
-0.055, 1.1229625e-6, 6.8491448e-7
-0.056, 1.1119647e-6, 6.8867644e-7
-0.057, 1.1052666e-6, 6.7916324e-7
-0.058, 1.1096633e-6, 6.8162683e-7
-0.059, 1.1191493e-6, 6.8613144e-7
-0.060, 1.1253475e-6, 6.8798948e-7
-0.061, 1.1104011e-6, 6.9150138e-7
-0.062, 1.1114922e-6, 6.8534030e-7
-0.063, 1.1128201e-6, 6.8704804e-7
-0.064, 1.1238778e-6, 6.8988015e-7
-0.065, 1.1262738e-6, 6.8727525e-7
-0.066, 1.1164884e-6, 6.9557780e-7
-0.067, 1.1158018e-6, 6.8905109e-7
-0.068, 1.1163451e-6, 6.9232152e-7
-0.069, 1.1261748e-6, 6.9269038e-7
-0.070, 1.1351780e-6, 6.9514607e-7
-0.071, 1.1195248e-6, 6.9921128e-7
-0.072, 1.1203535e-6, 6.9318958e-7
-0.073, 1.1207077e-6, 6.9537271e-7
-0.074, 1.1343307e-6, 7.0323756e-7
-0.075, 1.1398918e-6, 6.9761927e-7
-0.076, 1.1221588e-6, 7.0240185e-7
-0.077, 1.1264764e-6, 6.9845623e-7
-0.078, 1.1273887e-6, 7.0061162e-7
-0.079, 1.1369235e-6, 7.0592205e-7
-0.080, 1.1425814e-6, 7.0430832e-7
-0.081, 1.1295039e-6, 7.0973215e-7
-0.082, 1.1312546e-6, 7.0516899e-7
-0.083, 1.1342296e-6, 7.0575288e-7
-0.084, 1.1429562e-6, 7.1019377e-7
-0.085, 1.1513257e-6, 7.1200145e-7
-0.086, 1.1379495e-6, 7.1649816e-7
-0.087, 1.1379747e-6, 7.1232546e-7
-0.088, 1.1406444e-6, 7.1212872e-7
-0.089, 1.1533713e-6, 7.1823388e-7
-0.090, 1.1590345e-6, 7.1783029e-7
-0.091, 1.1473469e-6, 7.2415992e-7
-0.092, 1.1478451e-6, 7.2043252e-7
-0.093, 1.1533100e-6, 7.2578968e-7
-0.094, 1.1646221e-6, 7.2783666e-7
-0.095, 1.1679969e-6, 7.2527672e-7
-0.096, 1.1577790e-6, 7.3358848e-7
