Feb. 2, 2006   23:51:12
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\1\75um_control_transfer_1_swv_11.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.1154941e-6, 6.2880741e-7
0.098, 1.1974500e-6, 6.7761744e-7
0.097, 1.1865327e-6, 6.7412333e-7
0.096, 1.2060502e-6, 6.7196328e-7
0.095, 1.1951374e-6, 6.7335009e-7
0.094, 1.2007333e-6, 6.7158282e-7
0.093, 1.1867708e-6, 6.7241399e-7
0.092, 1.1740570e-6, 6.6520232e-7
0.091, 1.2005078e-6, 6.6724283e-7
0.090, 1.1873889e-6, 6.7019630e-7
0.089, 1.1946148e-6, 6.6931125e-7
0.088, 1.1788736e-6, 6.6667639e-7
0.087, 1.1698446e-6, 6.6618895e-7
0.086, 1.1917338e-6, 6.6233184e-7
0.085, 1.1797024e-6, 6.6672442e-7
0.084, 1.1869446e-6, 6.6567395e-7
0.083, 1.1765677e-6, 6.6516162e-7
0.082, 1.1629476e-6, 6.6290079e-7
0.081, 1.1865445e-6, 6.6062177e-7
0.080, 1.1755423e-6, 6.6452753e-7
0.079, 1.1807182e-6, 6.6478782e-7
0.078, 1.1664119e-6, 6.5963576e-7
0.077, 1.1609861e-6, 6.6068861e-7
0.076, 1.1809902e-6, 6.6084851e-7
0.075, 1.1716580e-6, 6.6368261e-7
0.074, 1.1768960e-6, 6.6271718e-7
0.073, 1.1619281e-6, 6.5983721e-7
0.072, 1.1544981e-6, 6.5849088e-7
0.071, 1.1716078e-6, 6.5425564e-7
0.070, 1.1677930e-6, 6.6514235e-7
0.069, 1.1708330e-6, 6.5993595e-7
0.068, 1.1591313e-6, 6.6013075e-7
0.067, 1.1501793e-6, 6.5779108e-7
0.066, 1.1697307e-6, 6.5453293e-7
0.065, 1.1607297e-6, 6.6291864e-7
0.064, 1.1676029e-6, 6.5800884e-7
0.063, 1.1550446e-6, 6.5713209e-7
0.062, 1.1434885e-6, 6.5585994e-7
0.061, 1.1642333e-6, 6.5377594e-7
0.060, 1.1561373e-6, 6.5988371e-7
0.059, 1.1619303e-6, 6.5845501e-7
0.058, 1.1472899e-6, 6.5398172e-7
0.057, 1.1376139e-6, 6.5463234e-7
0.056, 1.1608828e-6, 6.5376810e-7
0.055, 1.1543710e-6, 6.5844097e-7
0.054, 1.1564498e-6, 6.5550000e-7
0.053, 1.1446743e-6, 6.5442828e-7
0.052, 1.1342088e-6, 6.5316186e-7
0.051, 1.1566420e-6, 6.5315294e-7
0.050, 1.1470735e-6, 6.5545998e-7
0.049, 1.1560934e-6, 6.5652580e-7
0.048, 1.1405705e-6, 6.5680399e-7
0.047, 1.1328832e-6, 6.5457948e-7
0.046, 1.1523874e-6, 6.5122703e-7
0.045, 1.1434331e-6, 6.5726528e-7
0.044, 1.1505110e-6, 6.5495317e-7
0.043, 1.1354138e-6, 6.5245166e-7
0.042, 1.1295268e-6, 6.5627279e-7
0.041, 1.1524953e-6, 6.5138926e-7
0.040, 1.1385788e-6, 6.5721014e-7
0.039, 1.1464656e-6, 6.5426502e-7
0.038, 1.1335657e-6, 6.5340748e-7
0.037, 1.1245595e-6, 6.5536267e-7
0.036, 1.1462446e-6, 6.5004372e-7
0.035, 1.1374225e-6, 6.5665665e-7
0.034, 1.1453064e-6, 6.5793569e-7
0.033, 1.1256536e-6, 6.5150238e-7
0.032, 1.1188763e-6, 6.5257689e-7
0.031, 1.1411278e-6, 6.5088324e-7
0.030, 1.1336210e-6, 6.5683366e-7
0.029, 1.1396648e-6, 6.5625380e-7
0.028, 1.1259211e-6, 6.5580338e-7
0.027, 1.1191634e-6, 6.5378714e-7
0.026, 1.1352150e-6, 6.4851531e-7
0.025, 1.1297146e-6, 6.5662960e-7
0.024, 1.1360600e-6, 6.5573647e-7
0.023, 1.1206729e-6, 6.5414991e-7
0.022, 1.1126064e-6, 6.5184855e-7
0.021, 1.1357946e-6, 6.5111146e-7
0.020, 1.1260203e-6, 6.6077484e-7
0.019, 1.1310460e-6, 6.5673930e-7
0.018, 1.1184891e-6, 6.5576370e-7
0.017, 1.1108048e-6, 6.5532811e-7
0.016, 1.1305071e-6, 6.5054127e-7
0.015, 1.1224339e-6, 6.5915424e-7
0.014, 1.1299911e-6, 6.5924633e-7
0.013, 1.1181000e-6, 6.5654899e-7
0.012, 1.1048741e-6, 6.5700652e-7
0.011, 1.1275055e-6, 6.5233320e-7
0.010, 1.1208076e-6, 6.6151705e-7
0.009, 1.1273939e-6, 6.6120799e-7
0.008, 1.1124009e-6, 6.5664875e-7
0.007, 1.1057265e-6, 6.5745820e-7
0.006, 1.1257682e-6, 6.5786116e-7
