Feb. 2, 2006   23:56:36
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\1\75um_control_transfer_1_swv_13.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.1055963e-6, 6.2909254e-7
0.098, 1.1906521e-6, 6.7483057e-7
0.097, 1.2058241e-6, 6.8045802e-7
0.096, 1.2018592e-6, 6.7434178e-7
0.095, 1.1996243e-6, 6.7972610e-7
0.094, 1.1911038e-6, 6.7623591e-7
0.093, 1.1799331e-6, 6.6751829e-7
0.092, 1.1938392e-6, 6.7304819e-7
0.091, 1.1936345e-6, 6.6965197e-7
0.090, 1.1912051e-6, 6.7407188e-7
0.089, 1.1825612e-6, 6.7123403e-7
0.088, 1.1722768e-6, 6.6298890e-7
0.087, 1.1905338e-6, 6.7126189e-7
0.086, 1.1873024e-6, 6.6935604e-7
0.085, 1.1846823e-6, 6.7200847e-7
0.084, 1.1777690e-6, 6.6747793e-7
0.083, 1.1658730e-6, 6.6187266e-7
0.082, 1.1840782e-6, 6.6912753e-7
0.081, 1.1802665e-6, 6.6460450e-7
0.080, 1.1791590e-6, 6.7004783e-7
0.079, 1.1729940e-6, 6.6535398e-7
0.078, 1.1573807e-6, 6.5888401e-7
0.077, 1.1818523e-6, 6.6998655e-7
0.076, 1.1754624e-6, 6.6320473e-7
0.075, 1.1748615e-6, 6.6889260e-7
0.074, 1.1657332e-6, 6.6231388e-7
0.073, 1.1551192e-6, 6.5770166e-7
0.072, 1.1752363e-6, 6.6902305e-7
0.071, 1.1682831e-6, 6.5902452e-7
0.070, 1.1682542e-6, 6.6527599e-7
0.069, 1.1620124e-6, 6.6302323e-7
0.068, 1.1512303e-6, 6.5726397e-7
0.067, 1.1688006e-6, 6.6453561e-7
0.066, 1.1660526e-6, 6.6179587e-7
0.065, 1.1651396e-6, 6.6307172e-7
0.064, 1.1529509e-6, 6.5771167e-7
0.063, 1.1459917e-6, 6.5568719e-7
0.062, 1.1641260e-6, 6.6278903e-7
0.061, 1.1590057e-6, 6.5827851e-7
0.060, 1.1587460e-6, 6.6027945e-7
0.059, 1.1508615e-6, 6.5796814e-7
0.058, 1.1405565e-6, 6.5577808e-7
0.057, 1.1590189e-6, 6.6249152e-7
0.056, 1.1574480e-6, 6.5732979e-7
0.055, 1.1540405e-6, 6.6068185e-7
0.054, 1.1462542e-6, 6.5654461e-7
0.053, 1.1364193e-6, 6.5345432e-7
0.052, 1.1568447e-6, 6.6261225e-7
0.051, 1.1519350e-6, 6.5532328e-7
0.050, 1.1472796e-6, 6.5853163e-7
0.049, 1.1447069e-6, 6.5892027e-7
0.048, 1.1322215e-6, 6.5193058e-7
0.047, 1.1526470e-6, 6.6162841e-7
0.046, 1.1490562e-6, 6.5638261e-7
0.045, 1.1475605e-6, 6.5939196e-7
0.044, 1.1401675e-6, 6.5997915e-7
0.043, 1.1278263e-6, 6.5067951e-7
0.042, 1.1503345e-6, 6.5996613e-7
0.041, 1.1422568e-6, 6.5545464e-7
0.040, 1.1439113e-6, 6.5924064e-7
0.039, 1.1340039e-6, 6.5589506e-7
0.038, 1.1257126e-6, 6.5440327e-7
0.037, 1.1458350e-6, 6.5833183e-7
0.036, 1.1348209e-6, 6.5211304e-7
0.035, 1.1394688e-6, 6.5812350e-7
0.034, 1.1306616e-6, 6.5485887e-7
0.033, 1.1223304e-6, 6.5394772e-7
0.032, 1.1399782e-6, 6.5618786e-7
0.031, 1.1359440e-6, 6.5500763e-7
0.030, 1.1354914e-6, 6.6079775e-7
0.029, 1.1234556e-6, 6.5364316e-7
0.028, 1.1207098e-6, 6.5388855e-7
0.027, 1.1375328e-6, 6.5912775e-7
0.026, 1.1342080e-6, 6.5671679e-7
0.025, 1.1324491e-6, 6.5994470e-7
0.024, 1.1237958e-6, 6.5689829e-7
0.023, 1.1149782e-6, 6.5188414e-7
0.022, 1.1303873e-6, 6.5793904e-7
0.021, 1.1285723e-6, 6.5624431e-7
0.020, 1.1287401e-6, 6.5922006e-7
0.019, 1.1195057e-6, 6.5690784e-7
0.018, 1.1119670e-6, 6.5335729e-7
0.017, 1.1303496e-6, 6.5845944e-7
0.016, 1.1261822e-6, 6.6061381e-7
0.015, 1.1226053e-6, 6.5714829e-7
0.014, 1.1189371e-6, 6.5769501e-7
0.013, 1.1088330e-6, 6.5577120e-7
0.012, 1.1285649e-6, 6.6077797e-7
0.011, 1.1218860e-6, 6.5858455e-7
0.010, 1.1243110e-6, 6.6502793e-7
0.009, 1.1144251e-6, 6.5730472e-7
0.008, 1.1010918e-6, 6.5303840e-7
0.007, 1.1266176e-6, 6.6304767e-7
0.006, 1.1185238e-6, 6.5940912e-7
0.005, 1.1186347e-6, 6.6310605e-7
0.004, 1.1098119e-6, 6.5713164e-7
0.003, 1.1020712e-6, 6.5685572e-7
0.002, 1.1225721e-6, 6.6567702e-7
0.001, 1.1164332e-6, 6.6349236e-7
-0.000, 1.1189044e-6, 6.6623147e-7
-0.001, 1.1075955e-6, 6.6132532e-7
-0.002, 1.1008811e-6, 6.6037001e-7
-0.003, 1.1195402e-6, 6.6566599e-7
-0.004, 1.1139925e-6, 6.6570152e-7
-0.005, 1.1153033e-6, 6.6653422e-7
-0.006, 1.1002896e-6, 6.6194110e-7
-0.007, 1.0969724e-6, 6.6181195e-7
-0.008, 1.1170379e-6, 6.6836253e-7
-0.009, 1.1113599e-6, 6.6840011e-7
