Feb. 3, 2006   00:04:50
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\1\75um_control_transfer_1_swv_16.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.1057753e-6, 6.2791941e-7
0.098, 1.1965976e-6, 6.7599228e-7
0.097, 1.2055690e-6, 6.8000691e-7
0.096, 1.2089166e-6, 6.7505493e-7
0.095, 1.1898286e-6, 6.7856786e-7
0.094, 1.1919045e-6, 6.7440692e-7
0.093, 1.1887529e-6, 6.6939765e-7
0.092, 1.1932685e-6, 6.7151745e-7
0.091, 1.1995503e-6, 6.7027850e-7
0.090, 1.1830359e-6, 6.7482813e-7
0.089, 1.1823594e-6, 6.6864567e-7
0.088, 1.1810123e-6, 6.6682770e-7
0.087, 1.1894522e-6, 6.7023461e-7
0.086, 1.1933823e-6, 6.7101257e-7
0.085, 1.1757486e-6, 6.7229996e-7
0.084, 1.1773765e-6, 6.6503685e-7
0.083, 1.1769721e-6, 6.6719588e-7
0.082, 1.1832821e-6, 6.6788812e-7
0.081, 1.1868389e-6, 6.6629923e-7
0.080, 1.1698149e-6, 6.6943250e-7
0.079, 1.1706659e-6, 6.6234526e-7
0.078, 1.1666781e-6, 6.6100063e-7
0.077, 1.1772900e-6, 6.6792427e-7
0.076, 1.1840797e-6, 6.6444011e-7
0.075, 1.1638599e-6, 6.6830199e-7
0.074, 1.1645777e-6, 6.6052871e-7
0.073, 1.1634311e-6, 6.6129235e-7
0.072, 1.1712285e-6, 6.6548671e-7
0.071, 1.1761545e-6, 6.6184055e-7
0.070, 1.1591062e-6, 6.6469812e-7
0.069, 1.1606735e-6, 6.6316295e-7
0.068, 1.1553846e-6, 6.5622180e-7
0.067, 1.1684043e-6, 6.6302215e-7
0.066, 1.1695037e-6, 6.6049989e-7
0.065, 1.1566872e-6, 6.6552070e-7
0.064, 1.1541824e-6, 6.5828124e-7
0.063, 1.1531926e-6, 6.5948387e-7
0.062, 1.1601182e-6, 6.5927094e-7
0.061, 1.1629128e-6, 6.5772213e-7
0.060, 1.1509998e-6, 6.6524916e-7
0.059, 1.1506501e-6, 6.5568645e-7
0.058, 1.1458328e-6, 6.5528729e-7
0.057, 1.1561284e-6, 6.5827430e-7
0.056, 1.1601900e-6, 6.5764544e-7
0.055, 1.1440436e-6, 6.6229114e-7
0.054, 1.1449123e-6, 6.5432710e-7
0.053, 1.1420306e-6, 6.5439457e-7
0.052, 1.1514943e-6, 6.6045004e-7
0.051, 1.1525805e-6, 6.5496033e-7
0.050, 1.1414739e-6, 6.6078110e-7
0.049, 1.1400159e-6, 6.5424308e-7
0.048, 1.1397232e-6, 6.5548369e-7
0.047, 1.1460346e-6, 6.5707843e-7
0.046, 1.1499071e-6, 6.5502593e-7
0.045, 1.1365516e-6, 6.5940810e-7
0.044, 1.1344350e-6, 6.5267341e-7
0.043, 1.1356890e-6, 6.5693507e-7
0.042, 1.1454808e-6, 6.5730478e-7
0.041, 1.1447304e-6, 6.5537404e-7
0.040, 1.1319191e-6, 6.5900986e-7
0.039, 1.1312109e-6, 6.5214402e-7
0.038, 1.1304295e-6, 6.5519328e-7
0.037, 1.1384575e-6, 6.5586022e-7
0.036, 1.1434078e-6, 6.5431379e-7
0.035, 1.1289258e-6, 6.6235845e-7
0.034, 1.1252071e-6, 6.4953184e-7
0.033, 1.1266864e-6, 6.5318960e-7
0.032, 1.1332720e-6, 6.5567616e-7
0.031, 1.1384850e-6, 6.5406596e-7
0.030, 1.1224894e-6, 6.5941327e-7
0.029, 1.1228894e-6, 6.5280108e-7
0.028, 1.1205043e-6, 6.5203977e-7
0.027, 1.1288939e-6, 6.5580048e-7
0.026, 1.1352533e-6, 6.5679745e-7
0.025, 1.1216229e-6, 6.5954828e-7
0.024, 1.1206299e-6, 6.5179438e-7
0.023, 1.1164997e-6, 6.5249003e-7
0.022, 1.1257675e-6, 6.5602450e-7
0.021, 1.1307355e-6, 6.5558095e-7
0.020, 1.1166497e-6, 6.5913042e-7
0.019, 1.1163177e-6, 6.5275719e-7
0.018, 1.1135896e-6, 6.5623544e-7
0.017, 1.1190990e-6, 6.5505799e-7
0.016, 1.1297627e-6, 6.5540559e-7
0.015, 1.1127439e-6, 6.6153888e-7
0.014, 1.1137101e-6, 6.5375355e-7
0.013, 1.1097402e-6, 6.5525967e-7
0.012, 1.1182354e-6, 6.5782137e-7
0.011, 1.1245298e-6, 6.5590649e-7
0.010, 1.1070284e-6, 6.6028429e-7
0.009, 1.1116254e-6, 6.5785144e-7
0.008, 1.1093143e-6, 6.5639654e-7
0.007, 1.1151902e-6, 6.6078860e-7
0.006, 1.1210263e-6, 6.5728130e-7
0.005, 1.1058048e-6, 6.6283013e-7
0.004, 1.1076603e-6, 6.5887548e-7
0.003, 1.1045280e-6, 6.5800788e-7
0.002, 1.1136798e-6, 6.6070533e-7
0.001, 1.1191380e-6, 6.6261458e-7
-0.000, 1.1013150e-6, 6.6277522e-7
-0.001, 1.1055063e-6, 6.5868517e-7
-0.002, 1.1010820e-6, 6.6040656e-7
-0.003, 1.1099819e-6, 6.6236908e-7
-0.004, 1.1140377e-6, 6.6165654e-7
-0.005, 1.0997484e-6, 6.6835946e-7
-0.006, 1.1011385e-6, 6.5983335e-7
-0.007, 1.0967676e-6, 6.6176466e-7
-0.008, 1.1083288e-6, 6.6768371e-7
-0.009, 1.1151451e-6, 6.6421859e-7
-0.010, 1.0950339e-6, 6.6804921e-7
-0.011, 1.0998912e-6, 6.6375998e-7
-0.012, 1.0944766e-6, 6.6395557e-7
-0.013, 1.1053496e-6, 6.6983023e-7
-0.014, 1.1086069e-6, 6.6457807e-7
-0.015, 1.0948196e-6, 6.7219071e-7
-0.016, 1.0965924e-6, 6.6862577e-7
-0.017, 1.0929558e-6, 6.6922371e-7
-0.018, 1.1058100e-6, 6.7300147e-7
-0.019, 1.1083007e-6, 6.7111540e-7
-0.020, 1.0941978e-6, 6.7718304e-7
-0.021, 1.0953556e-6, 6.7121459e-7
-0.022, 1.0905133e-6, 6.7238955e-7
-0.023, 1.1007390e-6, 6.7502731e-7
-0.024, 1.1046435e-6, 6.7412770e-7
-0.025, 1.0932249e-6, 6.8387533e-7
-0.026, 1.0969170e-6, 6.7622966e-7
-0.027, 1.0891706e-6, 6.7739415e-7
-0.028, 1.0998319e-6, 6.8067300e-7
-0.029, 1.1053303e-6, 6.7987105e-7
-0.030, 1.0900918e-6, 6.8802052e-7
-0.031, 1.0921057e-6, 6.7950589e-7
-0.032, 1.0875367e-6, 6.8052412e-7
-0.033, 1.0991275e-6, 6.8902938e-7
-0.034, 1.1018697e-6, 6.8271225e-7
-0.035, 1.0923334e-6, 6.9313921e-7
-0.036, 1.0894781e-6, 6.8502391e-7
-0.037, 1.0873594e-6, 6.8733272e-7
-0.038, 1.0973938e-6, 6.9310511e-7
-0.039, 1.1021904e-6, 6.9193050e-7
