Feb. 2, 2006   23:25:32
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\1\75um_control_transfer_1_gc_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.000, -6.9884088e-8, -7.4497805e-8, 3.3333334e-1
-0.001, -5.9709706e-8, -6.6370795e-8, 6.6666669e-1
-0.002, -5.3239166e-8, -6.0218987e-8, 1.0000000e+0
-0.003, -4.8498610e-8, -5.5405607e-8, 1.3333334e+0
-0.004, -4.4694968e-8, -5.1550575e-8, 1.6666667e+0
-0.005, -4.1549516e-8, -4.8409611e-8, 2.0000000e+0
-0.006, -3.8848135e-8, -4.5775533e-8, 2.3333333e+0
-0.007, -3.6537912e-8, -4.3545764e-8, 2.6666665e+0
-0.008, -3.4529325e-8, -4.1621501e-8, 2.9999998e+0
-0.009, -3.2726597e-8, -3.9959247e-8, 3.3333330e+0
-0.010, -3.1156876e-8, -3.8491407e-8, 3.6666663e+0
-0.011, -2.9696057e-8, -3.7185480e-8, 3.9999995e+0
-0.012, -2.8396446e-8, -3.6031299e-8, 4.3333330e+0
-0.013, -2.7218363e-8, -3.4989746e-8, 4.6666665e+0
-0.014, -2.6116574e-8, -3.4063898e-8, 5.0000000e+0
-0.015, -2.5148243e-8, -3.3216168e-8, 5.3333335e+0
-0.016, -2.4235423e-8, -3.2441239e-8, 5.6666670e+0
-0.017, -2.3381416e-8, -3.1740647e-8, 6.0000005e+0
-0.018, -2.2617050e-8, -3.1094181e-8, 6.3333340e+0
-0.019, -2.1873115e-8, -3.0495936e-8, 6.6666675e+0
-0.020, -2.1203114e-8, -2.9952766e-8, 7.0000010e+0
-0.021, -2.0605510e-8, -2.9453554e-8, 7.3333344e+0
-0.022, -2.0013575e-8, -2.8996068e-8, 7.6666679e+0
-0.023, -1.9485771e-8, -2.8570607e-8, 8.0000010e+0
-0.024, -1.8957730e-8, -2.8159681e-8, 8.3333340e+0
-0.025, -1.8472324e-8, -2.7781379e-8, 8.6666670e+0
-0.026, -1.8048215e-8, -2.7423871e-8, 9.0000000e+0
-0.027, -1.7551471e-8, -2.7072749e-8, 9.3333330e+0
-0.028, -1.7127716e-8, -2.6742546e-8, 9.6666660e+0
-0.029, -1.6739865e-8, -2.6422974e-8, 9.9999990e+0
-0.030, -1.6308549e-8, -2.6117709e-8, 1.0333332e+1
-0.031, -1.5926602e-8, -2.5821304e-8, 1.0666665e+1
-0.032, -1.5536388e-8, -2.5537899e-8, 1.0999998e+1
-0.033, -1.5139207e-8, -2.5253669e-8, 1.1333331e+1
-0.034, -1.4810761e-8, -2.4976528e-8, 1.1666664e+1
-0.035, -1.4436610e-8, -2.4710378e-8, 1.1999997e+1
-0.036, -1.4084779e-8, -2.4450729e-8, 1.2333330e+1
-0.037, -1.3731295e-8, -2.4193444e-8, 1.2666663e+1
-0.038, -1.3416432e-8, -2.3947623e-8, 1.2999996e+1
-0.039, -1.3106291e-8, -2.3708063e-8, 1.3333329e+1
-0.040, -1.2804537e-8, -2.3478670e-8, 1.3666662e+1
-0.041, -1.2511049e-8, -2.3262157e-8, 1.3999995e+1
-0.042, -1.2236459e-8, -2.3041153e-8, 1.4333328e+1
-0.043, -1.1917225e-8, -2.2819915e-8, 1.4666661e+1
-0.044, -1.1636847e-8, -2.2610731e-8, 1.4999994e+1
-0.045, -1.1370170e-8, -2.2409226e-8, 1.5333327e+1
-0.046, -1.1100539e-8, -2.2214342e-8, 1.5666660e+1
-0.047, -1.0859608e-8, -2.2021583e-8, 1.5999993e+1
-0.048, -1.0611708e-8, -2.1841000e-8, 1.6333326e+1
-0.049, -1.0362628e-8, -2.1664908e-8, 1.6666660e+1
-0.050, -1.0146025e-8, -2.1488223e-8, 1.6999994e+1
