Feb. 2, 2006   23:28:37
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\1\75um_control_transfer_1_swv_3.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.0829287e-6, 6.3895442e-7
0.098, 1.1904037e-6, 6.8765780e-7
0.097, 1.1805392e-6, 6.8927613e-7
0.096, 1.1859975e-6, 6.8769100e-7
0.095, 1.1698822e-6, 6.8742497e-7
0.094, 1.1584386e-6, 6.8272300e-7
0.093, 1.1808098e-6, 6.8022769e-7
0.092, 1.1725201e-6, 6.8674876e-7
0.091, 1.1791412e-6, 6.8432922e-7
0.090, 1.1601235e-6, 6.7943716e-7
0.089, 1.1537559e-6, 6.8226035e-7
0.088, 1.1786326e-6, 6.7918461e-7
0.087, 1.1648299e-6, 6.8313852e-7
0.086, 1.1731181e-6, 6.8166821e-7
0.085, 1.1583433e-6, 6.7966505e-7
0.084, 1.1503329e-6, 6.8237392e-7
0.083, 1.1692161e-6, 6.7368933e-7
0.082, 1.1643338e-6, 6.8231151e-7
0.081, 1.1668149e-6, 6.7942665e-7
0.080, 1.1541877e-6, 6.7856683e-7
0.079, 1.1442825e-6, 6.7836436e-7
0.078, 1.1681803e-6, 6.7757628e-7
0.077, 1.1573142e-6, 6.7907058e-7
0.076, 1.1604865e-6, 6.7596835e-7
0.075, 1.1493282e-6, 6.7676672e-7
0.074, 1.1396057e-6, 6.7575616e-7
0.073, 1.1620966e-6, 6.7489088e-7
0.072, 1.1530520e-6, 6.7779678e-7
0.071, 1.1604983e-6, 6.7798334e-7
0.070, 1.1454861e-6, 6.7850544e-7
0.069, 1.1347004e-6, 6.7506448e-7
0.068, 1.1595047e-6, 6.7319354e-7
0.067, 1.1502398e-6, 6.7949611e-7
0.066, 1.1552921e-6, 6.7644453e-7
0.065, 1.1411834e-6, 6.7551855e-7
0.064, 1.1325350e-6, 6.7571511e-7
0.063, 1.1556899e-6, 6.7104531e-7
0.062, 1.1441900e-6, 6.7905501e-7
0.061, 1.1524259e-6, 6.7667520e-7
0.060, 1.1371822e-6, 6.7367881e-7
0.059, 1.1291586e-6, 6.7563326e-7
0.058, 1.1501548e-6, 6.7049297e-7
0.057, 1.1416639e-6, 6.7645135e-7
0.056, 1.1490310e-6, 6.7695015e-7
0.055, 1.1309055e-6, 6.7287453e-7
0.054, 1.1254931e-6, 6.7387793e-7
0.053, 1.1480722e-6, 6.7209049e-7
0.052, 1.1394046e-6, 6.7721521e-7
0.051, 1.1437576e-6, 6.7508631e-7
0.050, 1.1315421e-6, 6.7541066e-7
0.049, 1.1246807e-6, 6.7318740e-7
0.048, 1.1415152e-6, 6.6898258e-7
0.047, 1.1348542e-6, 6.7549558e-7
0.046, 1.1411803e-6, 6.7488094e-7
0.045, 1.1270863e-6, 6.7438191e-7
0.044, 1.1186214e-6, 6.7147533e-7
0.043, 1.1424120e-6, 6.7042981e-7
0.042, 1.1334295e-6, 6.7926374e-7
0.041, 1.1369953e-6, 6.7406603e-7
0.040, 1.1241343e-6, 6.7380671e-7
0.039, 1.1166222e-6, 6.7486633e-7
0.038, 1.1399945e-6, 6.7146783e-7
0.037, 1.1283979e-6, 6.7712796e-7
0.036, 1.1374721e-6, 6.7915641e-7
0.035, 1.1244358e-6, 6.7500827e-7
0.034, 1.1128089e-6, 6.7501935e-7
0.033, 1.1351573e-6, 6.7074052e-7
0.032, 1.1269894e-6, 6.7816563e-7
0.031, 1.1335709e-6, 6.7959331e-7
0.030, 1.1162748e-6, 6.7167377e-7
0.029, 1.1121000e-6, 6.7497842e-7
0.028, 1.1313373e-6, 6.7213097e-7
0.027, 1.1236368e-6, 6.7879409e-7
0.026, 1.1294514e-6, 6.7839301e-7
0.025, 1.1158097e-6, 6.7694589e-7
0.024, 1.1075628e-6, 6.7418489e-7
0.023, 1.1266317e-6, 6.7160283e-7
0.022, 1.1215335e-6, 6.7915482e-7
0.021, 1.1274102e-6, 6.7855888e-7
0.020, 1.1136497e-6, 6.7813551e-7
0.019, 1.1047573e-6, 6.7510626e-7
0.018, 1.1265711e-6, 6.7341097e-7
0.017, 1.1206270e-6, 6.8509542e-7
0.016, 1.1245359e-6, 6.8073336e-7
0.015, 1.1129199e-6, 6.7987673e-7
0.014, 1.1024011e-6, 6.7847981e-7
0.013, 1.1275292e-6, 6.7729633e-7
0.012, 1.1153329e-6, 6.8220896e-7
0.011, 1.1236735e-6, 6.8356718e-7
0.010, 1.1104092e-6, 6.7999309e-7
0.009, 1.0987984e-6, 6.8197767e-7
0.008, 1.1239798e-6, 6.7874356e-7
0.007, 1.1140037e-6, 6.8442307e-7
0.006, 1.1212096e-6, 6.8536679e-7
0.005, 1.1065907e-6, 6.8132869e-7
0.004, 1.0989005e-6, 6.8207930e-7
0.003, 1.1214493e-6, 6.8168367e-7
0.002, 1.1112795e-6, 6.8798380e-7
0.001, 1.1184528e-6, 6.8647017e-7
-0.000, 1.1054478e-6, 6.8648643e-7
-0.001, 1.0961681e-6, 6.8365665e-7
-0.002, 1.1176011e-6, 6.8279394e-7
-0.003, 1.1109312e-6, 6.9223148e-7
-0.004, 1.1194686e-6, 6.8889761e-7
-0.005, 1.1019583e-6, 6.8644556e-7
-0.006, 1.0948403e-6, 6.8732624e-7
-0.007, 1.1165328e-6, 6.8524889e-7
-0.008, 1.1067380e-6, 6.9277218e-7
-0.009, 1.1152723e-6, 6.9025964e-7
-0.010, 1.1030791e-6, 6.9080295e-7
-0.011, 1.0946289e-6, 6.9433838e-7
-0.012, 1.1170415e-6, 6.8994171e-7
-0.013, 1.1073987e-6, 6.9697245e-7
-0.014, 1.1140799e-6, 6.9574753e-7
-0.015, 1.1001995e-6, 6.9342957e-7
-0.016, 1.0906277e-6, 6.9384646e-7
-0.017, 1.1157514e-6, 6.9606392e-7
-0.018, 1.1077544e-6, 7.0006990e-7
-0.019, 1.1143438e-6, 7.0166288e-7
-0.020, 1.1004191e-6, 6.9904371e-7
-0.021, 1.0924649e-6, 6.9935624e-7
-0.022, 1.1146535e-6, 7.0051902e-7
-0.023, 1.1037208e-6, 7.0207329e-7
-0.024, 1.1141958e-6, 7.0399977e-7
-0.025, 1.0972150e-6, 7.0212036e-7
-0.026, 1.0906944e-6, 7.0348557e-7
-0.027, 1.1122248e-6, 7.0225673e-7
-0.028, 1.1064369e-6, 7.1205631e-7
-0.029, 1.1115980e-6, 7.0795244e-7
-0.030, 1.0945409e-6, 7.0587168e-7
-0.031, 1.0902596e-6, 7.0829731e-7
-0.032, 1.1138352e-6, 7.0763571e-7
-0.033, 1.1040535e-6, 7.1596708e-7
-0.034, 1.1114914e-6, 7.1323547e-7
-0.035, 1.0983853e-6, 7.1422073e-7
-0.036, 1.0899653e-6, 7.1651323e-7
-0.037, 1.1110842e-6, 7.1325741e-7
