Feb. 3, 2006   00:48:25
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\2\75um_control_transfer_2_swv_7.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.2126922e-6, 6.4904242e-7
0.098, 1.3420956e-6, 7.0204044e-7
0.097, 1.3351209e-6, 7.0811075e-7
0.096, 1.3449989e-6, 7.0968440e-7
0.095, 1.3203306e-6, 7.0072429e-7
0.094, 1.3155303e-6, 7.0107978e-7
0.093, 1.3284636e-6, 6.9484690e-7
0.092, 1.3217922e-6, 7.0295226e-7
0.091, 1.3327679e-6, 7.0160388e-7
0.090, 1.3155695e-6, 7.0222575e-7
0.089, 1.3057397e-6, 6.9667328e-7
0.088, 1.3236772e-6, 6.9549412e-7
0.087, 1.3162888e-6, 7.0190515e-7
0.086, 1.3226734e-6, 6.9516614e-7
0.085, 1.2930238e-6, 6.8667964e-7
0.084, 1.2844220e-6, 6.8399254e-7
0.083, 1.3152664e-6, 6.9214764e-7
0.082, 1.3072863e-6, 6.9703128e-7
0.081, 1.3143563e-6, 6.9247750e-7
0.080, 1.2950686e-6, 6.9079016e-7
0.079, 1.2885361e-6, 6.9226905e-7
0.078, 1.3083015e-6, 6.8827421e-7
0.077, 1.3017594e-6, 6.9389210e-7
0.076, 1.3087886e-6, 6.9472685e-7
0.075, 1.2885378e-6, 6.8903483e-7
0.074, 1.2803389e-6, 6.8814950e-7
0.073, 1.2962957e-6, 6.8260653e-7
0.072, 1.2919437e-6, 6.8979949e-7
0.071, 1.3006918e-6, 6.8855502e-7
0.070, 1.2822248e-6, 6.9040306e-7
0.069, 1.2764212e-6, 6.8496274e-7
0.068, 1.2881245e-6, 6.8213330e-7
0.067, 1.2852648e-6, 6.8808868e-7
0.066, 1.2928360e-6, 6.8435509e-7
0.065, 1.2709919e-6, 6.8258868e-7
0.064, 1.2614438e-6, 6.7685471e-7
0.063, 1.2854696e-6, 6.8043431e-7
