Feb. 3, 2006   00:26:55
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\2\75um_control_soak_2_gc_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5
2nd E (V) = 0
Sens 2 (A/V) = 1e-5

Potential/V, i1/A, i2/A, Time/s

0.000, -1.0517003e-7, -1.0601935e-7, 3.3333334e-1
-0.001, -9.3536833e-8, -9.6978312e-8, 6.6666669e-1
-0.002, -8.5871918e-8, -8.9721837e-8, 1.0000000e+0
-0.003, -7.9943113e-8, -8.3871754e-8, 1.3333334e+0
-0.004, -7.5136299e-8, -7.9097141e-8, 1.6666667e+0
-0.005, -7.1038109e-8, -7.5043445e-8, 2.0000000e+0
-0.006, -6.7554062e-8, -7.1734306e-8, 2.3333333e+0
-0.007, -6.4719572e-8, -6.8815169e-8, 2.6666665e+0
-0.008, -6.2074051e-8, -6.6250585e-8, 2.9999998e+0
-0.009, -5.9723796e-8, -6.3981460e-8, 3.3333330e+0
-0.010, -5.7645174e-8, -6.1984160e-8, 3.6666663e+0
-0.011, -5.5779140e-8, -6.0175957e-8, 3.9999995e+0
-0.012, -5.4043014e-8, -5.8698653e-8, 4.3333330e+0
-0.013, -5.2389566e-8, -5.7327728e-8, 4.6666665e+0
-0.014, -5.1043187e-8, -5.6122250e-8, 5.0000000e+0
-0.015, -4.9649564e-8, -5.4952242e-8, 5.3333335e+0
-0.016, -4.8409476e-8, -5.3971316e-8, 5.6666670e+0
-0.017, -4.7252062e-8, -5.3049483e-8, 6.0000005e+0
-0.018, -4.6141889e-8, -5.2092194e-8, 6.3333340e+0
-0.019, -4.5197066e-8, -5.1394913e-8, 6.6666675e+0
-0.020, -4.4228614e-8, -5.0626721e-8, 7.0000010e+0
-0.021, -4.3354643e-8, -4.9551250e-8, 7.3333344e+0
-0.022, -4.2445247e-8, -4.8653053e-8, 7.6666679e+0
-0.023, -4.1689386e-8, -4.8203955e-8, 8.0000010e+0
-0.024, -4.0921712e-8, -4.7565766e-8, 8.3333340e+0
-0.025, -4.0213092e-8, -4.7045759e-8, 8.6666670e+0
-0.026, -3.9681627e-8, -4.6407564e-8, 9.0000000e+0
-0.027, -3.9138349e-8, -4.5852104e-8, 9.3333330e+0
-0.028, -3.8595072e-8, -4.5379366e-8, 9.6666660e+0
-0.029, -3.8039985e-8, -4.4882999e-8, 9.9999990e+0
-0.030, -3.7425849e-8, -4.4386628e-8, 1.0333332e+1
-0.031, -3.6906194e-8, -4.3961162e-8, 1.0666665e+1
-0.032, -3.6398347e-8, -4.3488434e-8, 1.0999998e+1
-0.033, -3.5819642e-8, -4.2921151e-8, 1.1333331e+1
-0.034, -3.5311796e-8, -4.2542968e-8, 1.1666664e+1
-0.035, -3.4768519e-8, -4.2070230e-8, 1.1999997e+1
-0.036, -3.4189814e-8, -4.1632948e-8, 1.2333330e+1
-0.037, -3.3764639e-8, -4.1195676e-8, 1.2666663e+1
-0.038, -3.3363087e-8, -4.0734754e-8, 1.2999996e+1
-0.039, -3.2926106e-8, -4.0356568e-8, 1.3333329e+1
-0.040, -3.2371020e-8, -3.9907469e-8, 1.3666662e+1
-0.041, -3.1934036e-8, -3.9505647e-8, 1.3999995e+1
-0.042, -3.1591533e-8, -3.9127460e-8, 1.4333328e+1
-0.043, -3.1071881e-8, -3.8796546e-8, 1.4666661e+1
-0.044, -3.0930156e-8, -3.8571997e-8, 1.4999994e+1
-0.045, -3.0682138e-8, -3.8335628e-8, 1.5333327e+1
-0.046, -3.0209723e-8, -3.8170175e-8, 1.5666660e+1
-0.047, -2.9796361e-8, -3.7874713e-8, 1.5999993e+1
-0.048, -2.9619205e-8, -3.7650164e-8, 1.6333326e+1
-0.049, -2.9253085e-8, -3.7401978e-8, 1.6666660e+1
-0.050, -2.9040498e-8, -3.7224705e-8, 1.6999994e+1
-0.051, -2.8839723e-8, -3.7000156e-8, 1.7333328e+1
-0.052, -2.8568087e-8, -3.6728331e-8, 1.7666662e+1
-0.053, -2.8461789e-8, -3.6610150e-8, 1.7999996e+1
-0.054, -2.8166532e-8, -3.6444693e-8, 1.8333330e+1
-0.055, -2.8036618e-8, -3.6267419e-8, 1.8666664e+1
-0.056, -2.7776791e-8, -3.6220143e-8, 1.8999998e+1
-0.057, -2.7564207e-8, -3.5971958e-8, 1.9333332e+1
-0.058, -2.7363427e-8, -3.5948322e-8, 1.9666666e+1
-0.059, -2.7103601e-8, -3.5794685e-8, 2.0000000e+1
-0.060, -2.6961876e-8, -3.5570135e-8, 2.0333334e+1
-0.061, -2.6796531e-8, -3.5522859e-8, 2.0666668e+1
-0.062, -2.6489463e-8, -3.5428315e-8, 2.1000002e+1
-0.063, -2.6253256e-8, -3.5262858e-8, 2.1333336e+1
-0.064, -2.6099721e-8, -3.4920124e-8, 2.1666670e+1
-0.065, -2.5828085e-8, -3.4742847e-8, 2.2000004e+1
-0.066, -2.5662739e-8, -3.4565577e-8, 2.2333338e+1
-0.067, -2.5391101e-8, -3.4459209e-8, 2.2666672e+1
-0.068, -2.5084033e-8, -3.4305572e-8, 2.3000006e+1
-0.069, -2.4954117e-8, -3.4163751e-8, 2.3333340e+1
-0.070, -2.4883253e-8, -3.3974658e-8, 2.3666674e+1
-0.071, -2.4528942e-8, -3.3785561e-8, 2.4000008e+1
-0.072, -2.3997480e-8, -3.3596468e-8, 2.4333342e+1
-0.073, -2.3737652e-8, -3.3419191e-8, 2.4666676e+1
-0.074, -2.3997480e-8, -3.3029188e-8, 2.5000010e+1
-0.075, -2.3926617e-8, -3.2981916e-8, 2.5333344e+1
-0.076, -2.3678599e-8, -3.2946460e-8, 2.5666677e+1
-0.077, -2.3466010e-8, -3.2804639e-8, 2.6000011e+1
-0.078, -2.3052653e-8, -3.2651002e-8, 2.6333345e+1
-0.079, -2.2946356e-8, -3.2438269e-8, 2.6666679e+1
-0.080, -2.2840064e-8, -3.2284632e-8, 2.7000013e+1
-0.081, -2.2639290e-8, -3.2130991e-8, 2.7333347e+1
-0.082, -2.2379460e-8, -3.2048263e-8, 2.7666681e+1
-0.083, -2.2355840e-8, -3.1516436e-8, 2.8000015e+1
-0.084, -2.2166875e-8, -3.1634620e-8, 2.8333349e+1
-0.085, -2.2072392e-8, -3.1634620e-8, 2.8666683e+1
-0.086, -2.1824375e-8, -3.1433711e-8, 2.9000017e+1
-0.087, -2.1599977e-8, -3.1280074e-8, 2.9333351e+1
-0.088, -2.1505494e-8, -3.1150069e-8, 2.9666685e+1
-0.089, -2.1245668e-8, -3.0960976e-8, 3.0000019e+1
-0.090, -2.1245668e-8, -3.0771883e-8, 3.0333353e+1
-0.091, -2.1127562e-8, -3.0641878e-8, 3.0666687e+1
-0.092, -2.0962217e-8, -3.0606426e-8, 3.1000021e+1
-0.093, -2.0974030e-8, -3.0535514e-8, 3.1333355e+1
-0.094, -2.0773252e-8, -3.0440965e-8, 3.1666689e+1
-0.095, -2.0572477e-8, -3.0358240e-8, 3.2000023e+1
-0.096, -2.0537046e-8, -3.0216420e-8, 3.2333355e+1
-0.097, -2.0253598e-8, -3.0204603e-8, 3.2666687e+1
-0.098, -2.0194545e-8, -3.0263696e-8, 3.3000019e+1
-0.099, -2.0076442e-8, -3.0275512e-8, 3.3333351e+1
-0.100, -1.9804805e-8, -3.0216420e-8, 3.3666683e+1
-0.101, -1.9769372e-8, -3.0145511e-8, 3.4000015e+1
-0.102, -1.9840234e-8, -2.9968231e-8, 3.4333347e+1
-0.103, -1.9639460e-8, -2.9861869e-8, 3.4666679e+1
-0.104, -1.9722131e-8, -2.9814597e-8, 3.5000011e+1
-0.105, -1.9497735e-8, -2.9436407e-8, 3.5333344e+1
-0.106, -1.9580407e-8, -2.9471863e-8, 3.5666676e+1
