Feb. 3, 2006   01:07:58
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\2\75um_control_transfer_2_swv_14.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.1892039e-6, 6.4770495e-7
0.098, 1.3187314e-6, 7.0129647e-7
0.097, 1.3172862e-6, 7.0842486e-7
0.096, 1.3275003e-6, 7.0740430e-7
0.095, 1.3012582e-6, 7.0256738e-7
0.094, 1.2935752e-6, 6.9943832e-7
0.093, 1.3084478e-6, 6.9551845e-7
0.092, 1.3034006e-6, 7.0201270e-7
0.091, 1.3134617e-6, 6.9932014e-7
0.090, 1.2912753e-6, 6.9635075e-7
0.089, 1.2854141e-6, 6.9937914e-7
0.088, 1.2963825e-6, 6.9034030e-7
0.087, 1.2965044e-6, 6.9800620e-7
0.086, 1.3034760e-6, 6.9719107e-7
0.085, 1.2836163e-6, 6.9390887e-7
0.084, 1.2770772e-6, 6.9427762e-7
0.083, 1.2898596e-6, 6.8891200e-7
0.082, 1.2855346e-6, 6.9230987e-7
0.081, 1.2938023e-6, 6.9304696e-7
0.080, 1.2747224e-6, 6.9240150e-7
0.079, 1.2700937e-6, 6.8994871e-7
0.078, 1.2816681e-6, 6.8646011e-7
0.077, 1.2771702e-6, 6.8924862e-7
0.076, 1.2877637e-6, 6.9147711e-7
0.075, 1.2661532e-6, 6.8936447e-7
0.074, 1.2608672e-6, 6.8713410e-7
0.073, 1.2731573e-6, 6.8139718e-7
0.072, 1.2702430e-6, 6.8930774e-7
0.071, 1.2761848e-6, 6.8620045e-7
0.070, 1.2592303e-6, 6.8517141e-7
0.069, 1.2519113e-6, 6.8382769e-7
0.068, 1.2646494e-6, 6.7881354e-7
0.067, 1.2602505e-6, 6.8418382e-7
0.066, 1.2728890e-6, 6.8861289e-7
0.065, 1.2499248e-6, 6.8021114e-7
0.064, 1.2406415e-6, 6.7881626e-7
0.063, 1.2556854e-6, 6.7517112e-7
0.062, 1.2549839e-6, 6.8052071e-7
0.061, 1.2649423e-6, 6.8462168e-7
0.060, 1.2418723e-6, 6.7694771e-7
0.059, 1.2352091e-6, 6.7727103e-7
0.058, 1.2475657e-6, 6.7383104e-7
0.057, 1.2445109e-6, 6.7641014e-7
0.056, 1.2563154e-6, 6.7909895e-7
0.055, 1.2356600e-6, 6.7886032e-7
0.054, 1.2256447e-6, 6.7467761e-7
0.053, 1.2410562e-6, 6.7169202e-7
0.052, 1.2373737e-6, 6.7533119e-7
0.051, 1.2485150e-6, 6.7696419e-7
0.050, 1.2252750e-6, 6.7219673e-7
