Feb. 3, 2006   00:51:13
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\2\75um_control_transfer_2_swv_8.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.1989249e-6, 6.5507277e-7
0.098, 1.3324722e-6, 7.1626522e-7
0.097, 1.3250185e-6, 7.1422272e-7
0.096, 1.3224185e-6, 7.1793193e-7
0.095, 1.3140125e-6, 7.0861779e-7
0.094, 1.3030251e-6, 7.0838308e-7
0.093, 1.3202921e-6, 7.1185053e-7
0.092, 1.3105748e-6, 7.0619501e-7
0.091, 1.3142721e-6, 7.1252350e-7
0.090, 1.3026265e-6, 7.0448783e-7
0.089, 1.2952868e-6, 7.0630733e-7
0.088, 1.3108262e-6, 7.0694290e-7
0.087, 1.3058352e-6, 7.0687832e-7
0.086, 1.3112808e-6, 7.1210513e-7
0.085, 1.2921980e-6, 6.9949738e-7
0.084, 1.2847266e-6, 7.0013158e-7
0.083, 1.3044497e-6, 7.0279407e-7
0.082, 1.2947561e-6, 7.0090317e-7
0.081, 1.2985877e-6, 7.0459566e-7
0.080, 1.2865933e-6, 6.9678424e-7
0.079, 1.2768760e-6, 6.9944537e-7
0.078, 1.2942725e-6, 6.9761035e-7
0.077, 1.2907490e-6, 6.9880713e-7
0.076, 1.2884749e-6, 7.0445139e-7
0.075, 1.2773971e-6, 6.9420031e-7
0.074, 1.2688561e-6, 6.9542580e-7
0.073, 1.2878539e-6, 6.9665606e-7
0.072, 1.2822723e-6, 6.9581523e-7
0.071, 1.2807727e-6, 6.9841116e-7
0.070, 1.2725156e-6, 6.9375920e-7
0.069, 1.2523431e-6, 6.8152036e-7
0.068, 1.2770379e-6, 6.9347493e-7
0.067, 1.2753147e-6, 6.9340399e-7
0.066, 1.2756458e-6, 6.9673479e-7
0.065, 1.2644025e-6, 6.8985361e-7
0.064, 1.2545815e-6, 6.8841939e-7
0.063, 1.2710968e-6, 6.8869355e-7
0.062, 1.2685108e-6, 6.9385067e-7
0.061, 1.2637549e-6, 6.8964204e-7
0.060, 1.2593339e-6, 6.8807663e-7
0.059, 1.2483774e-6, 6.8774239e-7
0.058, 1.2648521e-6, 6.8648501e-7
0.057, 1.2586529e-6, 6.8758504e-7
0.056, 1.2565934e-6, 6.8992085e-7
0.055, 1.2512608e-6, 6.8276347e-7
0.054, 1.2396553e-6, 6.8421838e-7
0.053, 1.2613070e-6, 6.8652514e-7
0.052, 1.2545551e-6, 6.8477317e-7
0.051, 1.2526542e-6, 6.8829854e-7
0.050, 1.2429413e-6, 6.7915749e-7
0.049, 1.2329290e-6, 6.8107033e-7
0.048, 1.2496423e-6, 6.8158380e-7
0.047, 1.2456177e-6, 6.8094812e-7
0.046, 1.2472360e-6, 6.8500572e-7
0.045, 1.2371562e-6, 6.8126974e-7
0.044, 1.2244294e-6, 6.7818763e-7
0.043, 1.2451852e-6, 6.8031659e-7
0.042, 1.2389204e-6, 6.8082318e-7
0.041, 1.2387954e-6, 6.8141475e-7
0.040, 1.2280645e-6, 6.7476151e-7
0.039, 1.2196519e-6, 6.7727746e-7
0.038, 1.2397085e-6, 6.7679446e-7
0.037, 1.2291143e-6, 6.7698210e-7
0.036, 1.2311813e-6, 6.8007938e-7
0.035, 1.2220185e-6, 6.7275835e-7
0.034, 1.2134004e-6, 6.7633113e-7
0.033, 1.2305536e-6, 6.7350203e-7
0.032, 1.2250829e-6, 6.7491140e-7
0.031, 1.2256801e-6, 6.7985098e-7
0.030, 1.2154143e-6, 6.6923428e-7
0.029, 1.2113615e-6, 6.7638382e-7
0.028, 1.2232722e-6, 6.7211266e-7
0.027, 1.2177607e-6, 6.7331240e-7
0.026, 1.2148856e-6, 6.7380751e-7
0.025, 1.2102570e-6, 6.7063212e-7
0.024, 1.2009292e-6, 6.7017396e-7
0.023, 1.2193236e-6, 6.7237204e-7
0.022, 1.2144598e-6, 6.7565333e-7
0.021, 1.2146867e-6, 6.7324038e-7
0.020, 1.2009891e-6, 6.6583129e-7
0.019, 1.1953437e-6, 6.6894876e-7
0.018, 1.2121072e-6, 6.6899503e-7
0.017, 1.2067652e-6, 6.7256866e-7
0.016, 1.2040526e-6, 6.6912406e-7
0.015, 1.1980126e-6, 6.6609232e-7
0.014, 1.1883515e-6, 6.7059062e-7
0.013, 1.2056674e-6, 6.6912713e-7
